capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3462000000,46756000000,-29460000000,None,None,None,None,None,None,5161000000,6138000000,6138000000,None,2024-12-31,13529000000,1362000000,None,None,None,None,None,None,None,None,None,-4199000000,None,None,USD
3412000000,-2726000000,-3084000000,None,None,3284000000,None,None,None,4256000000,5763000000,5763000000,None,2023-12-31,9087000000,-33536000000,None,None,None,None,None,None,None,None,None,-6178000000,None,None,USD
3078000000,22714000000,-11632000000,4685000000,None,None,None,None,14664000000,3998000000,5401000000,5401000000,None,2022-12-31,11179000000,-6397000000,None,None,None,None,None,None,None,None,None,-10871000000,None,None,USD
2308000000,41547000000,-49897000000,25621000000,None,7836000000,None,None,774000000,4216000000,4171000000,4171000000,None,2021-12-31,15120000000,33971000000,None,None,None,None,None,None,None,None,None,-12075000000,None,None,USD
1444000000,83784000000,-37898000000,20655000000,None,-31623000000,None,None,-29774000000,3769000000,2739000000,2739000000,None,2020-12-31,11179000000,-25231000000,None,None,None,None,None,None,None,None,None,-1890000000,None,None,USD
1826000000,-11966000000,-33561000000,-4754000000,None,14739000000,None,None,233000000,2643000000,2627000000,2627000000,None,2019-12-31,9237000000,40773000000,None,None,None,None,None,None,None,None,None,-5954000000,None,None,USD
1865000000,24205000000,-22881000000,6801000000,-1828000000,-20929000000,None,None,-728000000,1844000000,2375000000,2375000000,None,2018-12-31,8883000000,7305000000,None,None,None,None,None,None,None,None,None,-5566000000,None,None,USD
1629000000,16261000000,-12391000000,3035000000,3670000000,19493000000,None,None,-9315000000,1753000000,2085000000,2085000000,None,2017-12-31,6216000000,-4505000000,None,None,None,None,None,None,None,None,None,-4292000000,None,None,USD
1276000000,7424000000,-19508000000,-10702000000,-1065000000,3638000000,None,None,-2881000000,1736000000,1746000000,1746000000,None,2016-12-31,6123000000,2447000000,None,None,None,None,None,None,None,None,None,-3933000000,None,None,USD
1373000000,24365000000,-19995000000,7099000000,-945000000,-37626000000,None,None,-434000000,1433000000,1455000000,1455000000,None,2015-12-31,6279000000,3674000000,None,None,None,None,None,None,None,None,None,-2773000000,None,None,USD
992000000,23143000000,-35324000000,-12899000000,-1804000000,-40850000000,None,None,3608000000,1161000000,904000000,904000000,None,2014-12-31,3667000000,1131000000,None,None,None,None,None,None,None,None,None,-1458000000,None,None,USD
1316000000,2633000000,-24461000000,12979000000,-202000000,39284000000,None,None,6774000000,1511000000,475000000,475000000,None,2013-12-31,3613000000,35553000000,None,None,None,None,None,None,None,None,None,-691000000,None,None,USD
1312000000,-11897000000,-12414000000,-408000000,-119000000,16663000000,None,None,-10200000000,1581000000,469000000,469000000,None,2012-12-31,716000000,24548000000,None,None,None,None,None,None,None,None,None,-227000000,None,None,USD
1304000000,-5148000000,-2036000000,None,None,-24700000000,None,None,None,1404000000,834000000,834000000,None,2011-12-31,4645000000,6684000000,None,None,None,None,None,None,None,None,None,-317000000,None,None,USD
1201000000,4163000000,-29157000000,15624000000,14000000,-14379000000,None,None,-9568000000,1419000000,1156000000,1156000000,None,2010-12-31,5702000000,40307000000,None,None,None,None,None,None,None,None,None,-317000000,None,None,USD
2877000000,3024000000,-4472000000,None,None,46689000000,None,None,None,1224000000,1732000000,1732000000,None,2009-12-31,1406000000,-45951000000,None,None,None,None,None,None,None,None,None,-11000000000,None,None,USD
1400000000,-18544000000,729000000,None,None,-6329000000,None,None,None,794000000,1227000000,1227000000,None,2008-12-31,1707000000,73417000000,None,None,None,None,None,None,None,None,None,-1828000000,None,None,USD
1469000000,38523000000,-11438000000,None,None,-56461000000,None,None,None,475000000,1219000000,1219000000,None,2007-12-31,3209000000,-22093000000,None,None,None,None,None,None,None,None,None,-4257000000,None,None,USD
0,54340000000,-2345000000,None,None,29756000000,None,None,None,876000000,1167000000,1167000000,None,2006-12-31,7472000000,-60803000000,None,None,None,None,None,None,None,None,None,-3376000000,None,None,USD
540000000,32076000000,-4121000000,None,None,None,None,None,None,815000000,1180000000,1180000000,None,2005-12-31,4939000000,-31352000000,None,None,None,None,None,None,None,None,None,-3693000000,None,None,USD
