comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,45788000000,45788000000,None,5161000000,17596000000,22757000000,2024-12-31,57357000000,17596000000,4067000000,None,45524000000,54135000000,None,13390000000,13529000000,8611000000,None,39761000000,17596000000,None,USD,None,26178000000,103145000000
None,38151000000,38151000000,None,4256000000,11813000000,16069000000,2023-12-31,50135000000,11813000000,2583000000,None,37619000000,50281000000,None,9087000000,9230000000,8230000000,None,38322000000,11813000000,None,USD,None,24205000000,88286000000
None,12548000000,12548000000,None,3998000000,14089000000,18087000000,2022-12-31,49930000000,14089000000,2910000000,None,12268000000,21595000000,None,11029000000,11179000000,9327000000,None,35841000000,14089000000,None,USD,None,23053000000,62478000000
None,1370000000,1370000000,None,4216000000,19668000000,23884000000,2021-12-31,56410000000,19668000000,4548000000,None,1366000000,9411000000,None,15034000000,15120000000,8045000000,None,36742000000,19668000000,None,USD,None,24628000000,57780000000
None,4610000000,4610000000,None,3769000000,14418000000,18187000000,2020-12-31,45828000000,14418000000,3239000000,None,3849000000,10162000000,None,10996000000,11179000000,6313000000,None,45828000000,14418000000,None,USD,None,20703000000,45828000000
None,12565000000,12565000000,None,2643000000,11301000000,13944000000,2019-12-31,39045000000,11301000000,2064000000,None,12404000000,17098000000,None,9042000000,9237000000,4694000000,None,39045000000,11301000000,None,USD,None,18665000000,39045000000
None,10086000000,10086000000,None,1844000000,11237000000,13081000000,2018-12-31,37714000000,11237000000,2350000000,None,10086000000,13892000000,None,8748000000,8887000000,3806000000,None,37714000000,11364000000,None,USD,0,17632000000,37714000000
None,5697000000,5697000000,None,1753000000,10403000000,12156000000,2017-12-31,35852000000,10403000000,4168000000,None,5697000000,8997000000,None,6111000000,6235000000,3300000000,None,35852000000,10403000000,None,USD,0,17166000000,35852000000
None,3318000000,3318000000,None,1736000000,8848000000,10584000000,2016-12-31,32711000000,8848000000,2726000000,None,3318000000,7016000000,None,5979000000,6122000000,3698000000,None,32711000000,8848000000,None,USD,0,15878000000,32711000000
None,2742000000,2742000000,None,1433000000,8495000000,9928000000,2015-12-31,33263000000,8495000000,2200000000,None,2742000000,None,None,6127000000,6295000000,None,None,33263000000,8495000000,None,USD,0,16016000000,33263000000
None,3678000000,3678000000,None,1161000000,3591000000,4752000000,2014-12-31,32469000000,3591000000,-90000000,None,3678000000,None,None,3467000000,3681000000,None,None,32469000000,3591000000,None,USD,0,17824000000,32469000000
None,4431000000,4431000000,None,1511000000,4558000000,6069000000,2013-12-31,30782000000,4558000000,902000000,None,4431000000,None,None,2932000000,3656000000,None,None,30782000000,4558000000,None,USD,0,16277000000,30782000000
None,5897000000,5897000000,None,1581000000,596000000,2177000000,2012-12-31,24643000000,596000000,-161000000,None,5897000000,None,None,68000000,754000000,None,None,24643000000,596000000,None,USD,0,15615000000,24643000000
None,6883000000,6883000000,None,1404000000,6110000000,7514000000,2011-12-31,30594000000,6110000000,1414000000,None,6883000000,None,None,4110000000,None,None,None,30594000000,6110000000,None,USD,0,16325000000,30594000000
None,6407000000,6407000000,None,1419000000,6198000000,7617000000,2010-12-31,29361000000,6198000000,743000000,None,6407000000,None,None,4703000000,5463000000,None,None,29361000000,6198000000,None,USD,0,15866000000,29361000000
None,6687000000,6687000000,None,1224000000,1130000000,2354000000,2009-12-31,21599000000,1130000000,-297000000,None,6687000000,None,None,1346000000,None,None,None,21599000000,1130000000,None,USD,0,14331000000,21599000000
None,36263000000,36263000000,None,794000000,1254000000,2048000000,2008-12-31,17662000000,1254000000,16000000,None,36263000000,None,None,1707000000,None,None,None,17662000000,1254000000,None,USD,None,11851000000,17662000000
None,57283000000,57283000000,None,475000000,2776000000,3251000000,2007-12-31,24985000000,3394000000,576000000,None,57283000000,None,None,3209000000,None,None,None,24985000000,2776000000,None,USD,None,16122000000,24985000000
None,17634000000,17634000000,None,876000000,9064000000,9940000000,2006-12-31,28494000000,9064000000,2729000000,None,40897000000,None,None,7472000000,None,None,None,28494000000,9064000000,None,USD,None,13986000000,28494000000
None,24430000000,24430000000,None,815000000,6316000000,7131000000,2005-12-31,22707000000,6316000000,1473000000,None,23552000000,None,None,4890000000,None,None,None,22707000000,6316000000,None,USD,None,10749000000,22707000000
