accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,9642000000,9642000000,127000000,1125000000,3132000000,None,None,9265000000,None,2025-08-31,1150000000,453000000,453000000,8355000000,None,None,None,None,914000000,7662000000,None,None,None,None,48583000000,15278000000,634000000,665000000,82798000000,28841000000,11454000000,28633000000,53957000000,17179000000,54165000000,None
None,2664000000,7041000000,7041000000,125000000,1118000000,2726000000,None,106000000,6615000000,None,2024-08-31,1150000000,416000000,416000000,8875000000,None,11237000000,None,1046000000,776000000,5873000000,None,911000000,None,USD,40877000000,14007000000,431000000,1065000000,69416000000,24372000000,9248000000,24285000000,45044000000,15037000000,45131000000,None
None,603000000,8577000000,8577000000,124000000,1093000000,1725000000,None,278000000,2443000000,None,2023-08-31,1150000000,404000000,404000000,8387000000,None,13052000000,None,844000000,820000000,2695000000,None,987000000,38594000000,USD,40824000000,13933000000,278000000,1017000000,64254000000,21244000000,4765000000,20134000000,43010000000,15369000000,44120000000,None
None,610000000,8262000000,8262000000,123000000,1122000000,2142000000,None,103000000,5130000000,None,2022-08-31,1228000000,421000000,421000000,6663000000,None,6803000000,None,1647000000,657000000,4874000000,None,835000000,39227000000,USD,47274000000,7516000000,103000000,1069000000,66283000000,21781000000,7539000000,16376000000,44502000000,8837000000,49907000000,None
None,504000000,7763000000,7763000000,122000000,1141000000,1744000000,None,155000000,5311000000,None,2021-08-31,1228000000,349000000,349000000,4487000000,None,6621000000,None,1765000000,1476000000,4160000000,None,559000000,33764000000,USD,39051000000,7281000000,156000000,870000000,58849000000,19907000000,6424000000,14916000000,38942000000,8492000000,43933000000,None
None,1019000000,7624000000,7624000000,119000000,1131000000,2191000000,None,194000000,3912000000,None,2020-08-31,1228000000,334000000,334000000,5607000000,None,5963000000,None,1048000000,304000000,3937000000,None,498000000,31615000000,USD,33384000000,7176000000,270000000,518000000,53678000000,17965000000,6635000000,14682000000,35713000000,8047000000,38996000000,None
None,591000000,7152000000,7152000000,118000000,1143000000,1677000000,None,1087000000,3195000000,None,2019-08-31,1228000000,340000000,340000000,5118000000,None,4173000000,None,1164000000,235000000,3094000000,None,1088000000,28240000000,USD,30761000000,5851000000,1310000000,803000000,48887000000,16503000000,6390000000,12117000000,32384000000,5727000000,35881000000,-3221000000
None,845000000,6506000000,6506000000,117000000,1229000000,1692000000,None,549000000,5478000000,None,2018-08-31,1228000000,331000000,331000000,3595000000,None,3245000000,None,473000000,164000000,2310000000,None,581000000,23672000000,USD,24395000000,4639000000,859000000,296000000,43376000000,16039000000,5754000000,10212000000,27337000000,4458000000,32294000000,-429000000
None,1190000000,5109000000,5109000000,112000000,1154000000,1333000000,None,905000000,3759000000,None,2017-08-31,1228000000,387000000,387000000,3123000000,None,9060000000,None,633000000,147000000,1971000000,None,639000000,19431000000,USD,10260000000,11155000000,1262000000,319000000,35336000000,12457000000,5334000000,15866000000,22879000000,10532000000,18621000000,-67000000
None,1406000000,4140000000,4140000000,109000000,1036000000,1459000000,None,376000000,2068000000,None,2016-08-31,104000000,464000000,464000000,2889000000,None,8128000000,None,1778000000,140000000,2247000000,None,623000000,14686000000,USD,5299000000,9910000000,756000000,258000000,27540000000,9495000000,4835000000,14612000000,18045000000,9777000000,12080000000,-1029000000
