capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
15857000000,-850000000,-14087000000,None,None,520000000,None,None,None,8352000000,522000000,522000000,None,2025-08-31,8539000000,17525000000,None,None,None,None,None,None,None,None,None,None,None,None,None
8386000000,-1842000000,-8309000000,None,None,-488000000,None,None,None,7780000000,513000000,513000000,None,2024-08-31,778000000,8507000000,None,None,None,None,None,None,None,None,None,-300000000,None,None,USD
7676000000,4983000000,-6191000000,None,None,-3555000000,None,None,None,7756000000,504000000,504000000,None,2023-08-31,-5833000000,1559000000,None,None,None,None,None,None,None,None,None,-425000000,None,None,USD
12067000000,-2980000000,-11585000000,616000000,None,-2179000000,None,None,190000000,7116000000,461000000,461000000,None,2022-08-31,8687000000,15181000000,None,None,None,None,None,None,None,None,None,-2432000000,None,None,USD
10030000000,-1781000000,-10589000000,98000000,None,866000000,None,None,-1446000000,6214000000,461000000,461000000,None,2021-08-31,5861000000,12468000000,None,None,None,None,None,None,None,None,None,-1200000000,None,None,USD
8223000000,-317000000,-7589000000,None,None,-489000000,None,None,None,5650000000,225000000,225000000,None,2020-08-31,2710000000,8306000000,None,None,None,None,None,None,None,None,None,-176000000,None,None,USD
9855000000,-2438000000,-10085000000,666000000,None,-1528000000,None,None,2431000000,5473000000,179000000,179000000,None,2019-08-31,6358000000,13189000000,None,None,None,None,None,None,None,None,None,-2729000000,None,None,USD
9085000000,-7776000000,-8216000000,1408000000,None,-472000000,None,None,-1734000000,4860000000,0,0,None,2018-08-31,14138000000,17400000000,None,None,None,None,None,None,None,None,None,-71000000,None,None,USD
5253000000,349000000,-7537000000,965000000,None,50000000,None,None,-1651000000,3986000000,0,0,None,2017-08-31,5090000000,8153000000,None,None,None,None,None,None,None,None,None,-36000000,None,None,USD
5863000000,1745000000,-3068000000,1853000000,8000000,-549000000,None,None,465000000,3106000000,93000000,93000000,None,2016-08-31,-275000000,3168000000,None,None,None,None,None,None,None,None,None,-148000000,None,None,USD
4021000000,-718000000,-6232000000,-1863000000,-121000000,116000000,None,None,393000000,2805000000,0,0,None,2015-08-31,2899000000,5208000000,None,None,None,None,None,None,None,None,None,-884000000,None,None,USD
2658000000,-1948000000,-2453000000,1270000000,-28000000,194000000,None,None,-518000000,2270000000,10000000,10000000,None,2014-08-31,3079000000,5699000000,None,None,None,None,None,None,None,None,None,-76000000,None,None,USD
1244000000,322000000,-1712000000,421000000,None,83000000,None,None,-409000000,1804000000,37000000,37000000,None,2013-08-31,1194000000,1811000000,None,None,None,None,None,None,None,None,None,-5000000,None,None,USD
1699000000,497000000,-2312000000,299000000,None,258000000,None,None,238000000,2141000000,857000000,857000000,None,2012-08-31,-1031000000,2114000000,None,None,None,None,None,None,None,None,None,-6000000,None,None,USD
2550000000,-1036000000,-2201000000,-753000000,None,-357000000,None,None,54000000,2105000000,1350000000,1350000000,None,2011-08-31,190000000,2484000000,None,None,None,None,None,None,None,None,None,-163000000,None,None,USD
616000000,-1220000000,-448000000,None,None,-121000000,None,None,None,2005000000,None,None,None,2010-08-31,1900000000,3096000000,None,None,None,None,None,None,None,None,None,-21000000,None,None,USD
488000000,-290000000,-674000000,None,None,-356000000,None,None,None,2186000000,None,None,None,2009-08-31,-1993000000,1206000000,None,None,None,None,None,None,None,None,None,276000000,None,None,USD
2529000000,125000000,-2092000000,None,None,-40000000,None,None,None,2060000000,None,None,None,2008-08-31,-1619000000,1018000000,None,None,None,None,None,None,None,None,None,4000000,None,None,USD
3603000000,2215000000,-2391000000,None,None,-591000000,None,None,None,1718000000,None,None,None,2007-08-31,-320000000,937000000,None,None,None,None,None,None,None,None,None,69000000,None,None,USD
1365000000,644000000,-1756000000,None,None,-12000000,None,None,None,1281000000,None,None,None,2006-08-31,408000000,2019000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
