comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,22505000000,22505000000,None,8352000000,10131000000,18483000000,2025-08-31,14873000000,9663000000,1124000000,None,477000000,None,None,8539000000,None,None,None,5003000000,9870000000,None,None,3798000000,None,37378000000
None,19498000000,19498000000,None,7698000000,1246000000,8944000000,2024-08-31,5613000000,1229000000,451000000,None,562000000,529000000,None,778000000,778000000,-33000000,None,4309000000,1304000000,None,USD,3430000000,1129000000,25111000000
None,16956000000,16956000000,None,7670000000,-5459000000,2211000000,2023-08-31,-1416000000,-5656000000,177000000,None,388000000,468000000,None,-5833000000,-5833000000,80000000,None,4329000000,-5745000000,None,USD,3114000000,920000000,15540000000
None,16860000000,16860000000,None,7031000000,9709000000,16740000000,2022-08-31,13898000000,9575000000,888000000,None,189000000,96000000,None,8687000000,8687000000,-93000000,None,4196000000,9702000000,62000000,USD,3116000000,1066000000,30758000000
None,17282000000,17282000000,None,6132000000,6796000000,12928000000,2021-08-31,10423000000,6255000000,394000000,None,183000000,37000000,None,5861000000,5861000000,-146000000,None,4189000000,6283000000,155000000,USD,2663000000,894000000,27705000000
None,14883000000,14883000000,None,5650000000,3060000000,8710000000,2020-08-31,6552000000,2990000000,280000000,None,194000000,114000000,None,2687000000,2710000000,-80000000,None,3549000000,3003000000,None,USD,2600000000,881000000,21435000000
None,12704000000,12704000000,None,5424000000,7390000000,12814000000,2019-08-31,10702000000,7051000000,693000000,None,128000000,205000000,None,6313000000,6355000000,77000000,None,3326000000,7376000000,-197000000,USD,2441000000,836000000,23406000000
None,12500000000,12500000000,None,4759000000,14926000000,19685000000,2018-08-31,17891000000,14306000000,168000000,None,342000000,120000000,None,14135000000,14139000000,-222000000,None,2897000000,14994000000,-346000000,USD,2342000000,813000000,30391000000
None,11886000000,11886000000,None,3861000000,5877000000,9738000000,2017-08-31,8436000000,5204000000,114000000,None,601000000,41000000,None,5089000000,5082000000,-560000000,None,2568000000,5868000000,-63000000,USD,2037000000,743000000,20322000000
None,9894000000,9894000000,None,2980000000,234000000,3214000000,2016-08-31,2505000000,-256000000,19000000,None,437000000,42000000,None,-276000000,-300000000,-395000000,None,2337000000,168000000,13000000,USD,1822000000,659000000,12399000000
None,10977000000,10977000000,None,2667000000,2984000000,5651000000,2015-08-31,5215000000,3056000000,157000000,None,371000000,363000000,None,2899000000,2452000000,None,None,2217000000,2998000000,429000000,USD,1764000000,720000000,16192000000
None,10921000000,10921000000,None,2103000000,3370000000,5473000000,2014-08-31,5437000000,3207000000,128000000,None,352000000,None,None,3045000000,2605000000,None,None,2350000000,3087000000,505000000,USD,1533000000,708000000,16358000000
None,7226000000,7226000000,None,1804000000,450000000,2254000000,2013-08-31,1847000000,1202000000,8000000,None,231000000,None,None,1190000000,1277000000,None,None,469000000,450000000,1197000000,USD,1107000000,563000000,9073000000
None,7266000000,7266000000,None,2141000000,-618000000,1523000000,2012-08-31,968000000,-754000000,-17000000,None,171000000,None,None,-1032000000,-737000000,None,None,1586000000,-618000000,-251000000,USD,918000000,620000000,8234000000
None,7030000000,7030000000,None,2105000000,675000000,2780000000,2011-08-31,1758000000,551000000,203000000,None,124000000,None,None,167000000,348000000,None,None,1003000000,755000000,-238000000,USD,791000000,592000000,8788000000
None,5768000000,5768000000,None,2005000000,2098000000,4103000000,2010-08-31,2714000000,1920000000,-19000000,None,178000000,None,None,1850000000,None,None,None,1135000000,1589000000,None,USD,624000000,528000000,8482000000
None,5243000000,5243000000,None,2186000000,-1670000000,516000000,2009-08-31,-440000000,-1852000000,1000000,None,182000000,None,None,-1882000000,None,None,None,1108000000,-1676000000,None,USD,647000000,354000000,4803000000
None,5896000000,5896000000,None,2060000000,-1529000000,531000000,2008-08-31,-55000000,-1611000000,18000000,None,82000000,None,None,-1619000000,None,None,None,1507000000,-1595000000,None,USD,680000000,455000000,5841000000
None,4610000000,4610000000,None,1718000000,-327000000,1391000000,2007-08-31,1078000000,-168000000,30000000,None,0,None,None,-320000000,None,None,None,1339000000,-280000000,None,USD,805000000,610000000,5688000000
None,4072000000,4072000000,None,1281000000,458000000,1739000000,2006-08-31,1200000000,433000000,18000000,None,0,None,None,408000000,None,None,None,851000000,350000000,None,USD,656000000,460000000,5272000000
