accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1807000000,8589000000,8589000000,24000000,24804000000,6310000000,None,None,23065000000,None,2025-01-31,5188000000,807000000,807000000,10080000000,None,8463000000,None,3387000000,3771000000,10612000000,None,79000000,None,USD,68038000000,10270000000,288000000,34621000000,111601000000,80126000000,18047000000,32274000000,31475000000,14227000000,79327000000,None
None,1347000000,7280000000,7280000000,2000000,24940000000,2699000000,None,1250000000,9999000000,None,2024-01-31,4430000000,1112000000,1112000000,5282000000,None,8459000000,None,1546000000,3080000000,5690000000,None,65000000,None,USD,29817000000,11056000000,1478000000,18704000000,65728000000,44345000000,10631000000,22750000000,21383000000,12119000000,42978000000,None
None,902000000,3389000000,3389000000,2000000,25070000000,1193000000,None,1250000000,3827000000,None,2023-01-31,4372000000,1676000000,1676000000,5159000000,None,9703000000,None,299000000,791000000,3766000000,None,1913000000,3807000000,USD,10171000000,11855000000,1250000000,9907000000,41182000000,23073000000,6563000000,19081000000,18109000000,12518000000,22101000000,None
None,741000000,1990000000,1990000000,3000000,25350000000,1783000000,None,None,4650000000,None,2022-01-31,4349000000,2339000000,2339000000,2605000000,None,10946000000,None,266000000,366000000,2108000000,None,1553000000,3607000000,USD,16235000000,11687000000,144000000,19218000000,44187000000,28829000000,4335000000,17575000000,15358000000,13240000000,26612000000,None
None,634000000,847000000,847000000,1000000,25120000000,1201000000,None,999000000,2429000000,None,2021-01-31,4193000000,2737000000,2737000000,1826000000,None,5964000000,None,144000000,239000000,1437000000,None,2009000000,2149000000,USD,18908000000,7597000000,999000000,10714000000,28791000000,16055000000,3925000000,11898000000,12736000000,7973000000,16893000000,-10756000000
None,652000000,10896000000,10896000000,1000000,24720000000,687000000,None,None,1657000000,None,2020-01-31,618000000,49000000,49000000,979000000,None,1991000000,None,77000000,157000000,865000000,None,1336000000,1674000000,USD,14971000000,2552000000,91000000,1000000,17315000000,13690000000,1784000000,5111000000,3625000000,3327000000,12204000000,-9814000000
None,None,782000000,782000000,1000000,25000000000,511000000,None,None,1424000000,None,2019-01-31,618000000,45000000,45000000,1575000000,None,1988000000,None,None,136000000,635000000,None,14000000,1404000000,USD,12565000000,2079000000,91000000,6640000000,13292000000,10557000000,1329000000,3950000000,2735000000,2621000000,9342000000,-9263000000
None,None,4002000000,4002000000,1000000,25280000000,596000000,None,15000000,1265000000,None,2018-01-31,618000000,52000000,52000000,796000000,None,1985000000,None,None,86000000,489000000,None,2000000,997000000,USD,8787000000,2000000000,15000000,3106000000,11241000000,9255000000,1153000000,3770000000,1986000000,2617000000,7471000000,-6650000000
None,6000000,1766000000,1766000000,1000000,25960000000,485000000,None,827000000,826000000,None,2017-01-31,618000000,104000000,104000000,794000000,None,1983000000,None,None,118000000,422000000,None,20000000,521000000,USD,6108000000,2816000000,827000000,5032000000,9841000000,8536000000,1819000000,4079000000,1305000000,2260000000,5762000000,-5039000000
None,10000000,596000000,596000000,1000000,22760000000,296000000,None,1413000000,505000000,None,2016-01-31,618000000,166000000,166000000,418000000,None,87000000,None,None,93000000,320000000,None,453000000,466000000,USD,4350000000,1510000000,1500000000,4441000000,7370000000,6053000000,2438000000,2901000000,1317000000,463000000,4469000000,-4048000000
None,14086000,496654000,496654000,754000,22522720000,293223000,None,1398000000,473637000,None,2015-01-31,618179000,221714000,221714000,482893000,None,1398428000,None,None,70174000,167999000,None,488928000,557282000,USD,3948877000,1540501000,142073000,4126685000,7201368000,5713297000,896030000,2783386000,1488071000,1887356000,4417982000,-3394585000
None,17500000,1151587000,1151587000,732000,23780680000,324391000,None,None,426357000,None,2014-01-31,643179000,296012000,296012000,387765000,None,1356375000,None,None,70285000,30590000,None,475125000,582740000,USD,3504742000,1681985000,308110000,3520223000,7250894000,5624711000,945496000,2794496000,1626183000,1849000000,4456398000,-2537295000
None,18998000,732786000,732786000,720000,24998280000,356428000,None,None,454252000,None,2013-01-31,641030000,312332000,312332000,419686000,None,18998000,None,None,35265000,35160000,None,589321000,576144000,USD,3246088000,330028000,311030000,2995097000,6412245000,4775258000,976223000,1584542000,1636987000,608319000,4827703000,-1622709000
