capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3236000000,-42359000000,-20421000000,None,None,-4781000000,None,None,None,1864000000,834000000,834000000,None,2025-01-31,72880000000,64089000000,None,None,None,None,None,None,None,None,None,-33706000000,None,None,USD
1069000000,-13633000000,-10566000000,None,None,-98000000,None,None,None,1508000000,395000000,395000000,None,2024-01-31,29760000000,28090000000,None,None,None,None,None,None,None,None,None,-9533000000,None,None,USD
1833000000,-11617000000,7375000000,1399000000,None,-2554000000,None,None,822000000,1544000000,398000000,398000000,None,2023-01-31,4368000000,5641000000,None,None,None,None,None,None,None,None,None,-10039000000,None,None,USD
976000000,1865000000,-9830000000,1143000000,None,-774000000,None,None,-2215000000,1174000000,399000000,399000000,None,2022-01-31,9752000000,9108000000,None,None,None,None,None,None,None,None,None,-1904000000,None,None,USD
1128000000,3804000000,-19675000000,-10049000000,None,-524000000,None,None,-550000000,1098000000,395000000,395000000,None,2021-01-31,4332000000,5822000000,None,None,None,None,None,None,None,None,None,-942000000,None,None,USD
489000000,-792000000,6145000000,10114000000,None,597000000,None,None,-233000000,381000000,390000000,390000000,None,2020-01-31,2796000000,4761000000,None,None,None,None,None,None,None,None,None,-1579000000,None,None,USD
600000000,-2866000000,-4097000000,-3220000000,None,-776000000,None,None,-149000000,262000000,371000000,371000000,None,2019-01-31,4141000000,3743000000,None,None,None,None,None,None,None,None,None,-1579000000,None,None,USD
593000000,-2544000000,1278000000,2236000000,None,-375000000,None,None,-440000000,199000000,341000000,341000000,None,2018-01-31,3047000000,3502000000,None,None,None,None,None,None,None,None,None,-909000000,None,None,USD
176000000,291000000,-793000000,1170000000,None,-375000000,None,None,-321000000,187000000,261000000,261000000,None,2017-01-31,1666000000,1672000000,None,None,None,None,None,None,None,None,None,-739000000,None,None,USD
86000000,-676000000,-400000000,99000000,None,66000000,None,None,-32000000,197000000,213000000,213000000,None,2016-01-31,614000000,1175000000,None,None,None,None,None,None,None,None,None,-587000000,None,None,USD
122000000,-834000000,-727000000,-654933000,None,-95000000,None,None,-49324000,220000000,186000000,186000000,None,2015-01-31,631000000,906000000,None,None,None,None,None,None,None,None,None,-814000000,None,None,USD
255000000,390000000,-806000000,418801000,None,25000000,None,None,28852000,239000000,181000000,181000000,None,2014-01-31,440000000,835000000,None,None,None,None,None,None,None,None,None,-887000000,None,None,USD
183309000,-15270000,-743992000,64910000,None,-78949000,None,None,-118940000,226235000,46866000,46866000,None,2013-01-31,562536000,824172000,None,None,None,None,None,None,None,None,None,-100000000,None,None,USD
138735000,236723000,-1143364000,2515000,None,18884000,None,None,26236000,204205000,0,0,None,2012-01-31,581090000,909156000,None,None,None,None,None,None,None,None,None,195900000,None,None,USD
97890000,192021000,-649678000,218140000,None,-14128000,None,None,26341000,186989000,0,0,None,2011-01-31,253146000,675797000,None,None,None,None,None,None,None,None,None,177300000,None,None,USD
77601000,61059000,-519333000,29533000,None,204656000,None,None,-56741000,196664000,0,0,None,2010-01-31,-67987000,487807000,None,None,None,None,None,None,None,None,None,138029000,None,None,USD
407670000,-349274000,-209367000,None,None,-177295000,None,None,None,185023000,None,None,None,2009-01-31,-30041000,249360000,None,None,None,None,None,None,None,None,None,-423636000,None,None,USD
187745000,-326323000,-761318000,None,None,-3690000,None,None,None,133192000,None,None,None,2008-01-31,797645000,1270196000,None,None,None,None,None,None,None,None,None,-552512000,None,None,USD
145256000,-53630000,-540823000,None,None,-91395000,None,None,None,107562000,None,None,None,2007-01-31,448834000,587111000,None,None,None,None,None,None,None,None,None,-274978000,None,None,USD
79600000,-61377000,None,None,None,60726000,None,None,None,97977000,None,None,None,2006-01-31,302586000,446408000,None,None,None,None,None,None,None,None,None,-188509000,None,None,USD
