comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,32639000000,32639000000,None,1864000000,84273000000,86137000000,2025-01-31,97858000000,84026000000,11146000000,None,247000000,1786000000,None,72880000000,72880000000,1539000000,None,16405000000,81453000000,None,USD,12914000000,3491000000,130497000000
None,16621000000,16621000000,None,1508000000,34075000000,35583000000,2024-01-31,44301000000,33818000000,4058000000,None,257000000,866000000,None,29760000000,29760000000,609000000,None,11329000000,32972000000,None,USD,8675000000,2654000000,60922000000
None,11618000000,11618000000,None,1544000000,4443000000,5987000000,2023-01-31,15356000000,4181000000,-187000000,None,262000000,267000000,None,4368000000,4368000000,5000000,None,11132000000,4224000000,219000000,USD,7339000000,2440000000,26974000000
None,9439000000,9439000000,None,1174000000,10177000000,11351000000,2022-01-31,17475000000,9941000000,189000000,None,236000000,29000000,None,9752000000,9752000000,-207000000,None,7434000000,10041000000,136000000,USD,5268000000,2166000000,26914000000
None,6279000000,6279000000,None,1098000000,4593000000,5691000000,2021-01-31,10396000000,4409000000,77000000,None,184000000,57000000,None,4332000000,4332000000,-127000000,None,5864000000,4532000000,61000000,USD,3924000000,1940000000,16675000000
None,4150000000,4150000000,None,381000000,3022000000,3403000000,2020-01-31,6768000000,2970000000,174000000,None,52000000,178000000,None,2796000000,2796000000,126000000,None,3922000000,2846000000,176000000,USD,2829000000,1093000000,10918000000
None,4545000000,4545000000,None,262000000,3954000000,4216000000,2019-01-31,7171000000,3896000000,-245000000,None,58000000,136000000,None,4141000000,4141000000,78000000,None,3367000000,3804000000,150000000,USD,2376000000,991000000,11716000000
None,3892000000,3892000000,None,199000000,3257000000,3456000000,2018-01-31,5822000000,3196000000,149000000,None,61000000,69000000,None,3047000000,3047000000,8000000,None,2612000000,3210000000,47000000,USD,1797000000,815000000,9714000000
None,2847000000,2847000000,None,187000000,1963000000,2150000000,2017-01-31,4063000000,1905000000,239000000,None,58000000,54000000,None,1666000000,1666000000,-4000000,None,2129000000,1934000000,29000000,USD,1463000000,663000000,6910000000
None,2199000000,2199000000,None,197000000,790000000,987000000,2016-01-31,2811000000,743000000,129000000,None,47000000,8000000,None,614000000,614000000,None,None,2064000000,747000000,43000000,USD,1331000000,602000000,5010000000
None,2083000000,2083000000,None,220000000,801000000,1021000000,2015-01-31,2599000000,755000000,124000000,None,46000000,None,None,631000000,631000000,None,None,1840000000,759000000,41980000,USD,1360000000,459763000,4682000000
None,1862000000,1862000000,None,239000000,520000000,759000000,2014-01-31,2268000000,510000000,70000000,None,10000000,None,None,440000000,439990000,None,None,1772000000,496000000,24470000,USD,1336000000,422702000,4130000000
None,2053816000,2053816000,None,226235000,648239000,874474000,2013-01-31,2226343000,662039000,99503000,None,3294000,None,None,562536000,562536000,None,None,1578104000,648239000,17094000,USD,1147282000,431000000,4280159000
None,1941413000,1941413000,None,204205000,648299000,852504000,2012-01-31,2056517000,663396000,82306000,None,3089000,None,None,581090000,581090000,None,None,1408218000,648299000,18186000,USD,1002605000,406000000,3997930000
None,2134219000,2134219000,None,186989000,255747000,442736000,2011-01-31,1409090000,271169000,18023000,None,3127000,None,None,253146000,253146000,None,None,1153343000,255747000,18549000,USD,848830000,362000000,3543309000
None,2149522000,2149522000,None,196664000,-78974000,117690000,2010-01-31,1176923000,-82294000,-14307000,None,3320000,None,None,-67987000,-67987000,None,None,1275868000,-98945000,19971000,USD,908851000,367017000,3326445000
None,2250590000,2250590000,None,185023000,-42548000,142475000,2009-01-31,1174269000,-42954000,-12913000,None,406000,None,None,-30041000,None,None,None,1244969000,-70700000,None,USD,855879000,362000000,3424859000
None,2228580000,2228580000,None,133192000,836346000,969538000,2008-01-31,1869280000,901341000,103696000,None,0,None,None,797645000,None,None,None,1032934000,836346000,None,USD,691637000,341000000,4097860000
None,1768322000,1768322000,None,107562000,453452000,561014000,2007-01-31,1300449000,494480000,46350000,None,21000,None,None,448834000,None,None,None,846997000,453452000,None,USD,553467000,294000000,3068771000
None,1464892000,1464892000,None,97977000,354757000,452734000,2006-01-31,910795000,360221000,57635000,None,72000,None,None,302586000,None,None,None,570698000,340097000,None,USD,352099000,202000000,2375687000
