accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,6766000000,15655000000,15655000000,446000000,4463000000,28846000000,None,11775000000,87414000000,None,2024-12-31,20064000000,91026000000,91026000000,40849000000,None,84246000000,None,2677000000,6326000000,165853000000,None,23000000,162488000000,DKK,144448000000,102787000000,13113000000,10653000000,465795000000,160897000000,217528000000,322309000000,304898000000,104781000000,143486000000,None
None,5726000000,14392000000,14392000000,451000000,4494800000,25606000000,None,5304000000,75261000000,None,2023-12-31,4464000000,55942000000,55942000000,31811000000,None,15976000000,None,1663000000,2344000000,130455000000,None,189000000,90961000000,DKK,104839000000,27006000000,6478000000,15838000000,314486000000,139646000000,169655000000,207925000000,174840000000,38270000000,106561000000,None
None,4529000000,12653000000,12653000000,456000000,4544600000,15587000000,None,480000000,57505000000,None,2022-12-31,5092000000,46324000000,46324000000,24388000000,None,20775000000,None,1343000000,2727000000,96796000000,None,100000000,66671000000,DKK,80587000000,25784000000,1466000000,10921000000,241257000000,108194000000,120940000000,157771000000,133063000000,36831000000,83486000000,None
None,4129000000,10720000000,10720000000,462000000,4606200000,8870000000,None,12862000000,46799000000,None,2021-12-31,4346000000,38825000000,38825000000,19621000000,None,9654000000,None,1441000000,1690000000,-37052000000,None,360000000,55362000000,DKK,72004000000,26645000000,13684000000,6765000000,194508000000,85595000000,99516000000,123762000000,108913000000,24246000000,70746000000,-6000000
None,3672000000,12757000000,12757000000,470000000,4680000000,5717000000,None,6684000000,32184000000,None,2020-12-31,0,20657000000,20657000000,18536000000,None,None,None,1648000000,2332000000,-24270000000,None,None,50269000000,DKK,63774000000,10356000000,7459000000,0,144922000000,65809000000,70273000000,81597000000,79113000000,11324000000,63325000000,-8000000
0,3824000000,15475000000,15475000000,480000000,4757316000,6358000000,None,659000000,29152000000,None,2019-12-31,0,5835000000,5835000000,17641000000,None,0,None,1808000000,188000000,-23725000000,None,0,50551000000,DKK,57817000000,4483000000,1474000000,0,125612000000,62456000000,58983000000,68019000000,63156000000,9036000000,57593000000,-10000000
0,0,15638000000,15638000000,490000000,4848834000,6756000000,None,515000000,26889000000,None,2018-12-31,0,5145000000,5145000000,16336000000,None,0,None,1773000000,204000000,41850000000,None,0,41891000000,DKK,53406000000,515000000,515000000,0,110769000000,59067000000,54164000000,58930000000,51702000000,4766000000,51839000000,-11000000
0,0,18852000000,18852000000,500000000,4956186000,5610000000,None,1694000000,23551000000,None,2017-12-31,0,3325000000,3325000000,15373000000,None,0,None,1762000000,2304000000,34328000000,None,0,35247000000,DKK,48977000000,1694000000,1694000000,2304000000,102355000000,60080000000,47056000000,52540000000,42275000000,5484000000,49815000000,-11000000
0,0,18690000000,18690000000,510000000,5070187165,6011000000,None,229000000,24197000000,None,2016-12-31,0,2714000000,2714000000,14341000000,None,0,None,2197000000,529000000,36148000000,None,0,30179000000,DKK,46111000000,229000000,229000000,2009000000,97539000000,59766000000,47436000000,52270000000,37773000000,4834000000,45269000000,-9000000
0,0,16923000000,16923000000,520000000,5156804733,4927000000,None,0,17742000000,None,2015-12-31,0,2158000000,2158000000,12758000000,None,0,None,140258.09,6432000000,31096000000,None,0,25545000000,DKK,46816000000,1073000000,1073000000,3542000000,91799000000,55140000000,40873000000,44830000000,36659000000,3957000000,46969000000,-10000000
None,None,14396000000,14396000000,530000000,5260436000,4950000000,None,720000000,15791000000,None,2014-12-31,None,1378000000,1378000000,11357000000,None,None,None,856000000,5990000000,25248000000,None,None,3759873000,DKK,41277000000,720000000,720000000,1509000000,77062000000,46293000000,33689000000,36768000000,30769000000,3079000000,40294000000,-1788000
