capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
51309000000,8735000000,-128895000000,None,None,-9038000000,None,None,None,8545000000,44140000000,44140000000,None,2024-12-31,100988000000,120968000000,None,None,None,None,None,None,None,None,None,-20181000000,None,None,DKK
38896000000,-63158000000,-43892000000,None,None,-7423000000,None,None,None,9413000000,31767000000,31767000000,None,2023-12-31,83683000000,108908000000,None,None,None,None,None,None,None,None,None,-29924000000,None,None,DKK
14753000000,-51797000000,-24918000000,None,None,-4767000000,None,None,None,7362000000,25303000000,25303000000,None,2022-12-31,55525000000,78887000000,None,None,None,None,None,None,None,None,None,-24086000000,None,None,DKK
7385000000,-25493000000,-31605000000,None,None,-1085000000,None,None,None,6025000000,21517000000,21517000000,None,2021-12-31,47757000000,55000000000,None,None,None,None,None,None,None,None,None,-19447000000,None,None,DKK
22081000000,-32244000000,-22436000000,None,None,-895000000,None,None,None,5753000000,20121000000,20121000000,None,2020-12-31,42138000000,51951000000,None,None,None,None,None,None,None,None,None,-16855000000,None,None,DKK
11231000000,-35484000000,-11509000000,0,0,-1305000000,None,None,0,5661000000,19409000000,19409000000,None,2019-12-31,38951000000,46782000000,None,None,None,None,None,None,None,None,None,-15334000000,None,None,DKK
12410000000,-34521000000,-12080000000,0,0,-963000000,None,None,0,3925000000,19048000000,19048000000,None,2018-12-31,38628000000,44616000000,None,None,None,None,None,None,None,None,None,-15567000000,None,None,DKK
8648000000,-35689000000,-6571000000,0,0,-1032000000,None,None,0,3182000000,18844000000,18844000000,None,2017-12-31,38130000000,41168000000,None,None,None,None,None,None,None,None,None,-16845000000,None,None,DKK
8267000000,-38887000000,-6790000000,0,0,-1583000000,None,None,0,3193000000,23830000000,23830000000,None,2016-12-31,37925000000,48314000000,None,None,None,None,None,None,None,None,None,-15057000000,None,None,DKK
6406000000,-30101000000,-6098000000,0,0,-1401000000,None,None,0,2959000000,12905000000,12905000000,None,2015-12-31,34860000000,38287000000,None,None,None,None,None,None,None,None,None,-17196000000,None,None,DKK
4335000000,-26533000000,-2064000000,None,None,-1805000000,None,None,None,3435000000,11866000000,11866000000,None,2014-12-31,26481000000,31692000000,None,None,None,None,None,None,None,None,None,-14667000000,None,None,DKK
3644000000,-23639000000,-2773000000,None,None,-9000000,None,None,None,2799000000,9715000000,9715000000,None,2013-12-31,25184000000,25942000000,None,None,None,None,None,None,None,None,None,-13924000000,None,None,DKK
3622000000,-20140000000,-4070000000,None,None,-110000000,None,None,None,2693000000,7742000000,7742000000,None,2012-12-31,21432000000,22214000000,None,None,None,None,None,None,None,None,None,-11896000000,None,None,DKK
3332000000,-16802000000,-3459000000,None,None,256000000,None,None,None,None,5700000000,5700000000,None,2011-12-31,17097000000,21374000000,None,None,None,None,None,None,None,None,None,-10595000000,None,None,DKK
3897000000,-13220000000,-5579000000,None,None,327000000,None,None,None,2467000000,4400000000,4400000000,None,2010-12-31,14403000000,19679000000,None,None,None,None,None,None,None,None,None,-9498000000,None,None,DKK
3065000000,-10045000000,-3046000000,None,None,-405000000,None,None,None,2551000000,703167000,703167000,None,2009-12-31,10768000000,15378000000,None,None,None,None,None,None,None,None,None,-6512000000,None,None,DKK
2043394400,-7387245200,-1385442800,None,None,-652602400,None,None,None,2449933600,2802980800,2802980800,None,2008-12-31,9666004400,12896921200,None,None,None,None,None,None,None,None,None,-4728692800,None,None,DKK
2429150000,-6842532000,-1518858000,None,None,-618794000,None,None,None,3012146000,2224590000,2224590000,None,2007-12-31,8535266000,9997870000,None,None,None,None,None,None,None,None,None,-4842958000,None,None,DKK
3316902200,-4757805200,-2520167600,None,None,-683722600,None,None,None,2141577400,1943806400,1943806400,None,2006-12-31,6452985200,7741322000,None,None,None,None,None,None,None,None,None,-3000468600,None,None,DKK
3895859640,-4431697940,-4904496440,None,None,-617790040,None,None,None,1929017880,1588602960,1588602960,None,2005-12-31,5856397420,8699492400,None,None,None,None,None,None,None,None,None,-3013302440,None,None,DKK
