comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,44522000000,44522000000,None,8545000000,128831000000,137376000000,2024-12-31,245881000000,127191000000,26203000000,None,1640000000,1838000000,None,100988000000,100988000000,-91000000,None,117542000000,128339000000,None,DKK,48062000000,5276000000,290403000000
None,35765000000,35765000000,None,9413000000,103918000000,113331000000,2023-12-31,196496000000,104674000000,20991000000,None,739000000,1069000000,None,83683000000,83683000000,330000000,None,93922000000,102574000000,None,DKK,32443000000,4855000000,232261000000
None,28448000000,28448000000,None,6602000000,69810000000,76412000000,2022-12-31,148506000000,69062000000,13537000000,None,378000000,239000000,None,55525000000,55525000000,-320000000,None,73697000000,74809000000,None,DKK,24047000000,4467000000,176954000000
None,23658000000,23658000000,None,5311000000,59515000000,64826000000,2021-12-31,117142000000,59080000000,11323000000,None,2451000000,558000000,None,47757000000,47757000000,-180000000,None,58498000000,58644000000,None,DKK,17772000000,4050000000,140800000000
None,20932000000,20932000000,None,5276000000,53289000000,58565000000,2020-12-31,106014000000,53130000000,10992000000,None,390000000,337000000,None,42138000000,42138000000,-203000000,None,51888000000,54126000000,None,DKK,15462000000,3958000000,126946000000
None,20088000000,20088000000,None,4679000000,51631000000,56310000000,2019-12-31,101933000000,48553000000,9602000000,None,220000000,3757000000,None,38951000000,38951000000,-436000000,None,49450000000,52483000000,0,DKK,14220000000,4007000000,122021000000
None,17617000000,17617000000,None,3809000000,47760000000,51569000000,2018-12-31,94214000000,47615000000,8987000000,None,85000000,439000000,None,38628000000,38628000000,-106000000,None,46966000000,47248000000,0,DKK,14805000000,3916000000,111831000000
None,17632000000,17632000000,None,2870000000,48824000000,51694000000,2017-12-31,94064000000,48680000000,10550000000,None,90000000,219000000,None,38130000000,38130000000,-89000000,None,45097000000,48967000000,0,DKK,14014000000,3784000000,111696000000
None,17183000000,17183000000,None,2651000000,47924000000,50575000000,2016-12-31,94597000000,47798000000,9873000000,None,65000000,549000000,None,37925000000,37925000000,-98000000,None,46165000000,48432000000,0,DKK,14563000000,3962000000,111780000000
None,16188000000,16188000000,None,3044000000,46534000000,49578000000,2015-12-31,91739000000,43483000000,8623000000,None,6046000000,5880000000,None,34860000000,2274138.10,None,None,42295000000,49444000000,0,DKK,13608000000,3857000000,107927000000
None,14562000000,14562000000,None,3602000000,34492000000,38094000000,2014-12-31,74244000000,34096000000,7615000000,None,563000000,None,None,26481000000,26481000000,None,None,39752000000,34492000000,None,DKK,13762000000,3537000000,88806000000
None,14140000000,14140000000,None,3568000000,31681000000,35249000000,2013-12-31,69432000000,32539000000,7355000000,None,55000000,None,None,25184000000,4652000000,None,None,37939000000,31493000000,None,DKK,11733000000,3508000000,83572000000
None,13465000000,13465000000,None,2818000000,27624000000,30442000000,2012-12-31,64561000000,27811000000,6379000000,None,1788000000,None,None,21432000000,None,None,None,35087000000,29474000000,None,DKK,10897000000,3312000000,78026000000
None,12589000000,12589000000,None,20000000,24917000000,24937000000,2011-12-31,53757000000,21925000000,4828000000,None,959000000,None,None,17097000000,None,None,None,31877000000,22374000000,None,DKK,9628000000,3245000000,66346000000
None,11680000000,11680000000,None,2849000000,18404000000,21253000000,2010-12-31,49096000000,18286000000,3883000000,None,2057000000,None,None,14403000000,None,None,None,31519000000,18891000000,None,DKK,9602000000,3722000000,60776000000
None,10438000000,10438000000,None,3267000000,14537000000,17804000000,2009-12-31,40640000000,13988000000,3220000000,None,1265000000,None,None,10768000000,None,None,None,26048000000,14933000000,None,DKK,7864000000,2764000000,51078000000
None,10131384800,10131384800,None,2075489600,12404794800,14480284400,2008-12-31,35534735600,12725746800,3059742400,None,0,None,None,9666004400,None,None,None,23124591600,12404794800,None,DKK,7874022400,15822933600,45666120400
None,9803538000,9803538000,None,1897294000,10074580000,11971874000,2007-12-31,32085236000,10984872000,2454720000,None,0,None,None,8535266000,None,None,None,23125508000,8954614000,None,DKK,8550608000,14897082000,41888774000
None,9589068200,9589068200,None,1638674000,9120068400,10758742400,2006-12-31,29162746600,9165273200,2712288000,None,0,None,None,6452985200,None,None,None,20042678200,9120068400,None,DKK,6317370800,13996536200,38751814800
None,9165986920,9165986920,None,1210364160,8075398380,9285762540,2005-12-31,24547698120,8220389920,2363992500,None,0,None,None,5856397420,None,None,None,16472299740,8075398380,None,DKK,5074703900,11794746580,33713685040
