accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1803000000,11459000000,11459000000,793000000,2035000000,4572000000,None,8089000000,8211000000,None,2024-12-31,24756000000,26915000000,26915000000,5723000000,None,21366000000,None,1128000000,2419000000,13444000000,None,1041000000,10873000000,USD,46561000000,31258000000,8324000000,1892000000,102246000000,29704000000,28692000000,58120000000,72542000000,29428000000,44046000000,None
None,1828000000,13393000000,13393000000,825000000,2092000000,4926000000,None,6084000000,8124000000,None,2023-12-31,23341000000,26879000000,26879000000,5913000000,None,18436000000,None,1827000000,2016000000,12643000000,None,1193000000,10924000000,USD,49649000000,26348000000,6314000000,569000000,99945000000,30481000000,26390000000,53195000000,69464000000,26805000000,46667000000,-41000000
None,1789000000,7517000000,7517000000,890000000,2197000000,5146000000,None,5876000000,8936000000,None,2022-12-31,29301000000,31644000000,31644000000,7175000000,None,20244000000,None,1606000000,2943000000,14672000000,None,1578000000,12195000000,USD,63540000000,27964000000,6182000000,11413000000,117453000000,36910000000,28656000000,58030000000,80543000000,29374000000,59342000000,-92000000
None,1896000000,12407000000,12407000000,901000000,2260000000,5553000000,None,6227000000,8828000000,None,2021-12-31,29595000000,34182000000,34182000000,6666000000,None,22902000000,None,2268000000,2823000000,15547000000,None,1475000000,13106000000,USD,70989000000,31093000000,6570000000,15922000000,131795000000,45718000000,30208000000,63973000000,86077000000,33765000000,67655000000,-48000000
None,2005000000,9658000000,9658000000,913000000,2296000000,5403000000,None,9591000000,9073000000,None,2020-12-31,29999000000,36809000000,36809000000,7131000000,None,26259000000,None,11700000000,2921000000,15071000000,None,1393000000,13939000000,USD,57157000000,38049000000,10071000000,1905000000,132059000000,29673000000,33059000000,75393000000,102386000000,42334000000,56598000000,-53000000
None,1949000000,11112000000,11112000000,936000000,2319000000,5424000000,None,6846000000,9172000000,None,2019-12-31,26524000000,28787000000,28787000000,5982000000,None,20353000000,None,11162000000,3877000000,13255000000,None,1213000000,13746000000,USD,59275000000,29333000000,7277000000,334000000,118370000000,29504000000,28264000000,62819000000,88866000000,34555000000,55474000000,-80000000
None,None,13271000000,13271000000,944000000,2344000000,5556000000,None,9620000000,9676000000,None,2018-12-31,35294000000,38719000000,38719000000,6956000000,None,22470000000,None,10697000000,4046000000,11629000000,None,1371000000,15696000000,USD,82191000000,32090000000,9620000000,2693000000,145563000000,35563000000,29607000000,66871000000,110000000000,37264000000,78614000000,-69000000
None,None,8860000000,8860000000,969000000,2371000000,5169000000,None,5201000000,10070000000,None,2017-12-31,31750000000,29997000000,29997000000,6867000000,None,23224000000,None,17613000000,1786000000,10345000000,None,1386000000,16464000000,USD,77639000000,28425000000,5201000000,625000000,133079000000,28208000000,23403000000,58852000000,104871000000,35449000000,74168000000,-100000000
None,None,7007000000,7007000000,972000000,2400000000,4873000000,None,5789000000,10202000000,None,2016-12-31,30980000000,31340000000,31340000000,6255000000,None,17897000000,None,16500000000,697000000,8994000000,None,1458000000,15641000000,USD,81148000000,23802000000,8055000000,770000000,130124000000,24931000000,22209000000,55233000000,105193000000,33024000000,74832000000,-76000000
None,None,4674000000,4674000000,991000000,2438000000,5668000000,None,1689000000,10551000000,None,2015-12-31,31174000000,34217000000,34217000000,6226000000,None,16327000000,None,16577000000,621000000,9783000000,None,None,15982000000,USD,80379000000,21931000000,7872000000,773000000,131556000000,22845000000,23708000000,54434000000,108711000000,30726000000,77046000000,-101000000
None,None,13023000000,13023000000,1001000000,2470000000,5419000000,None,3041000000,10255000000,None,2014-12-31,29311000000,23832000000,23832000000,6093000000,None,13799000000,None,9440000000,7351000000,11988000000,None,None,15983000000,USD,72433000000,20411000000,6560000000,839000000,125387000000,37561000000,26973000000,54543000000,87826000000,27570000000,70766000000,-103000000
None,None,6687000000,6687000000,1001000000,2479000000,6148000000,None,18018000000,12623000000,None,2013-12-31,31026000000,27841000000,27841000000,7267000000,None,11242000000,None,10101000000,1430000000,10291000000,None,None,18342000000,USD,73065000000,18018000000,6673000000,2535000000,126254000000,30542000000,26368000000,51782000000,95712000000,25414000000,74343000000,-89000000
