capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3814000000,-11742000000,-7513000000,None,None,-225000000,None,None,None,6069000000,7624000000,7624000000,None,2024-12-31,11939000000,17619000000,None,None,None,None,None,None,None,None,None,-8331000000,None,None,USD
2753000000,-14278000000,5596000000,None,None,-546000000,None,None,None,8277000000,7255000000,7255000000,None,2023-12-31,8572000000,14458000000,None,None,None,None,None,None,None,None,None,-8719000000,None,None,USD
2671000000,-20562000000,1468000000,None,None,-830000000,None,None,None,7181000000,7506000000,7506000000,None,2022-12-31,6955000000,14236000000,None,None,None,None,None,None,None,None,None,-10652000000,None,None,USD
2971000000,-16264000000,4208000000,None,None,81000000,None,None,None,6113000000,7368000000,7368000000,None,2021-12-31,24018000000,15071000000,None,None,None,None,None,None,None,None,None,-3057000000,None,None,USD
2585000000,-2208000000,-13182000000,None,None,-543000000,None,None,None,6464000000,6987000000,6987000000,None,2020-12-31,8071000000,13650000000,None,None,None,None,None,None,None,None,None,-2842000000,None,None,USD
2257000000,-13627000000,-2226000000,None,None,-382000000,None,None,None,5826000000,6645000000,6645000000,None,2019-12-31,7147000000,13625000000,None,None,None,None,None,None,None,None,None,-5533000000,None,None,USD
3355000000,-4244000000,-5591000000,None,None,-533000000,None,None,None,6892000000,6966000000,6966000000,None,2018-12-31,12614000000,14272000000,None,None,None,None,None,None,None,None,None,-2036000000,None,None,USD
2746000000,-7733000000,-3119000000,None,None,-247000000,None,None,None,6076000000,6495000000,6495000000,None,2017-12-31,7703000000,12621000000,None,None,None,None,None,None,None,None,None,-5490000000,None,None,USD
2879000000,-5314000000,-3441000000,None,None,-235000000,None,None,None,6043000000,6475000000,6475000000,None,2016-12-31,6698000000,11475000000,None,None,None,None,None,None,None,None,None,-1109000000,None,None,USD
3851000000,-9176000000,-10784000000,None,None,-482000000,None,None,None,5575000000,6643000000,6643000000,None,2015-12-31,7028000000,11897000000,None,None,None,None,None,None,None,None,None,-6071000000,None,None,USD
3703000000,-8147000000,881000000,None,None,-506000000,None,None,None,4751000000,6810000000,6810000000,None,2014-12-31,10727000000,13897000000,None,None,None,None,None,None,None,None,None,-6915000000,None,None,USD
3775000000,-8769000000,-3352000000,None,None,-653000000,None,None,None,4990000000,6100000000,6100000000,None,2013-12-31,9292000000,13174000000,None,None,None,None,None,None,None,None,None,-2930000000,None,None,USD
3305000000,-6675000000,-5675000000,None,None,-701000000,None,None,None,4954000000,6030000000,6030000000,None,2012-12-31,9618000000,14194000000,None,None,None,None,None,None,None,None,None,-505000000,None,None,USD
2387000000,-15024000000,-792000000,None,None,45000000,None,None,None,5788000000,5368000000,5368000000,None,2011-12-31,9245000000,14309000000,None,None,None,None,None,None,None,None,None,-3628000000,None,None,USD
2232000000,4116000000,-15756000000,None,None,965000000,None,None,None,3419000000,4486000000,4486000000,None,2010-12-31,9969000000,14067000000,None,None,None,None,None,None,None,None,None,-311000000,None,None,USD
2733000000,2809000000,-14219000000,None,None,237000000,None,None,None,2301000000,3941000000,3941000000,None,2009-12-31,8454000000,12191000000,None,None,None,None,None,None,None,None,None,-461000000,None,None,USD
2316000000,-2573000000,-10367000000,None,None,-571000000,None,None,None,2670000000,3345000000,3345000000,None,2008-12-31,8163000000,9769000000,None,None,None,None,None,None,None,None,None,-3348000000,None,None,USD
3133000000,-9318000000,-6244000000,None,None,-747000000,None,None,None,2858000000,2598000000,2598000000,None,2007-12-31,6540000000,9210000000,None,None,None,None,None,None,None,None,None,-6448000000,None,None,USD
2322000000,-4970000000,-6575000000,None,None,-117000000,None,None,None,1987000000,2049000000,2049000000,None,2006-12-31,7019000000,8710000000,None,None,None,None,None,None,None,None,None,-399000000,None,None,USD
1548000000,-266000000,-7482000000,None,None,175000000,None,None,None,1717000000,2107000000,2107000000,None,2005-12-31,6141000000,8080000000,None,None,None,None,None,None,None,None,None,-231000000,None,None,USD
