comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,12827000000,12827000000,None,6069000000,14646000000,20715000000,2024-12-31,38895000000,13640000000,1701000000,None,1037000000,568000000,None,11941000000,11939000000,-608000000,None,24351000000,14544000000,None,USD,10022000000,12566000000,51722000000
None,12472000000,12472000000,None,8277000000,10009000000,18286000000,2023-12-31,34188000000,9123000000,551000000,None,873000000,627000000,None,14850000000,8155000000,-492000000,None,24419000000,9769000000,None,USD,11371000000,14316000000,46660000000
None,15486000000,15486000000,None,6705000000,8021000000,14726000000,2022-12-31,36342000000,8371000000,1416000000,None,833000000,379000000,None,6955000000,6955000000,-633000000,None,27145000000,9197000000,None,USD,9996000000,14253000000,51828000000
None,15867000000,15867000000,None,5429000000,11703000000,17132000000,2021-12-31,37010000000,26137000000,2119000000,None,905000000,14628000000,None,24021000000,24018000000,-891000000,None,25321000000,26948000000,None,USD,9540000000,14815000000,52877000000
None,15121000000,15121000000,None,5110000000,10126000000,15236000000,2020-12-31,34777000000,9878000000,1807000000,None,921000000,91000000,None,8072000000,8071000000,-947000000,None,24625000000,10152000000,None,USD,8980000000,14197000000,49898000000
None,14425000000,14425000000,None,5826000000,9183000000,15009000000,2019-12-31,34252000000,8940000000,1793000000,None,902000000,36000000,None,7147000000,7147000000,-645000000,None,25166000000,9086000000,None,USD,9402000000,14369000000,48677000000
None,18407000000,18407000000,None,5211000000,8924000000,14135000000,2018-12-31,34759000000,13835000000,1221000000,None,971000000,5000000,None,12611000000,12614000000,-706000000,None,26590000000,8169000000,None,USD,9074000000,16471000000,53166000000
None,17175000000,17175000000,None,5210000000,8693000000,13903000000,2017-12-31,32960000000,8999000000,1296000000,None,802000000,418000000,None,7703000000,7703000000,-692000000,None,24331000000,8629000000,None,USD,8972000000,2136000000,50135000000
None,17520000000,17520000000,None,5350000000,7843000000,13193000000,2016-12-31,31916000000,7817000000,1119000000,None,729000000,440000000,None,6712000000,6698000000,-684000000,None,23648000000,8268000000,None,USD,9039000000,2194000000,49436000000
None,17404000000,17404000000,None,5575000000,8789000000,14364000000,2015-12-31,32983000000,8134000000,1106000000,None,692000000,630000000,None,17783000000,7028000000,None,None,24006000000,8977000000,None,USD,8935000000,2475000000,50387000000
None,17345000000,17345000000,None,4751000000,12907000000,17658000000,2014-12-31,36289000000,12272000000,1545000000,None,701000000,None,None,10210000000,10727000000,None,None,25200000000,11089000000,None,USD,9086000000,2616000000,53634000000
None,19608000000,19608000000,None,4990000000,10905000000,15895000000,2013-12-31,39223000000,10735000000,1443000000,None,664000000,None,None,9175000000,9309000000,None,None,28313000000,10910000000,None,USD,9852000000,3060000000,58831000000
None,18756000000,18756000000,None,4954000000,11967000000,16921000000,2012-12-31,38805000000,11243000000,1625000000,None,655000000,None,None,9505000000,None,None,None,27294000000,11511000000,None,USD,9332000000,2937000000,57561000000
None,18983000000,18983000000,None,5788000000,11306000000,17094000000,2011-12-31,40392000000,10773000000,1528000000,None,751000000,None,None,9113000000,None,None,None,29394000000,10998000000,None,USD,9583000000,2970000000,59375000000
None,14488000000,14488000000,None,3419000000,12394000000,15813000000,2010-12-31,37073000000,11702000000,1733000000,None,692000000,None,None,9794000000,None,None,None,25547000000,11526000000,None,USD,9070000000,2481000000,51561000000
None,12179000000,12179000000,None,2301000000,10473000000,12774000000,2009-12-31,32924000000,9922000000,1468000000,None,551000000,None,None,8400000000,None,None,None,22942000000,9982000000,None,USD,7469000000,2281000000,45103000000
None,11439000000,11439000000,None,2670000000,9789000000,12459000000,2008-12-31,31145000000,9499000000,1336000000,None,290000000,None,None,8195000000,None,None,None,22181000000,8964000000,None,USD,7217000000,2245000000,42584000000
None,11032000000,11032000000,None,2858000000,7724000000,10582000000,2007-12-31,27915000000,7487000000,947000000,None,237000000,None,None,11946000000,None,None,None,21134000000,6781000000,None,USD,6430000000,2133000000,38947000000
None,10299000000,10299000000,None,1987000000,8196000000,10183000000,2006-12-31,26450000000,8301000000,1282000000,None,266000000,None,None,7175000000,None,None,None,18501000000,7949000000,None,USD,5349000000,1957000000,36749000000
None,8868000000,8868000000,None,1717000000,7065000000,8782000000,2005-12-31,23658000000,7265000000,1124000000,None,294000000,None,None,6130000000,None,None,None,16753000000,6905000000,None,USD,4846000000,1742000000,32526000000
