accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,956000000,9556000000,9556000000,4009000000,2454400000,15227000000,None,9512000000,6185000000,None,2025-06-30,41650000000,21910000000,21910000000,7551000000,None,24995000000,None,None,2100000000,11063000000,None,566000000,None,USD,129973000000,35463000000,9768000000,None,125231000000,25392000000,36058000000,72946000000,99839000000,36888000000,52012000000,None
None,909000000,9482000000,9482000000,4009000000,2471900000,15364000000,None,7191000000,6118000000,None,2024-06-30,40303000000,22047000000,22047000000,7016000000,None,25269000000,None,None,2093000000,9787000000,None,557000000,23027000000,USD,123811000000,33369000000,7434000000,None,122370000000,24709000000,33627000000,71812000000,97660000000,38185000000,50286000000,None
None,817000000,8246000000,8246000000,4009000000,2483900000,14598000000,None,10229000000,5471000000,None,2023-06-30,40659000000,23783000000,23783000000,7073000000,None,24378000000,None,None,1858000000,9879000000,None,7152000000,21909000000,USD,118170000000,35424000000,10451000000,None,120829000000,22648000000,35756000000,73764000000,98181000000,38008000000,46777000000,-129736000000
None,800000000,7214000000,7214000000,4009000000,2539100000,14882000000,None,8645000000,5143000000,None,2022-06-30,39700000000,23679000000,23679000000,6924000000,None,22848000000,None,None,2372000000,8762000000,None,7616000000,21195000000,USD,112429000000,32293000000,8850000000,None,117208000000,21653000000,33081000000,70354000000,95555000000,37273000000,46589000000,-123382000000
None,631000000,10288000000,10288000000,4009000000,2601000000,13720000000,None,8889000000,4725000000,None,2021-06-30,40924000000,23642000000,23642000000,5983000000,None,23099000000,None,None,2095000000,9667000000,None,10269000000,21686000000,USD,106374000000,32838000000,9108000000,None,119307000000,23091000000,33132000000,72653000000,96216000000,39521000000,46378000000,-114973000000
None,652000000,16181000000,16181000000,4009000000,2625800000,12071000000,None,11183000000,4178000000,None,2020-06-30,39901000000,23792000000,23792000000,5498000000,None,23537000000,None,None,2130000000,8790000000,None,1149000000,21542000000,USD,100239000000,35611000000,11422000000,0,120700000000,27987000000,32976000000,73822000000,92713000000,40846000000,46521000000,-105573000000
None,33000000,4239000000,4239000000,4009000000,2539500000,11260000000,None,9688000000,4951000000,None,2019-06-30,40273000000,24215000000,24215000000,5017000000,None,20395000000,None,169000000,2218000000,8704000000,None,10211000000,21271000000,USD,94918000000,30101000000,9706000000,6048000000,115095000000,22473000000,30011000000,67516000000,92622000000,37505000000,47194000000,-100406000000
None,107000000,2569000000,2569000000,4009000000,2656700000,10344000000,None,10401000000,4686000000,None,2018-06-30,45175000000,23902000000,23902000000,4738000000,None,20863000000,None,141000000,4092000000,7180000000,None,10164000000,20600000000,USD,98641000000,31393000000,10445000000,9281000000,118310000000,23320000000,28237000000,65427000000,94990000000,37190000000,52293000000,-99217000000
None,51000000,5569000000,5569000000,4009000000,2740400000,9632000000,None,13541000000,4594000000,None,2017-06-30,44699000000,24187000000,24187000000,4624000000,None,18038000000,None,132000000,4278000000,6562000000,None,8254000000,19893000000,USD,96124000000,31643000000,13567000000,9568000000,120406000000,26494000000,30210000000,64628000000,93912000000,34418000000,55184000000,-93715000000
None,45000000,7102000000,7102000000,4009000000,2844400000,9325000000,None,11637000000,4373000000,None,2016-06-30,44350000000,24527000000,24527000000,4716000000,None,18945000000,None,28000000,11345000000,9379000000,None,10325000000,19385000000,USD,87953000000,30643000000,11669000000,6246000000,127136000000,33782000000,30770000000,69153000000,93354000000,38383000000,57341000000,-82176000000
None,None,6836000000,6836000000,4009000000,2883600000,8138000000,None,2772000000,4568000000,None,2015-06-30,44622000000,25010000000,25010000000,4979000000,None,18329000000,None,30000000,8496000000,8769000000,None,8795000000,20268000000,USD,84807000000,30397000000,12038000000,4767000000,129495000000,29646000000,29790000000,66445000000,99849000000,36655000000,62419000000,-77226000000
None,None,8558000000,8558000000,4009000000,2904700000,8461000000,None,35417000000,6386000000,None,2014-06-30,53704000000,30843000000,30843000000,6759000000,None,19811000000,None,None,7786000000,8929000000,None,10535000000,22304000000,USD,84990000000,35500000000,15625000000,2128000000,144266000000,31617000000,33726000000,74290000000,112649000000,40564000000,69214000000,-75805000000
None,None,5947000000,5947000000,4009000000,2930600000,8777000000,None,None,6508000000,None,2013-06-30,55188000000,31572000000,31572000000,6909000000,None,19111000000,None,None,8304000000,8006000000,None,10579000000,21666000000,USD,80197000000,31574000000,12437000000,0,139263000000,23990000000,30037000000,70554000000,115273000000,40517000000,68064000000,-71966000000
-19856000000,None,4436000000,4436000000,4008000000,2941200000,7920000000,None,None,6068000000,None,2012-06-30,53773000000,30988000000,30988000000,6721000000,None,21080000000,None,None,8369000000,7859000000,None,12090000000,20377000000,USD,75349000000,29823000000,8714000000,0,132244000000,21910000000,24907000000,68209000000,110334000000,43302000000,63439000000,-69604000000
-20214000000,None,2768000000,2768000000,4008000000,3001900000,8022000000,None,None,6275000000,None,2011-06-30,57562000000,32620000000,32620000000,7379000000,None,22033000000,None,None,5548000000,8504000000,None,9957000000,21293000000,USD,70682000000,32014000000,9981000000,0,138354000000,21970000000,27293000000,70353000000,116384000000,43060000000,67640000000,-67278000000
-17768000000,None,2879000000,2879000000,4008000000,3099300000,7251000000,None,None,5335000000,None,2010-06-30,54012000000,31636000000,31636000000,6384000000,None,21360000000,None,None,4184000000,8559000000,None,10189000000,19244000000,USD,64614000000,29832000000,8472000000,0,128172000000,18782000000,24282000000,66733000000,109390000000,42451000000,61115000000,-61309000000
None,None,4781000000,4781000000,4007000000,3154100000,5980000000,None,None,5836000000,None,2009-06-30,56512000000,32606000000,32606000000,6880000000,None,20652000000,None,None,4408000000,8601000000,None,None,19462000000,USD,57309000000,36972000000,16320000000,None,134833000000,21905000000,30901000000,71451000000,112928000000,40550000000,63099000000,-55961000000
None,None,3313000000,3313000000,4002000000,3316800000,6775000000,None,None,6761000000,None,2008-06-30,59767000000,34233000000,34233000000,8416000000,None,23581000000,None,None,6025000000,11099000000,None,None,20640000000,USD,48986000000,36665000000,13084000000,228000000,143992000000,24515000000,30958000000,74498000000,119477000000,43540000000,69494000000,-47588000000
None,None,5354000000,5354000000,3990000000,3398600000,5710000000,None,None,6629000000,None,2007-06-30,56552000000,33626000000,33626000000,6819000000,None,23375000000,None,None,5027000000,12968000000,None,None,19540000000,USD,41797000000,35414000000,12039000000,202000000,138014000000,24031000000,30717000000,71254000000,113983000000,40537000000,66760000000,-38772000000
None,None,6693000000,6693000000,3976000000,3285900000,4910000000,None,None,5725000000,None,2006-06-30,55306000000,33721000000,33721000000,6291000000,None,35976000000,None,None,4487000000,12947000000,None,None,18770000000,USD,35666000000,38104000000,2128000000,1133000000,135695000000,24329000000,19985000000,72787000000,111366000000,52802000000,62908000000,-34235000000
