capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3773000000,-14036000000,-3818000000,None,None,-324000000,None,None,None,2847000000,9872000000,9872000000,None,2025-06-30,16065000000,17818000000,None,None,None,None,None,None,None,None,None,-6500000000,None,None,USD
3322000000,-14855000000,-3504000000,None,None,-70000000,None,None,None,2896000000,9312000000,9312000000,None,2024-06-30,14879000000,19846000000,None,None,None,None,None,None,None,None,None,-5006000000,None,None,USD
3062000000,-12146000000,-3500000000,1202000000,None,-119000000,None,None,-307000000,2714000000,8999000000,8999000000,None,2023-06-30,14738000000,16848000000,None,None,None,None,None,None,None,None,None,-7353000000,None,None,USD
3156000000,-14876000000,-4424000000,-2577000000,None,-1247000000,None,None,-694000000,2807000000,8770000000,8770000000,None,2022-06-30,14793000000,16723000000,None,None,None,None,None,None,None,None,None,-10003000000,None,None,USD
2787000000,-21531000000,-2834000000,-5994000000,None,-309000000,None,None,-342000000,2735000000,8263000000,8263000000,None,2021-06-30,14352000000,18371000000,None,None,None,None,None,None,None,None,None,-11009000000,None,None,USD
3073000000,-8367000000,3045000000,None,None,-637000000,None,None,None,3013000000,7789000000,7789000000,None,2020-06-30,13103000000,17403000000,None,None,None,None,None,None,None,None,None,-7405000000,None,None,USD
3347000000,-9994000000,-3490000000,1670000000,-88000000,-239000000,None,None,-276000000,2824000000,7498000000,7498000000,None,2019-06-30,3966000000,15242000000,None,None,None,None,None,None,None,None,None,-5003000000,None,None,USD
3717000000,-14375000000,-3511000000,-3000000000,19000000,-188000000,None,None,-177000000,2834000000,7310000000,7310000000,None,2018-06-30,9861000000,14867000000,None,None,None,None,None,None,None,None,None,-7004000000,None,None,USD
3384000000,-8568000000,-6685000000,-1533000000,-29000000,71000000,None,None,-322000000,2820000000,7236000000,7236000000,None,2017-06-30,15326000000,12753000000,None,None,None,None,None,None,None,None,None,-5204000000,None,None,USD
3314000000,-9213000000,-5575000000,266000000,-381000000,116000000,None,None,35000000,3078000000,7436000000,7436000000,None,2016-06-30,10604000000,15435000000,None,None,None,None,None,None,None,None,None,-5734000000,None,None,USD
3736000000,-13019000000,-2890000000,-1713000000,-411000000,313000000,None,None,349000000,3134000000,7287000000,7287000000,None,2015-06-30,7144000000,14608000000,None,None,None,None,None,None,None,None,None,-4604000000,None,None,USD
3848000000,-7279000000,-4107000000,2611000000,39000000,8000000,None,None,87000000,3141000000,6911000000,6911000000,None,2014-06-30,11785000000,13958000000,None,None,None,None,None,None,None,None,None,-6005000000,None,None,USD
4008000000,-7071000000,-6295000000,1511000000,4000000,-225000000,None,None,-415000000,2982000000,6519000000,6519000000,None,2013-06-30,11402000000,14873000000,None,None,None,None,None,None,None,None,None,-5986000000,None,None,USD
3964000000,-10410000000,-1093000000,1668000000,-113000000,77000000,None,None,-427000000,3204000000,6139000000,6139000000,None,2012-06-30,10904000000,13284000000,None,None,None,None,None,None,None,None,None,-4024000000,None,None,USD
3306000000,-10122000000,-3482000000,-111000000,163000000,-501000000,None,None,-426000000,2838000000,5767000000,5767000000,None,2011-06-30,11927000000,13330000000,None,None,None,None,None,None,None,None,None,-7039000000,None,None,USD
3067000000,-17314000000,-597000000,-1902000000,-122000000,86000000,None,None,-14000000,3108000000,5458000000,5458000000,None,2010-06-30,12736000000,16072000000,None,None,None,None,None,None,None,None,None,-6004000000,None,None,USD
3238000000,-10814000000,-2353000000,None,None,721000000,None,None,None,3082000000,5044000000,5044000000,None,2009-06-30,13436000000,14919000000,None,None,None,None,None,None,None,None,None,-6370000000,None,None,USD
3046000000,-14844000000,-2549000000,None,None,-1050000000,None,None,None,3166000000,4655000000,4655000000,None,2008-06-30,12075000000,15008000000,None,None,None,None,None,None,None,None,None,-10047000000,None,None,USD
2945000000,-12478000000,-2483000000,None,None,-389000000,None,None,None,3130000000,4209000000,4209000000,None,2007-06-30,10340000000,13435000000,None,None,None,None,None,None,None,None,None,-5578000000,None,None,USD
2667000000,-10578000000,-730000000,None,None,383000000,None,None,None,2627000000,3703000000,3703000000,None,2006-06-30,8684000000,11375000000,None,None,None,None,None,None,None,None,None,-16830000000,None,None,USD
