comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,41164000000,41164000000,None,2847000000,21074000000,23921000000,2025-06-30,43120000000,20167000000,4102000000,None,907000000,469000000,None,15974000000,16065000000,-438000000,None,22669000000,20451000000,None,USD,None,22669000000,84284000000
None,40848000000,40848000000,None,2896000000,19686000000,22582000000,2024-06-30,43191000000,18761000000,3787000000,None,925000000,473000000,None,14879000000,14974000000,-452000000,None,24646000000,18545000000,None,USD,2000000000,12891000000,84039000000
None,42760000000,42760000000,None,2714000000,19057000000,21771000000,2023-06-30,39246000000,18353000000,3615000000,None,756000000,307000000,None,14653000000,14738000000,-449000000,None,21112000000,18134000000,975000000,USD,2000000000,13112000000,82006000000
None,42157000000,42157000000,None,2807000000,18434000000,21241000000,2022-06-30,38030000000,17995000000,3202000000,None,439000000,51000000,None,14742000000,14793000000,-388000000,None,20217000000,17813000000,621000000,USD,2000000000,11685000000,80187000000
None,37108000000,37108000000,None,2735000000,18117000000,20852000000,2021-06-30,39010000000,17615000000,3263000000,None,502000000,45000000,None,14306000000,14352000000,-457000000,None,21024000000,17986000000,131000000,USD,1900000000,12824000000,76118000000
None,35250000000,35250000000,None,3013000000,16299000000,19312000000,2020-06-30,35700000000,15834000000,2731000000,None,465000000,310000000,None,13027000000,13103000000,-310000000,None,19994000000,15706000000,None,USD,1800000000,12297000000,70950000000
None,34768000000,34768000000,None,2824000000,6578000000,9402000000,2019-06-30,32916000000,6069000000,2103000000,None,509000000,220000000,None,3897000000,3966000000,-289000000,None,27429000000,5487000000,1091000000,USD,1900000000,11909000000,67684000000
None,34432000000,34432000000,None,2834000000,13832000000,16666000000,2018-06-30,32400000000,13326000000,3465000000,None,506000000,247000000,None,9750000000,9861000000,-259000000,None,19037000000,13363000000,121000000,USD,1908000000,11608000000,66832000000
None,32638000000,32638000000,None,2820000000,13722000000,16542000000,2017-06-30,32420000000,13257000000,3063000000,None,465000000,171000000,None,15326000000,10194000000,-294000000,None,18654000000,13766000000,-233000000,USD,1874000000,11536000000,65058000000
None,32909000000,32909000000,None,3078000000,13843000000,16921000000,2016-06-30,32390000000,13369000000,3342000000,None,579000000,397000000,None,10508000000,10027000000,-397000000,None,18949000000,13441000000,507000000,USD,1879000000,11693000000,65299000000
None,37056000000,37056000000,None,3134000000,11518000000,14652000000,2015-06-30,33693000000,11012000000,2725000000,None,626000000,477000000,None,7036000000,8930000000,None,None,22644000000,11049000000,682000000,USD,1991000000,13436000000,70749000000
None,39030000000,39030000000,None,3141000000,14218000000,17359000000,2014-06-30,35371000000,13509000000,2851000000,None,709000000,None,None,11643000000,11707000000,None,None,21461000000,13910000000,306000000,USD,1910000000,13594000000,74401000000
None,39991000000,39991000000,None,2982000000,14846000000,17828000000,2013-06-30,40125000000,14179000000,3226000000,None,667000000,None,None,11312000000,11402000000,None,None,26308000000,13817000000,1029000000,USD,1940000000,16636000000,80116000000
None,41411000000,41411000000,None,3204000000,13297000000,16501000000,2012-06-30,40595000000,12528000000,3378000000,None,769000000,None,None,10756000000,9317000000,None,None,27560000000,13035000000,262000000,USD,2029000000,26421000000,82006000000
None,39859000000,39859000000,None,2838000000,15828000000,18666000000,2011-06-30,41245000000,14997000000,3299000000,None,831000000,None,None,11797000000,11797000000,None,None,25750000000,15495000000,202000000,USD,2001000000,25973000000,81104000000
None,37042000000,37042000000,None,3108000000,15814000000,18922000000,2010-06-30,40525000000,14868000000,4017000000,None,946000000,None,None,12736000000,10946000000,None,None,24793000000,15732000000,-28000000,USD,1950000000,24998000000,77567000000
None,38690000000,38690000000,None,3082000000,15715000000,18797000000,2009-06-30,38004000000,14413000000,3733000000,None,1358000000,None,None,11425000000,None,None,None,22630000000,16662000000,None,USD,2044000000,24008000000,76694000000
None,39536000000,39536000000,None,3166000000,17099000000,20265000000,2008-06-30,42212000000,15632000000,3834000000,None,1467000000,None,None,12075000000,None,None,None,25289000000,16923000000,None,USD,2226000000,25725000000,81748000000
None,36686000000,36686000000,None,3130000000,15450000000,18580000000,2007-06-30,39790000000,14710000000,4370000000,None,0,None,None,10340000000,None,None,None,24340000000,15450000000,None,USD,2112000000,24340000000,76476000000
None,33125000000,33125000000,None,2627000000,13249000000,15876000000,2006-06-30,35097000000,12413000000,3729000000,None,0,None,None,8684000000,None,None,None,21848000000,13249000000,None,USD,2075000000,21848000000,68222000000
