accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,4216000000,4216000000,0,1556000000,3952000000,None,3529000000,4675000000,None,2024-12-31,16600000000,11327000000,11327000000,9453000000,None,42166000000,None,2654000000,1826000000,15007000000,None,1116000000,7895000000,USD,32869000000,45695000000,3529000000,None,61784000000,20170000000,22915000000,71654000000,41614000000,48739000000,-11750000000,None
None,None,3060000000,3060000000,0,1553000000,4143000000,None,6666000000,4391000000,None,2023-12-31,16779000000,9864000000,9864000000,10774000000,None,41243000000,None,4929000000,1530000000,6902000000,None,1743000000,8147000000,USD,34090000000,47909000000,6666000000,1000000,65304000000,19755000000,26383000000,74750000000,45549000000,48367000000,-11225000000,None
None,None,3207000000,3207000000,0,1552000000,4076000000,None,8248000000,4756000000,None,2022-12-31,19655000000,6732000000,6732000000,9886000000,None,34855000000,None,4431000000,1770000000,6532000000,None,3825000000,15443000000,USD,34289000000,43123000000,8248000000,None,61681000000,19619000000,27336000000,67992000000,42062000000,40656000000,-8957000000,-35917000000
None,None,4496000000,4496000000,-10106000000,1559000000,3331000000,None,3023000000,3940000000,None,2021-12-31,6680000000,2818000000,2818000000,8720000000,None,24783000000,None,4463000000,13221000000,16232000000,None,4734000000,6168000000,USD,33082000000,25008000000,225000000,None,41290000000,4496000000,951000000,49498000000,15666000000,48547000000,-8208000000,-35836000000
-8544000000,None,7280000000,7280000000,-12567000000,1558000000,2780000000,None,3368000000,3761000000,None,2020-12-31,5964000000,2019000000,2019000000,9591000000,None,28168000000,None,4798000000,860000000,5973000000,None,6979000000,6365000000,USD,31638000000,31536000000,3368000000,4798000000,44815000000,21492000000,19615000000,55446000000,23323000000,35831000000,-12567000000,-35129000000
-7815000000,None,6861000000,6861000000,0,1556000000,2299000000,None,4389000000,3717000000,None,2019-12-31,5858000000,2113000000,2113000000,9235000000,None,26656000000,None,4635000000,701000000,5512000000,None,6077000000,6631000000,USD,30987000000,31045000000,4389000000,None,42875000000,20514000000,18833000000,52474000000,22361000000,33641000000,-11577000000,-35220000000
-7356000000,None,6593000000,6593000000,-12459000000,1555000000,2068000000,None,4784000000,3564000000,None,2018-12-31,7189000000,2278000000,2278000000,8804000000,None,26975000000,None,1269000000,481000000,4675000000,None,5476000000,7201000000,USD,31014000000,31759000000,4784000000,None,39801000000,19442000000,17191000000,50540000000,20359000000,33349000000,-12459000000,-35301000000
-7295000000,None,8447000000,8447000000,0,1553000000,2242000000,None,3005000000,3738000000,None,2017-12-31,7666000000,2432000000,2432000000,8806000000,None,31334000000,None,1074000000,603000000,4579000000,None,5103000000,7271000000,USD,29859000000,34339000000,3005000000,0,42968000000,21594000000,15962000000,53198000000,21374000000,37236000000,-12086000000,-35382000000
-6296000000,None,4239000000,4239000000,0,1551000000,1666000000,None,3216000000,3499000000,None,2016-12-31,7324000000,2470000000,2470000000,9017000000,None,25851000000,None,1011000000,853000000,4549000000,None,736000000,6064000000,USD,30397000000,29067000000,3216000000,0,36851000000,17608000000,16467000000,47751000000,19243000000,31284000000,-12688000000,-35490000000
-6046000000,None,3417000000,3417000000,0,1549000000,1289000000,None,2405000000,2778000000,None,2015-12-31,7415000000,2623000000,2623000000,8473000000,None,25250000000,None,890000000,1136000000,4776000000,None,3253000000,5721000000,USD,29842000000,28480000000,3230000000,0,33956000000,15804000000,15386000000,45432000000,18152000000,30046000000,-13244000000,-35613000000
