capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1444000000,-9481000000,-1092000000,None,None,552000000,None,None,None,1787000000,8197000000,8197000000,None,2024-12-31,7503000000,12217000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
1321000000,-5582000000,-3598000000,None,None,-862000000,None,None,None,1398000000,7964000000,7964000000,None,2023-12-31,8268000000,9204000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
1077000000,3806000000,-15679000000,-1070000000,None,-1287000000,None,None,-871000000,1189000000,7812000000,7812000000,None,2022-12-31,9527000000,10803000000,None,None,None,None,None,None,None,None,None,-209000000,None,None,USD
748000000,-11977000000,-2358000000,-2368000000,None,549000000,None,None,-198000000,998000000,7580000000,7580000000,None,2021-12-31,9710000000,11967000000,None,None,None,None,None,None,None,None,None,-775000000,None,None,USD
602000000,-8496000000,-1154000000,162000000,None,-165000000,None,None,26000000,981000000,7364000000,7364000000,None,2020-12-31,8592000000,9812000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
852000000,-8061000000,-1811000000,218000000,None,-548000000,None,None,-331000000,964000000,7161000000,7161000000,None,2019-12-31,7728000000,10090000000,None,None,None,None,None,None,None,None,None,51000000,None,None,USD
1436000000,-9651000000,-998000000,-1171000000,None,-613000000,None,None,53000000,989000000,6885000000,6885000000,None,2018-12-31,7911000000,9478000000,None,None,None,None,None,None,None,None,None,-81000000,None,None,USD
1548000000,-2769000000,-3014000000,4208000000,1079000000,730000000,None,None,-92000000,875000000,6520000000,6520000000,None,2017-12-31,6035000000,8912000000,None,None,None,None,None,None,None,None,None,5000000,None,None,USD
1172000000,-5413000000,-968000000,822000000,-874000000,-695000000,None,None,-1009000000,743000000,6378000000,6378000000,None,2016-12-31,6967000000,8077000000,None,None,None,None,None,None,None,None,None,7000000,None,None,USD
960000000,-4736000000,-708000000,1735000000,-686000000,-841000000,None,None,647000000,754000000,6250000000,6250000000,None,2015-12-31,6873000000,7865000000,None,None,None,None,None,None,None,None,None,-48000000,None,None,USD
1153000000,-6839000000,-996000000,-472000000,-376000000,105000000,None,None,-463000000,889000000,6035000000,6035000000,None,2014-12-31,7658000000,7739000000,None,None,None,None,None,None,None,None,None,-3833000000,None,None,USD
1200000000,-8215000000,-2680000000,-829000000,-69000000,-1413000000,None,None,-449000000,882000000,5720000000,5720000000,None,2013-12-31,8850000000,10135000000,None,None,None,None,None,None,None,None,None,-5963000000,None,None,USD
1056000000,-8100000000,-992000000,433000000,104000000,-728000000,None,None,-398000000,898000000,5404000000,5404000000,None,2012-12-31,9154000000,9421000000,None,None,None,None,None,None,None,None,None,-6525000000,None,None,USD
897000000,-8338000000,-1032000000,847000000,-312000000,-36000000,None,None,-251000000,993000000,4788000000,4788000000,None,2011-12-31,8879000000,10529000000,None,None,None,None,None,None,None,None,None,-5372000000,None,None,USD
713000000,-8578000000,-710000000,163000000,14000000,1071000000,None,None,123000000,932000000,4423000000,4423000000,None,2010-12-31,7498000000,9437000000,None,None,None,None,None,None,None,None,None,-5030000000,None,None,USD
715000000,-6911000000,-1098000000,9000000,134000000,660000000,None,None,-187000000,853000000,4327000000,4327000000,None,2009-12-31,6342000000,7884000000,None,None,None,None,None,None,None,None,None,-5625000000,None,None,USD
1099000000,-4178000000,-3161000000,None,None,-914000000,None,None,None,842000000,5079000000,5079000000,None,2008-12-31,7150000000,7935000000,None,None,None,None,None,None,None,None,None,-5256000000,None,None,USD
1072000000,-3369000000,-2586000000,None,None,-1264000000,None,None,None,748000000,6560000000,6560000000,None,2007-12-31,6314000000,5589000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
886000000,-5417000000,-439000000,None,None,-1077000000,None,None,None,658000000,2780000000,2780000000,None,2006-12-31,6146000000,6236000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
736000000,-2964000000,-5622000000,None,None,-441000000,None,None,None,527000000,7682000000,7682000000,None,2005-12-31,5620000000,5158000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
