comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,13329000000,13329000000,None,1787000000,13962000000,15749000000,2024-12-31,24549000000,12199000000,2380000000,None,1763000000,620000000,None,7034000000,9819000000,-1143000000,None,11147000000,13402000000,None,USD,759000000,11147000000,37878000000
None,12893000000,12893000000,None,1398000000,11976000000,13374000000,2023-12-31,22281000000,10607000000,2339000000,None,1526000000,465000000,None,7791000000,8268000000,-1061000000,None,10725000000,11556000000,None,USD,709000000,10060000000,35174000000
None,11402000000,11402000000,None,1077000000,12402000000,13479000000,2022-12-31,20360000000,11771000000,2244000000,None,768000000,588000000,None,9048000000,9390000000,-588000000,None,8114000000,12246000000,None,USD,642000000,8138000000,31762000000
None,2807000000,2807000000,None,-19000000,2947000000,2928000000,2021-12-31,5297000000,2768000000,593000000,None,146000000,628000000,None,2229000000,9561000000,-628000000,None,2350000000,2947000000,None,USD,617000000,8419000000,31405000000
None,9569000000,9569000000,None,981000000,11681000000,12662000000,2020-12-31,19125000000,10969000000,2377000000,None,728000000,618000000,None,8056000000,8576000000,-618000000,None,7457000000,11720000000,None,USD,495000000,7481000000,28694000000
None,10513000000,10513000000,None,964000000,10668000000,11632000000,2019-12-31,19292000000,10021000000,2293000000,None,796000000,226000000,None,7185000000,7579000000,-570000000,None,8761000000,10531000000,None,USD,465000000,8784000000,29805000000
None,10758000000,10758000000,None,989000000,11526000000,12515000000,2018-12-31,18867000000,10731000000,2445000000,None,855000000,190000000,None,7911000000,8286000000,-665000000,None,7471000000,11336000000,None,USD,383000000,7449000000,29625000000
None,10432000000,10432000000,None,875000000,11584000000,12459000000,2017-12-31,18316000000,10648000000,4307000000,None,1096000000,182000000,None,6035000000,6341000000,-914000000,None,6754000000,11576000000,59000000,USD,453000000,6725000000,28748000000
None,9391000000,9391000000,None,743000000,10963000000,11706000000,2016-12-31,17294000000,10018000000,2768000000,None,1069000000,178000000,None,6967000000,7250000000,-891000000,None,6385000000,10903000000,94000000,USD,429000000,6405000000,26685000000
None,9365000000,9365000000,None,754000000,10716000000,11470000000,2015-12-31,17429000000,9720000000,2688000000,None,1132000000,1008000000,None,6873000000,6927000000,None,None,6806000000,10623000000,105000000,USD,423000000,6656000000,26794000000
None,10436000000,10436000000,None,889000000,11777000000,12666000000,2014-12-31,19331000000,10755000000,3097000000,None,1170000000,None,None,7493000000,7553000000,None,None,7629000000,11702000000,105000000,USD,433000000,7001000000,29767000000
None,10410000000,10410000000,None,882000000,13593000000,14475000000,2013-12-31,20807000000,12520000000,3670000000,None,1104000000,None,None,8576000000,8872000000,None,None,7314000000,13702000000,-22000000,USD,449000000,6890000000,31217000000
None,10373000000,10373000000,None,898000000,13948000000,14846000000,2012-12-31,21004000000,12987000000,3833000000,None,1007000000,None,None,8800000000,9154000000,None,None,7158000000,13946000000,None,USD,415000000,6978000000,31377000000
None,10678000000,10678000000,None,993000000,13485000000,14478000000,2011-12-31,20419000000,12532000000,3653000000,None,953000000,None,None,8591000000,8879000000,None,None,7077000000,13534000000,None,USD,413000000,6880000000,31097000000
None,9713000000,9713000000,None,932000000,11259000000,12191000000,2010-12-31,17495000000,10324000000,2826000000,None,974000000,None,None,7259000000,7498000000,None,None,6248000000,11200000000,None,USD,391000000,6160000000,27208000000
None,9022000000,9022000000,None,853000000,10086000000,10939000000,2009-12-31,16013000000,9243000000,2691000000,None,843000000,None,None,6342000000,6552000000,None,None,5944000000,10213000000,None,USD,335000000,5870000000,25035000000
None,9328000000,9328000000,None,842000000,10465000000,11307000000,2008-12-31,16377000000,9937000000,2787000000,None,528000000,None,None,6890000000,None,None,None,6129000000,10571000000,None,USD,334000000,6001000000,25705000000
None,8720000000,8720000000,None,748000000,8894000000,9642000000,2007-12-31,14078000000,8863000000,2564000000,None,10000000,None,None,6026000000,None,None,None,5205000000,8873000000,None,USD,362000000,5021000000,22798000000
None,8146000000,8146000000,None,658000000,8574000000,9232000000,2006-12-31,12641000000,8226000000,1829000000,None,371000000,None,None,6146000000,None,None,None,4636000000,8005000000,None,USD,304000000,4551000000,20769000000
None,32920000000,32920000000,None,527000000,7735000000,8262000000,2005-12-31,12368000000,7641000000,1835000000,None,94000000,None,None,5620000000,None,None,None,4633000000,7735000000,None,USD,None,None,45288000000
