accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1632000000,5578000000,5578000000,37434000000,1343600000,12897000000,None,2535000000,25546000000,None,2024-12-31,52789000000,33443000000,33443000000,12768000000,None,38726000000,None,2246000000,7241000000,17451000000,None,6942000000,17953000000,USD,53589000000,42893000000,2535000000,None,162861000000,51133000000,51499000000,100903000000,111728000000,49404000000,60156000000,None
None,1412000000,6587000000,6587000000,37055000000,1435400000,10698000000,None,1472000000,22977000000,None,2023-12-31,53699000000,35399000000,35399000000,11777000000,None,42355000000,None,2392000000,7076000000,17408000000,None,7511000000,17386000000,USD,52154000000,45239000000,1472000000,None,161869000000,48417000000,46761000000,100424000000,113452000000,53663000000,59798000000,None
None,1586000000,6220000000,6220000000,37939000000,1485900000,9896000000,None,1220000000,20642000000,None,2022-12-31,53840000000,36823000000,36823000000,10617000000,None,30694000000,None,2603000000,4964000000,13400000000,None,8449000000,16999000000,USD,52269000000,33500000000,1220000000,None,158864000000,42443000000,39114000000,84650000000,116421000000,45536000000,72632000000,-15530000000
None,1657000000,7832000000,7832000000,37483000000,1508500000,8751000000,None,158000000,21022000000,None,2021-12-31,54436000000,38516000000,38516000000,9178000000,None,31327000000,None,2848000000,4018000000,12820000000,None,10417000000,16930000000,USD,50265000000,33142000000,158000000,None,161404000000,42050000000,35449000000,86705000000,119354000000,51256000000,73068000000,-12727000000
None,1516000000,8802000000,8802000000,36930000000,1357800000,8639000000,None,797000000,19185000000,None,2020-12-31,54285000000,40539000000,40539000000,9411000000,None,31026000000,None,3144000000,5978000000,13523000000,None,21395000000,14962000000,USD,49423000000,33339000000,797000000,None,162153000000,43376000000,35848000000,88269000000,118777000000,52421000000,72163000000,-10407000000
None,2688000000,4937000000,4937000000,23019000000,864000000,7816000000,None,5860000000,13205000000,None,2019-12-31,36609000000,24473000000,24473000000,9047000000,None,37788000000,None,3477000000,34388000000,22421000000,None,23016000000,12755000000,USD,61594000000,44889000000,6095000000,None,139615000000,61577000000,46594000000,95289000000,78038000000,48695000000,41774000000,-32626000000
None,None,6152000000,6152000000,22514000000,810000000,11080000000,None,4345000000,17757000000,None,2018-12-31,48112000000,26424000000,26424000000,10083000000,None,41192000000,None,3023000000,1511000000,9486000000,None,20932000000,12297000000,USD,57823000000,45537000000,4345000000,None,134211000000,35503000000,31368000000,93492000000,98708000000,62124000000,38446000000,-32482000000
None,None,8985000000,8985000000,17574000000,799100000,9579000000,None,2496000000,12595000000,None,2017-12-31,27910000000,15883000000,15883000000,9881000000,None,24989000000,None,2372000000,1397000000,7226000000,None,12952000000,10186000000,USD,55242000000,27485000000,2496000000,None,96920000000,32858000000,24391000000,65368000000,64062000000,40977000000,29610000000,-35596000000
None,None,7157000000,7157000000,17285000000,826100000,7483000000,None,2204000000,11481000000,None,2016-12-31,27059000000,15684000000,15684000000,8704000000,None,21697000000,None,1398000000,1208000000,7331000000,None,11026000000,9158000000,USD,52873000000,23901000000,2204000000,None,89706000000,28550000000,21906000000,60241000000,61156000000,38335000000,27579000000,-34150000000
None,None,7075000000,7075000000,16033000000,883200000,6875000000,None,None,10653000000,None,2015-12-31,27301000000,15603000000,15603000000,8135000000,None,19320000000,None,1018000000,843000000,7896000000,None,16580000000,8732000000,USD,49956000000,20425000000,1105000000,None,87484000000,26706000000,22618000000,58518000000,60778000000,35900000000,27358000000,-30907000000
