capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2625000000,-6617000000,-1534000000,None,None,-1474000000,None,None,None,4364000000,3217000000,3217000000,None,2024-12-31,5013000000,7159000000,None,None,None,None,None,None,None,None,None,-444000000,None,None,USD
2415000000,-4527000000,-3039000000,None,None,-1104000000,None,None,None,4211000000,3239000000,3239000000,None,2023-12-31,3380000000,7883000000,None,None,None,None,None,None,None,None,None,-12870000000,None,None,USD
2775000000,-5859000000,-2829000000,-1520000000,None,-1575000000,None,None,437000000,4108000000,3128000000,3128000000,None,2022-12-31,5327000000,7168000000,None,None,None,None,None,None,None,None,None,-2803000000,None,None,USD
2322000000,-6685000000,-1364000000,-979000000,-1000000,163000000,None,None,-570000000,4557000000,2957000000,2957000000,None,2021-12-31,4145000000,7071000000,None,None,None,None,None,None,None,None,None,-2327000000,None,None,USD
1967000000,-5274000000,3343000000,3795000000,-22000000,412000000,None,None,1318000000,4156000000,2732000000,2732000000,None,2020-12-31,-2928000000,3606000000,None,None,None,None,None,None,None,None,None,-47000000,None,None,USD
2607000000,-4564000000,-3092000000,1208000000,-19000000,-1216000000,None,None,419000000,3783000000,2442000000,2442000000,None,2019-12-31,5948000000,8883000000,None,None,None,None,None,None,None,None,None,-151000000,None,None,USD
2302000000,7965000000,-16973000000,-2806000000,-120000000,-537000000,None,None,-2426000000,2433000000,2170000000,2170000000,None,2018-12-31,5654000000,6322000000,None,None,None,None,None,None,None,None,None,-325000000,None,None,USD
2394000000,-993000000,-3019000000,None,None,-1074000000,None,None,None,2140000000,2074000000,2074000000,None,2017-12-31,4920000000,5631000000,None,None,None,None,None,None,None,None,None,-1453000000,None,None,USD
2079000000,-1188000000,-2503000000,None,None,-719000000,None,None,None,1962000000,2069000000,2069000000,None,2016-12-31,5436000000,3880000000,None,None,None,None,None,None,None,None,None,-2254000000,None,None,USD
2089000000,-10785000000,6473000000,-6779000000,-174000000,-844000000,None,None,-438000000,1863000000,2184000000,2184000000,None,2015-12-31,4356000000,6326000000,None,None,None,None,None,None,None,None,None,-10000000000,None,None,USD
2304000000,-4259000000,-2305000000,616000000,-156000000,-1091000000,None,None,7000000,1907000000,2048000000,2048000000,None,2014-12-31,6623000000,7336000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,USD
2410000000,-5940000000,-1113000000,-217000000,-41000000,-1096000000,None,None,-531000000,1821000000,1908000000,1908000000,None,2013-12-31,6074000000,6877000000,None,None,None,None,None,None,None,None,None,-1200000000,None,None,USD
2932000000,8021000000,-15821000000,-1124000000,30000000,-539000000,None,None,-165000000,1524000000,1752000000,1752000000,None,2012-12-31,5200000000,6646000000,None,None,None,None,None,None,None,None,None,522000000,None,None,USD
983000000,-4005000000,-707000000,None,None,-314000000,None,None,None,1347000000,1602000000,1602000000,None,2011-12-31,5374000000,6590000000,None,None,None,None,None,None,None,None,None,-2175000000,None,None,USD
865000000,-3153000000,-3187000000,None,None,-244000000,None,None,None,1356000000,1482000000,1482000000,None,2010-12-31,4711000000,5906000000,None,None,None,None,None,None,None,None,None,-2200000000,None,None,USD
826000000,-4191000000,-1104000000,None,None,695000000,None,None,None,1258000000,1356000000,1356000000,None,2009-12-31,4179000000,5353000000,None,None,None,None,None,None,None,None,None,-1100000000,None,None,USD
1216000000,-2238000000,-2336000000,None,None,-562000000,None,None,None,1321000000,1210000000,1210000000,None,2008-12-31,4689000000,6161000000,None,None,None,None,None,None,None,None,None,-3160000000,None,None,USD
1153000000,-1955000000,-3182000000,None,None,-1111000000,None,None,None,1173000000,1080000000,1080000000,None,2007-12-31,4224000000,5330000000,None,None,None,None,None,None,None,None,None,-2001000000,None,None,USD
954000000,-3342000000,-1261000000,None,None,-789000000,None,None,None,1033000000,951000000,951000000,None,2006-12-31,3732000000,4803000000,None,None,None,None,None,None,None,None,None,-2068000000,None,None,USD
929000000,335000000,-4649000000,None,None,-430000000,None,None,None,984000000,832000000,832000000,None,2005-12-31,3069000000,4334000000,None,None,None,None,None,None,None,None,None,-1181000000,None,None,USD
