comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,65328000000,65328000000,None,4000000000,8164000000,12164000000,2024-12-31,15410000000,6194000000,1181000000,None,1970000000,102000000,None,4774000000,5013000000,-1868000000,None,8740000000,6670000000,None,USD,2934000000,5806000000,80738000000
None,56831000000,56831000000,None,4211000000,3561000000,3561000000,2023-12-31,12089000000,3836000000,456000000,None,1505000000,100000000,None,3380000000,3380000000,-1553000000,None,8614000000,3561000000,None,USD,2805000000,4029000000,68920000000
None,53406000000,53406000000,None,3757000000,7417000000,11174000000,2022-12-31,13668000000,6117000000,790000000,None,1300000000,1276000000,None,5197000000,5327000000,-1276000000,None,8284000000,5384000000,None,USD,2711000000,3684000000,67074000000
None,51863000000,51863000000,None,4267000000,6289000000,10556000000,2021-12-31,12497000000,4931000000,786000000,None,1330000000,1322000000,None,3864000000,4145000000,-1322000000,None,7830000000,4667000000,-649000000,USD,2732000000,3102000000,64360000000
None,47659000000,47659000000,None,3892000000,-945000000,2947000000,2020-12-31,9010000000,-2353000000,575000000,None,1408000000,1366000000,None,-3519000000,-2928000000,-1366000000,None,7609000000,1401000000,None,USD,2582000000,5540000000,56669000000
None,34598000000,34598000000,None,2435000000,5863000000,8298000000,2019-12-31,10802000000,4152000000,421000000,None,1711000000,162000000,None,5537000000,5948000000,-1611000000,None,6163000000,4639000000,None,USD,2452000000,8521000000,45400000000
None,49838000000,49838000000,None,2216000000,9505000000,11721000000,2018-12-31,16647000000,8280000000,2626000000,None,1182000000,187000000,None,5269000000,5654000000,-1038000000,None,9366000000,7281000000,None,USD,2462000000,7066000000,66485000000
None,44201000000,44201000000,None,2012000000,8780000000,10792000000,2017-12-31,15597000000,7763000000,2843000000,None,1017000000,909000000,None,4552000000,4920000000,-909000000,None,8856000000,6741000000,None,USD,2427000000,6183000000,59798000000
None,41273000000,41273000000,None,1883000000,8294000000,10177000000,2016-12-31,16142000000,7133000000,1697000000,None,1161000000,1039000000,None,5042000000,5436000000,-1039000000,None,8319000000,7823000000,None,USD,2337000000,6060000000,57415000000
None,40246000000,40246000000,None,1790000000,7412000000,9202000000,2015-12-31,16086000000,6467000000,2111000000,None,945000000,824000000,None,1566000000,4356000000,None,None,7954000000,8132000000,None,USD,2279000000,5886000000,56332000000
None,40898000000,40898000000,None,1756000000,9811000000,11567000000,2014-12-31,17098000000,8712000000,2244000000,None,1099000000,None,None,6220000000,6623000000,None,None,8647000000,8451000000,None,USD,2475000000,6500000000,57996000000
None,45106000000,45106000000,None,1760000000,9323000000,11083000000,2013-12-31,17545000000,8312000000,2238000000,None,1032000000,None,None,5754000000,6074000000,None,None,8982000000,8563000000,None,USD,2529000000,6718000000,62651000000
None,41813000000,41813000000,None,1467000000,7778000000,9245000000,2012-12-31,15864000000,6911000000,1711000000,None,893000000,None,None,4269000000,5200000000,None,None,8574000000,7290000000,None,USD,2371000000,6452000000,57677000000
None,40205000000,40205000000,None,1221000000,8023000000,9244000000,2011-12-31,15453000000,7350000000,2134000000,None,673000000,None,None,4979000000,None,None,None,7963000000,7490000000,None,USD,1951000000,6464000000,55658000000
None,39045000000,39045000000,None,1287000000,7288000000,8575000000,2010-12-31,15162000000,6538000000,1827000000,None,750000000,None,None,4373000000,None,None,None,7611000000,7551000000,None,USD,1746000000,6024000000,54207000000
None,38441000000,38441000000,None,1199000000,6465000000,7664000000,2009-12-31,14149000000,5760000000,1581000000,None,705000000,None,None,3829000000,None,None,None,7230000000,6919000000,None,USD,1558000000,6036000000,52590000000
None,43489000000,43489000000,None,1228000000,7625000000,8853000000,2008-12-31,15630000000,6936000000,1883000000,None,689000000,None,None,4689000000,None,None,None,8290000000,7340000000,None,USD,1771000000,6724000000,59119000000
None,39812000000,39812000000,None,1095000000,7050000000,8145000000,2007-12-31,14107000000,6384000000,1836000000,None,666000000,None,None,4224000000,None,None,None,7732000000,6375000000,None,USD,1678000000,6109000000,53919000000
None,34597000000,34597000000,None,974000000,6098000000,7072000000,2006-12-31,12521000000,5492000000,1494000000,None,606000000,None,None,3732000000,None,None,None,6927000000,5594000000,None,USD,1529000000,5462000000,47118000000
None,30755000000,30755000000,None,923000000,5182000000,6105000000,2005-12-31,11523000000,4684000000,1253000000,None,498000000,None,None,3164000000,None,None,None,6535000000,4988000000,None,USD,1367000000,5241000000,42278000000
