accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1715000000,9609000000,9609000000,1229000000,1180000000,1990000000,None,3636000000,7737000000,None,2024-12-31,31147000000,2706000000,2706000000,None,None,5300000000,None,6548000000,2426000000,5586000000,None,450000000,4493000000,EUR,42907000000,10651000000,3931000000,1629000000,74122000000,21401000000,19079000000,28314000000,52721000000,9234000000,45440000000,None
None,1621000000,8124000000,8124000000,1229000000,1180000000,1783000000,None,1143000000,6969000000,None,2023-12-31,29088000000,2505000000,2505000000,-187000000,None,6027000000,None,5107000000,2321000000,6181000000,None,588000000,4276000000,EUR,42457000000,8790000000,1437000000,3157000000,68335000000,20571000000,14642000000,24929000000,51014000000,12291000000,43157000000,None
None,2140000000,9006000000,9006000000,1229000000,1175000000,2146000000,None,3984000000,6236000000,None,2022-12-31,33106000000,3835000000,3835000000,None,None,9547000000,None,5626000000,2472000000,5386000000,None,706000000,4934000000,EUR,36368000000,13085000000,4333000000,856000000,72160000000,18570000000,17452000000,29308000000,53590000000,11856000000,40135000000,None
None,2143000000,8898000000,8898000000,1229000000,1180000000,1580000000,None,3760000000,6974000000,None,2021-12-31,31090000000,3966000000,3966000000,588000000,None,11042000000,None,6275000000,826000000,5958000000,None,62000000,4975000000,EUR,37022000000,15209000000,4167000000,2758000000,71169000000,20044000000,16136000000,29646000000,51125000000,13510000000,38853000000,-3072000000
None,2120000000,5311000000,5311000000,1229000000,1182000000,1367000000,None,1482000000,6803000000,None,2020-12-31,27560000000,3784000000,3784000000,None,None,13606000000,None,3512000000,1336000000,5213000000,None,769000000,4942000000,EUR,32022000000,15463000000,1863000000,1635000000,58476000000,15085000000,12868000000,28552000000,43392000000,15684000000,29713000000,-3072000000
0,0,5314000000,5314000000,1229000000,1194000000,1581000000,None,2531000000,8413000000,None,2019-12-31,29162000000,4491000000,4491000000,0,None,11086000000,None,2336000000,1169000000,5814000000,None,2597000000,5460000000,EUR,28798000000,16197000000,2531000000,297000000,60229000000,15193000000,14464000000,29389000000,45037000000,14925000000,30764000000,-1580000000
0,0,8627000000,8627000000,1229000000,1194000000,1491000000,None,768000000,6655000000,None,2018-12-31,23725000000,3227000000,3227000000,0,None,10535000000,None,1536000000,890000000,4588000000,None,519000000,3329000000,EUR,27407000000,11303000000,768000000,448000000,51491000000,16620000000,10481000000,22614000000,34871000000,12133000000,28832000000,-1580000000
0,0,4011000000,4011000000,1229000000,1198000000,1151000000,None,1299000000,6205000000,None,2017-12-31,21274000000,2967000000,2967000000,999999999999999999.99,None,5002000000,None,859000000,1624000000,4393000000,None,120000000,2754000000,EUR,24794000000,6595000000,1298000000,990000000,42497000000,11930000000,10210000000,16957000000,30567000000,6747000000,25509000000,-1591000000
0,0,3702000000,3702000000,1229000000,1199000000,1015000000,None,1430000000,5823000000,None,2016-12-31,23311000000,3786000000,3786000000,17988051673766,None,6450000000,None,990000000,1843000000,4382000000,None,116000000,2434000000,EUR,22287000000,8294000000,1431000000,1124000000,44354000000,11626000000,9734000000,17972000000,32728000000,8238000000,26361000000,-142221908229180
0,0,3411000000,3411000000,1229000000,1198000000,893000000,None,615768896.61,5818000000,None,2015-12-31,22689000000,4280000000,4280000000,361000000,None,9370112945.27,None,1019765421.37,483000000,5580000000,None,0,2308861859.25,EUR,20044000000,9195000000,567000000,27000000,41390000000,9739000000,7867000000,18095000000,31651000000,10228000000,23267000000,-44429941918124000
None,None,3348000000,3348000000,1229000000,1198000000,782000000,None,2155000000,4253000000,None,2014-12-31,20831000000,4608000000,4608000000,108909000,None,10807403000,None,645000000,1377000000,4851000000,None,None,2543630000,EUR,18311000000,11542000000,3801000000,658000000,38374000000,8942000000,9767000000,18780000000,29432000000,9013000000,19500000000,-1481162000
None,None,2748000000,2748000000,1229000000,1195000000,640000000,None,4268000000,3801000000,None,2013-12-31,13688000000,2956000000,2956000000,319000000,None,5073428000,None,358000000,764000000,2792000000,None,None,2507778000,EUR,16258000000,4268000000,-33000000,38000000,27094000000,7352000000,6347000000,11046000000,19741000000,4699000000,16040000000,-1763712000
None,None,2475000000,2475000000,1229000000,1192000000,684000000,None,None,4182000000,None,2012-12-31,13274000000,3234000000,3234000000,59000000,None,5768875000,None,None,161000000,3184000000,None,None,2252169000,EUR,13976000000,5247000000,802000000,154000000,26870000000,7033000000,6689000000,12696000000,19836000000,6007000000,14166000000,-1762968000
None,None,4965000000,4965000000,1228000000,1190000000,727000000,None,None,4037000000,None,2011-12-31,8709000000,2024000000,2024000000,11000000,None,3675251000,None,None,108000000,2753000000,None,None,2012112000,EUR,12466000000,4256000000,1331000000,817000000,23225000000,9669000000,6266000000,10518000000,13556000000,4252000000,12699000000,-1786382000
None,None,3518000000,3518000000,1628106000,1188000000,922000000,None,None,3344000000,None,2010-12-31,8378000000,2376000000,2376000000,12000000,None,5782630000,None,None,103000000,3139000000,None,None,1922678000,EUR,9769000000,50000000,-97000000,158000000,20718000000,7143000000,5133000000,10944000000,13575000000,5811000000,9757000000,-1833776000
None,None,1883000000,1883000000,1757103000,1188000000,638000000,None,None,2447000000,None,2009-12-31,5034000000,884000000,884000000,11000000,None,1001807000,None,None,419000000,1957000000,None,None,1964917000,EUR,8902000000,148000000,4000000,400000000,13863000000,5542000000,3520000000,5268000000,8321000000,1748000000,8574000000,-1891824000
None,None,1276490180,1276490180,1706469000,1191000000,599000000,None,None,3178000000,None,2008-12-31,5008266480,1127075460,1127075460,9338420,None,2784000,None,None,520000000,2037108580,None,None,1955620000,EUR,7707788200,2609729220,2573812220,382156880,14195116740,5781200320,5832920800,6962151280,8413916420,1129230480,7230810440,-1895768000
None,None,1610422760,1610422760,1819534000,1210000000,716048280,None,None,3240049880,None,2007-12-31,1425237860,403977430,403977430,4801090,None,2921000,None,None,964333220,1984907780,None,None,1921755000,EUR,7170084980,27434800,25377190,598764510,10382700060,6418371460,3204384640,3868306800,3964328600,663922160,6513707390,-2532160000
None,None,2398547252,2398547252,1672769000,1232318475,609940450,None,None,2654188070,None,2006-12-31,987510257,262561558,262561558,3976357,None,2130000,None,None,335656670,1733594720,None,None,1591816000,EUR,6594304119,26169854,24246080,930878991,9502009959,6323595121,2773048415,3357169821,3178414838,584121405,6135385682,-2298667000
None,None,3211132139,3211132139,316217735,1251181593,383316740,None,None,2249241840,None,2005-12-31,741956000,765661679,765661679,19360872,None,8203000,None,None,634683025,2335169270,None,None,1296658000,EUR,5981641685,31203164,24484990,209405766,9055862204,6324288013,1361248084,3270404389,2731574190,1909156304,5777848892,-918132000
