capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
797000000,-3401000000,-667000000,None,None,None,None,None,None,1280000000,2565000000,2565000000,None,2024-12-31,3124000000,5220000000,None,None,None,None,None,None,None,None,None,-2106000000,None,None,EUR
785000000,-7734000000,906000000,None,None,None,None,None,None,1373000000,2395000000,2395000000,None,2023-12-31,5964000000,6332000000,None,None,None,None,None,None,None,None,None,-949000000,None,None,EUR
874000000,-6337000000,667000000,None,None,-149000000,None,None,None,1896000000,2865000000,2865000000,None,2022-12-31,1714000000,5646000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,EUR
800000000,-56000000,-3063000000,None,None,-414000000,None,None,None,1775000000,2182000000,2182000000,None,2021-12-31,5376000000,6223000000,None,None,None,None,None,None,None,None,None,2827000000,None,None,EUR
816000000,-3997000000,-2986000000,None,None,-821000000,None,None,None,1831000000,1864000000,1864000000,None,2020-12-31,5280000000,7193000000,None,None,None,None,None,None,None,None,None,-1492000000,None,None,EUR
817000000,101000000,-7021000000,0,0,1469000000,None,None,0,1872000000,1790000000,1790000000,None,2019-12-31,3387000000,3497000000,None,None,None,None,None,None,None,None,None,-442000000,None,None,EUR
1458000000,3283000000,-3066000000,0,0,0,None,None,0,1362000000,1671000000,1671000000,None,2018-12-31,4088000000,4303000000,None,None,None,None,None,None,None,None,None,0,None,None,EUR
1275000000,-3406000000,-1112000000,0,0,0,None,None,0,1272000000,1499000000,1499000000,None,2017-12-31,4056000000,5045000000,None,None,None,None,None,None,None,None,None,-500000000,None,None,EUR
1001000000,-2704000000,-1799000000,0,0,0,None,None,0,1268000000,1378000000,1378000000,None,2016-12-31,3618000000,4628000000,None,None,None,None,None,None,None,None,None,400000000,None,None,EUR
636000000,-3356000000,-334000000,0,0,0,None,None,0,1289000000,1316000000,1316000000,None,2015-12-31,3056000000,3638000000,None,None,None,None,None,None,None,None,None,64000000,None,None,EUR
737000000,4219000000,-7214000000,None,None,None,None,None,None,1010000000,1194000000,1194000000,None,2014-12-31,3275000000,3574000000,None,None,None,None,None,None,None,None,None,78000000,None,None,EUR
566000000,-1589000000,-1781000000,None,None,None,None,None,None,951000000,1013000000,1013000000,None,2013-12-31,3325000000,3832000000,None,None,None,None,None,None,None,None,None,None,None,None,EUR
543000000,-194000000,-5796000000,None,None,-72000000,None,None,None,863000000,1310000000,1310000000,None,2012-12-31,2826000000,3652000000,None,None,None,None,None,None,None,None,None,-53000000,None,None,EUR
445000000,-1176000000,-1226000000,None,None,None,None,None,None,724000000,713000000,713000000,None,2011-12-31,3439000000,3775000000,None,None,None,None,None,None,None,None,None,-246000000,None,None,EUR
334000000,2510000000,-3992000000,None,None,None,None,None,None,534000000,594000000,594000000,None,2010-12-31,1816000000,2954000000,None,None,None,None,None,None,None,None,None,-220000000,None,None,EUR
225000000,-2166000000,-297000000,None,None,None,None,None,None,496000000,594000000,594000000,None,2009-12-31,1825000000,3036000000,None,None,None,None,None,None,None,None,None,None,None,None,EUR
339056480,1280800220,-3768411640,None,None,None,None,None,None,548093420,594067180,594067180,None,2008-12-31,1867684000,2157893360,None,None,None,None,None,None,None,None,None,-487000000,None,None,EUR
401919820,-1288749730,-1395059580,None,None,None,None,None,None,261316470,556926440,556926440,None,2007-12-31,1922493610,1941697970,None,None,None,None,None,None,None,None,None,-1006857160,None,None,EUR
366706806.2,-1374798197.40,-133811084.76,None,None,None,None,None,None,214226239,447184849.55,447184849.55,None,2006-12-31,1871233654,1846673890,None,None,None,None,None,None,None,None,None,-1149000000,None,None,EUR
261563016.45,-554466820.10,-583012096.89,None,None,None,None,None,None,203390901,340166588.83,340166588.83,None,2005-12-31,1495271321,1606679714,None,None,None,None,None,None,None,None,None,-453394470,None,None,EUR
