comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,9243000000,9243000000,None,1280000000,5191000000,6471000000,2024-12-31,24933000000,4764000000,1614000000,None,1031000000,439000000,None,3124000000,3150000000,-229000000,None,20268000000,4665000000,None,EUR,6603000000,1435000000,34176000000
None,8604000000,8604000000,None,1373000000,6129000000,7502000000,2023-12-31,22603000000,5341000000,1741000000,None,788000000,710000000,None,6139000000,1639000000,-1242000000,None,16816000000,5787000000,None,EUR,6401000000,1364000000,31207000000
None,8038000000,8038000000,None,1569000000,6051000000,7620000000,2022-12-31,21482000000,4513000000,1446000000,None,2200000000,820000000,None,2284000000,1714000000,-1385000000,None,15567000000,5914000000,None,EUR,6165000000,1289000000,29519000000
None,7219000000,7219000000,None,1775000000,7142000000,8917000000,2021-12-31,19734000000,8505000000,1682000000,None,291000000,2253000000,None,5256000000,5380000000,2174000000,None,13426000000,6308000000,None,EUR,5190000000,1187000000,26953000000
None,7886000000,7886000000,None,1831000000,6427000000,8258000000,2020-12-31,19452000000,7218000000,1938000000,None,355000000,840000000,None,5145000000,5280000000,776000000,None,12834000000,6621000000,None,EUR,4457000000,1355000000,27338000000
None,8351000000,8351000000,None,1872000000,5602000000,7474000000,2019-12-31,19202000000,4618000000,1231000000,None,589000000,234000000,None,3337000000,3370000000,198000000,None,13579000000,6335000000,0,EUR,4279000000,1629000000,27553000000
None,7462000000,7462000000,None,1362000000,5722000000,7084000000,2018-12-31,17246000000,5600000000,1511000000,None,418000000,90000000,None,4083000000,4089000000,-47000000,None,11523000000,5703000000,0,EUR,3624000000,1098000000,24708000000
None,7051000000,7051000000,None,1272000000,5059000000,6331000000,2017-12-31,16409000000,5026000000,970000000,None,278000000,281000000,None,4018000000,4056000000,185000000,None,11350000000,4877000000,0,EUR,3352000000,1075000000,23460000000
None,6570000000,6570000000,None,1268000000,5161000000,6429000000,2016-12-31,15492000000,4849000000,1230000000,None,268000000,154000000,None,3631000000,3634000000,-38000000,None,10344000000,5121000000,0,EUR,3041000000,1005000000,22062000000
None,6626000000,6626000000,None,1289000000,4874000000,6163000000,2015-12-31,14167000000,3991000000,935000000,None,246000000,189000000,None,3064000000,3914329835.15,None,None,9293000000,4252000000,0,EUR,2845000000,1048000000,20793000000
None,5272000000,5272000000,None,1010000000,4765000000,5775000000,2014-12-31,12289000000,4356000000,1080000000,None,152000000,None,None,3275000000,3280000000,None,None,7522000000,4331000000,None,EUR,2331000000,891000000,17561000000
None,4999000000,4999000000,None,951000000,4518000000,5469000000,2013-12-31,11816000000,4396000000,1071000000,None,181000000,None,None,3326000000,None,None,None,7266000000,4479000000,None,EUR,2282000000,866000000,16815000000
None,4998000000,4998000000,None,863000000,3971000000,4834000000,2012-12-31,11224000000,3823000000,996000000,None,175000000,None,None,2826000000,None,None,None,7152000000,4064000000,None,EUR,2268000000,970000000,16222000000
None,4355000000,4355000000,None,724000000,4889000000,5613000000,2011-12-31,9878000000,4768000000,1329000000,None,161000000,None,None,3438000000,None,None,None,4993000000,4881000000,None,EUR,1939000000,715000000,14233000000
None,3900000000,3900000000,None,534000000,2478000000,3012000000,2010-12-31,8564000000,2337000000,521000000,None,123000000,None,None,1814000000,None,None,None,5978000000,2589000000,None,EUR,1724000000,638000000,12464000000
None,3511000000,3511000000,None,496000000,2538000000,3034000000,2009-12-31,7160000000,2489000000,664000000,None,71000000,None,None,1787000000,None,None,None,4324000000,2640000000,None,EUR,1608000000,556000000,10671000000
None,3941531580,3941531580,None,548093420,2736906580,3285000000,2008-12-31,7621587400,2752678880,824654320,None,123000000,None,None,1867684000,None,None,None,4781989380,2839598020,None,EUR,1630631800,624000000,11563118980
None,3406030420,3406030420,None,261316470,2737307170,2998623640,2007-12-31,6852527170,2862135510,922495150,None,0,None,None,1922493610,None,None,None,4115220000,2737307170,None,EUR,1460217230,2672149520,10258557590
None,3177733675,3177733675,None,214226239,2519047997,2733274236,2006-12-31,6223670206,2674594934,801550401,None,0,None,None,1871234412,None,None,None,3657896224,2565198137,None,EUR,1334712607,2380224792.87,9401403881
None,2915626172,2915626172,None,203390901,2337137889,2540528790,2005-12-31,5590341150,2314597344,816432572,None,0,None,None,1495271321,None,None,None,3261378715,2328962434,None,EUR,1087805626,2179750061.14,8505967322
