accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,35679000000,5409000000,5409000000,None,1173214000,3782000000,None,4068000000,8655000000,None,2024-12-31,13005000000,103070000000,103070000000,1607000000,None,74197000000,None,None,2733000000,4662000000,None,4000000000,None,USD,14384000000,114404000000,8984000000,None,208035000000,18404000000,20174000000,146294000000,189631000000,126120000000,61741000000,None
None,38068000000,5135000000,5135000000,None,1200286000,4833000000,None,3619000000,9148000000,None,2023-12-31,12234000000,99325000000,99325000000,1678000000,None,71399000000,None,None,3054000000,4392000000,None,3929000000,None,USD,7347000000,113826000000,9174000000,None,207682000000,19015000000,20928000000,142967000000,188667000000,122039000000,64715000000,None
None,35898000000,4507000000,4507000000,None,1255377000,7213000000,None,5164000000,9568000000,None,2022-12-31,12234000000,99306000000,99306000000,1884000000,None,66796000000,None,2546000000,3108000000,5255000000,None,8035000000,42086000000,USD,-223000000,111792000000,9837000000,None,211338000000,19067000000,24742000000,141682000000,192271000000,116940000000,69656000000,None
None,31818000000,6631000000,6631000000,None,1254770000,6499000000,None,5623000000,8942000000,None,2021-12-31,12188000000,97339000000,97339000000,2567000000,None,68570000000,None,2829000000,2751000000,4146000000,None,7903000000,70084000000,USD,-2812000000,108817000000,10168000000,None,206563000000,20891000000,23499000000,137461000000,185672000000,113962000000,69102000000,-13000000
None,33094000000,10385000000,10385000000,None,1154749000,5564000000,None,4579000000,7853000000,None,2020-12-31,11117000000,88126000000,88126000000,2527000000,None,61830000000,None,2031000000,3120000000,4059000000,None,41319000000,41175000000,USD,-5836000000,107247000000,9510000000,None,200162000000,23885000000,21703000000,134818000000,176277000000,113115000000,65344000000,-11000000
None,15129000000,1528000000,1528000000,None,863434000,4322000000,None,25000000,4508000000,None,2019-12-31,1930000000,36580000000,36580000000,964000000,None,10958000000,None,1583000000,2305000000,3602000000,None,13986000000,21984000000,USD,-8833000000,42334000000,3269000000,None,86921000000,9305000000,12506000000,58132000000,77616000000,45626000000,28789000000,-8000000
None,841000000,1203000000,1203000000,None,858290000,5487000000,None,841000000,4318000000,None,2018-12-31,1901000000,35757000000,35757000000,1084000000,None,12124000000,None,1547000000,1676000000,1758000000,None,14582000000,23359000000,USD,-12954000000,16363000000,1682000000,None,72468000000,8281000000,10267000000,47750000000,64187000000,37483000000,24718000000,-6000000
None,None,1219000000,1219000000,0,871787000,6182000000,None,1612000000,4227000000,None,2017-12-31,1683000000,35583000000,35583000000,1566000000,None,12121000000,None,1274000000,1903000000,2322000000,None,14586000000,22196000000,USD,-16074000000,30909000000,1612000000,0,70563000000,8915000000,11515000000,48004000000,61648000000,36489000000,22559000000,-4000000
None,None,5500000000,5500000000,0,833054545,5163000000,None,354000000,3866000000,None,2016-12-31,1683000000,27390000000,27390000000,1111000000,None,24453000000,None,984000000,1537000000,2519000000,None,6626000000,20943000000,USD,-20610000000,24807000000,354000000,0,65891000000,14217000000,9022000000,47655000000,51674000000,38633000000,18236000000,-1000000
None,None,4582000000,4582000000,0,822617938,6137000000,None,20000000,4202000000,None,2015-12-31,1683000000,24549000000,24549000000,1295000000,None,20484000000,None,847000000,1813000000,1998000000,None,5600000000,20000000000,USD,-22108000000,23301000000,182000000,2998000000,62436000000,14890000000,9528000000,45856000000,47546000000,36328000000,16557000000,0
None,None,5315000000,5315000000,0,815922258,5322000000,None,24481000000,5003000000,None,2014-12-31,1683000000,22825000000,22825000000,1085000000,None,16273000000,None,1628000000,2581000000,2303000000,None,5600000000,16245000000,USD,-22841000000,18881000000,87000000,100000000,56653000000,13984000000,8776000000,40990000000,42669000000,32214000000,15663000000,0
None,None,5891000000,5891000000,0,676885215,3026000000,None,None,3660000000,None,2013-12-31,1683000000,19326000000,19326000000,586000000,None,14345000000,None,None,2091000000,1559000000,None,5600000000,15349000000,USD,-23088000000,17085000000,244000000,100000000,49953000000,12228000000,5808000000,35708000000,37725000000,29900000000,14245000000,0
None,None,2368302000,2368302000,37000,182440151,3475000000,None,0,3360000000,None,2012-12-31,0,14629000000,14629000000,457000000,None,0,None,1679000,1330000000,1733917000,None,90763000,4292061000,USD,-23123000000,7236603000,51491000,244990000,10189415000,5541000000,5592000000,27507000000,7002112000,21915000000,6115000000,-11162000
None,None,1943282000,1943282000,36000,181918970,211890000,None,0,78023000,None,2011-12-31,0,2539041000,2539041000,239648000,None,0,None,0,182668000,254791000,None,None,0,USD,1159418000,4749652000,38631000,299972000,9482931000,2743593000,816723000,6555331000,6739338000,5738608000,2927600000,0
None,None,796531000,796531000,36000,178067544,337148000,None,0,58056000,None,2010-12-31,0,58056000,58056000,161049000,None,0,None,16700000,203387000,142657000,None,72828000,3659445000,USD,858108000,3781009000,23722000,374862000,7918580000,1593885000,802420000,5377004000,6324695000,4574584000,2541576000,-1914000
None,None,929381000,929381000,35000,177971460,295890000,None,0,51536000,None,2009-12-31,0,2470181000,2470181000,147401000,None,0,None,0,138141000,215591000,None,None,0,USD,664693000,3645275000,19326000,224932000,7386017000,1491391000,797469000,5097875000,5894626000,4300406000,2288142000,0
None,None,697948000,697948000,35000,177690055,326394000,None,None,34666000,None,2008-12-31,None,2423074000,2423074000,155955000,None,None,None,None,155312000,193259000,None,None,None,USD,487849000,3074992000,17009000,4575000,6422148000,1043884000,742356000,4381535000,5378264000,3639179000,2034323000,None
None,None,1470208000,1470208000,35000,148168862,439449000,None,None,31809000,None,2007-12-31,None,2072895000,2072895000,109139000,None,None,None,None,121728000,4560000,None,None,None,USD,338411000,3002177000,16000000,None,5806130000,1732884000,580490000,3952352000,4073246000,3371862000,1848746000,None
None,None,161498000,161498000,16000,81723940,90084000,None,None,28140000,None,2006-12-31,None,2072885000,2072885000,92915000,None,None,None,None,84716000,239044000,None,None,None,USD,245690000,2596000000,16000000,391258000,4153122000,758527000,435629000,3735848000,3394595000,3300219000,413245000,None
None,None,112709000,112709000,15000,78520392,29430000,None,None,16028000,None,2005-12-31,None,681299000,681299000,39431000,None,None,None,None,53462000,146937000,None,None,None,USD,216702000,905554000,2690000,390472000,2158981000,612102000,235617000,1789816000,1546879000,1554199000,367906000,None
