capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
12311000000,-12815000000,-9072000000,None,None,131000000,None,None,None,12919000000,3300000000,3300000000,None,2024-12-31,11339000000,22293000000,None,None,None,None,None,None,None,None,None,-11228000000,None,None,USD
10811000000,-12097000000,-5829000000,None,None,197000000,None,None,None,12818000000,747000000,747000000,None,2023-12-31,8317000000,18559000000,None,None,None,None,None,None,None,None,None,-13074000000,None,None,USD
17301000000,-6451000000,-12359000000,-2029000000,None,744000000,None,None,-6342000000,13651000000,0,0,None,2022-12-31,2590000000,16781000000,None,None,None,None,None,None,None,None,None,-3000000000,None,None,USD
21692000000,1709000000,-19386000000,-3760000000,None,201000000,None,None,-6366000000,16383000000,0,0,None,2021-12-31,3024000000,13917000000,None,None,None,None,None,None,None,None,None,-316000000,None,None,USD
12367000000,13010000000,-12715000000,8935000000,None,-2222000000,None,None,-4726000000,14151000000,54080000000,54080000000,None,2020-12-31,3064000000,8640000000,None,None,None,None,None,None,None,None,None,-19536000000,None,None,USD
7358000000,-2374000000,-4125000000,325000000,None,-617000000,None,None,-4724000000,6616000000,0,0,None,2019-12-31,3468000000,6824000000,None,None,None,None,None,None,None,None,None,-156000000,None,None,USD
5668000000,-3336000000,-579000000,-16000000,None,-201000000,None,None,-6215000000,6486000000,0,0,None,2018-12-31,2888000000,3899000000,None,None,None,None,None,None,None,None,None,-1071000000,None,None,USD
11065000000,-1367000000,-6745000000,-4281000000,None,-844000000,None,None,-1338000000,5984000000,55000000,55000000,None,2017-12-31,4536000000,3831000000,None,None,None,None,None,None,None,None,None,-427000000,None,None,USD
8670000000,463000000,-5680000000,918000000,None,-802000000,None,None,-506000000,6243000000,55000000,55000000,None,2016-12-31,1460000000,6135000000,None,None,None,None,None,None,None,None,None,-121000000,None,None,USD
6659000000,3413000000,-9560000000,-733000000,None,-2495000000,None,None,830000000,4688000000,55000000,55000000,None,2015-12-31,733000000,5414000000,None,None,None,None,None,None,None,None,None,-156000000,None,None,USD
7217000000,2524000000,-7246000000,-576000000,None,-499000000,None,None,-2519000000,4412000000,55000000,55000000,None,2014-12-31,247000000,4146000000,None,None,None,None,None,None,None,None,None,-73000000,None,None,USD
4406000000,4044000000,-2092000000,5497000000,None,42000000,None,None,-1315000000,3627000000,41000000,41000000,None,2013-12-31,35000000,3545000000,None,None,None,None,None,None,None,None,None,2631000000,None,None,USD
840323000,-33001000,-723430000,425020000,None,-19508000,None,None,-20642000,641425000,2403000000,2403000000,None,2012-12-31,394172000,1181451000,None,None,None,None,None,None,None,None,None,-4330000,None,None,USD
956029000,971814000,-886871000,None,None,-78599000,None,None,None,538835000,0,0,None,2011-12-31,301310000,1061808000,None,None,None,None,None,None,None,None,None,-4918000,None,None,USD
790385000,-176932000,-950418000,-132850000,None,-13648000,None,None,-6523000,449732000,0,0,None,2010-12-31,193415000,994500000,None,None,None,None,None,None,None,None,None,-1914000,None,None,USD
883975000,449038000,-1116954000,None,None,8554000,None,None,None,377856000,None,None,None,2009-12-31,176844000,899349000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1283131000,74525000,-1294275000,None,None,-46816000,None,None,None,258861000,None,None,None,2008-12-31,149438000,447490000,None,None,None,None,None,None,None,None,None,None,None,None,USD
787701000,1236492000,-517088000,None,None,-16275000,None,None,None,179641000,None,None,None,2007-12-31,100403000,589306000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1947597000,1623693000,-1939665000,None,None,-53320000,None,None,None,135028000,None,None,None,2006-12-31,53806000,364761000,None,None,None,None,None,None,None,None,None,None,None,None,USD
782229000,712244000,-905228000,None,None,-5717000,None,None,None,87895000,21006000,21006000,None,2005-12-31,118334000,283216000,None,None,None,None,None,None,None,None,None,None,None,None,USD
