comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,29653000000,29653000000,None,12919000000,18123000000,31042000000,2024-12-31,51747000000,14712000000,3373000000,None,3411000000,None,None,11339000000,11339000000,-3411000000,None,33737000000,18010000000,None,USD,None,17747000000,81400000000
None,30188000000,30188000000,None,12818000000,14334000000,27152000000,2023-12-31,48370000000,10999000000,2682000000,None,3335000000,None,None,8317000000,7780000000,-3308000000,None,34104000000,14266000000,None,USD,None,18076000000,78558000000
None,36206000000,36206000000,None,13651000000,6510000000,20161000000,2022-12-31,43365000000,3146000000,556000000,None,3364000000,None,None,2590000000,2590000000,-3364000000,None,36822000000,6543000000,-33000000,USD,None,19307000000,79571000000
None,36605000000,36605000000,None,16383000000,6693000000,23076000000,2021-12-31,43513000000,3351000000,327000000,None,3342000000,20000000,None,3024000000,3024000000,-3342000000,None,36621000000,6892000000,-179000000,USD,None,18038000000,80118000000
None,28266000000,28266000000,None,14151000000,6231000000,20382000000,2020-12-31,40131000000,3530000000,786000000,None,2701000000,29000000,None,3064000000,2744000000,-2701000000,None,33495000000,6636000000,-376000000,USD,200000000,17126000000,68397000000
None,18521000000,18521000000,None,6616000000,5738000000,12354000000,2019-12-31,26477000000,4603000000,1135000000,None,1135000000,24000000,None,3468000000,5738000000,-1111000000,None,20755000000,5722000000,16000000,USD,None,12539000000,44998000000
None,18354000000,18354000000,None,6486000000,5274000000,11760000000,2018-12-31,24956000000,3917000000,1029000000,None,1357000000,19000000,None,2888000000,4946000000,-1338000000,None,19647000000,5309000000,-35000000,USD,0,13161000000,43310000000
None,17708000000,17708000000,None,5984000000,4832000000,10816000000,2017-12-31,22896000000,3161000000,-1375000000,None,1671000000,17000000,None,4536000000,1786000000,-1654000000,None,18008000000,4888000000,-56000000,USD,0,12259000000,40604000000
None,16550000000,16550000000,None,6243000000,4057000000,10300000000,2016-12-31,20940000000,2327000000,867000000,None,1730000000,261000000,None,1460000000,1460000000,-1469000000,None,16890000000,4050000000,255000000,USD,0,11378000000,37490000000
None,14898000000,14898000000,None,4688000000,2474000000,7162000000,2015-12-31,17569000000,978000000,245000000,None,1496000000,1076000000,None,733000000,1223000000,None,None,15090000000,2479000000,409000000,USD,0,10189000000,32467000000
None,15409000000,15409000000,None,4412000000,1764000000,6176000000,2014-12-31,14155000000,413000000,166000000,None,1351000000,None,None,247000000,579000000,None,None,12739000000,1416000000,348000000,USD,0,8863000000,29564000000
None,12255000000,12255000000,None,3627000000,1274000000,4901000000,2013-12-31,12165000000,51000000,16000000,None,1223000000,None,None,35000000,67000000,None,None,11169000000,996000000,278000000,USD,0,7382000000,24420000000
None,8098000000,8098000000,None,641425000,-3779425000,-3138000000,2012-12-31,11621000000,607458000,213286000,None,661000000,None,None,394172000,394172000,None,None,18018000000,823969000,58983000,USD,0,6796000000,19719000000
None,8598000000,8598000000,None,544059000,-1826059000,-1282000000,2011-12-31,12020000000,479656000,178346000,None,670000000,None,None,301310000,0,None,None,16299000000,747538000,None,USD,0,6728000000,20618000000
None,2317875000,2317875000,None,1223931000,-198780000,1025151000,2010-12-31,1751478000,312294000,118879000,None,263125000,None,None,193415000,193415000,None,None,1032580000,718898000,-143479000,USD,0,621660000,4069353000
None,2004324000,2004324000,None,377856000,533964000,911820000,2009-12-31,1476191000,263679000,86835000,None,270285000,None,None,176844000,None,None,None,940903000,535288000,None,USD,None,567730000,3480515000
None,1561943000,1561943000,None,255319000,458822000,714141000,2008-12-31,1189573000,279424000,129986000,None,179398000,None,None,149438000,None,None,None,721806000,467767000,None,USD,None,447582000,2751516000
None,1244743000,1244743000,None,178202000,460114000,638316000,2007-12-31,990991000,223501000,123098000,None,201746000,None,None,100403000,None,None,None,530877000,460114000,None,USD,None,352020000,2235734000
None,922158000,922158000,None,135028000,237253000,372281000,2006-12-31,624705000,90523000,36717000,None,0,None,None,53806000,None,None,None,387452000,237253000,None,USD,None,243618000,1546863000
None,584083000,584083000,None,87895000,748250000,836145000,2005-12-31,748250000,326102000,-86369000,None,0,None,None,86369000,None,None,None,32168000,748250000,None,USD,None,162476000,748250000
