accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,533351000000,8982404000000,8982404000000,397050000000,1311320900,4034920000000,None,15737369000000,15349499000000,None,2025-03-31,None,1363266000000,1363266000000,4598232000000,None,22522159000000,None,15680892000000,1212782000000,9064284000000,None,1645852000000,15916761000000,JPY,35841218000000,38792879000000,15829516000000,6935759000000,93601350000000,37078676000000,29434220000000,56722436000000,56522674000000,27288216000000,35924826000000,None
None,462568000000,9412060000000,9412060000000,397050000000,1351284800,3828068000000,None,15332829000000,14963584000000,None,2024-03-31,None,1355326000000,1355326000000,4605368000000,None,20766384000000,None,17100665000000,1031099000000,8719014000000,None,1243953000000,14790623000000,JPY,32795365000000,36561781000000,15406285000000,4702168000000,90114296000000,34714279000000,29177909000000,54874958000000,55400016000000,25697049000000,34220991000000,None
None,456120000000,7516966000000,7516966000000,397050000000,1365838200,3819334000000,None,12305639000000,12084640000000,None,2023-03-31,None,1249122000000,1249122000000,4255614000000,None,17074634000000,None,15783776000000,886885000000,7430136000000,None,1136764000000,13125342000000,JPY,28343296000000,29380273000000,12305639000000,1715675000000,74303180000000,26459781000000,23959715000000,45038967000000,47843399000000,21079252000000,28338706000000,None
None,420928000000,6113655000000,6113655000000,397050000000,1388765900,3168084000000,None,11187839000000,10488084000000,None,2022-03-31,None,1191966000000,1191966000000,3821356000000,None,15308519000000,None,14355162000000,3299195000000,6659423000000,None,1005728000000,12775052000000,JPY,26453126000000,26496358000000,11187839000000,2507248000000,67688771000000,23722290000000,21842161000000,40533951000000,43966480000000,18691790000000,26245969000000,None
None,360891000000,5100857000000,5100857000000,397050000000,1420613500,2953716000000,None,12212060000000,9827389000000,None,2021-03-31,None,1108634000000,1108634000000,2888028000000,None,13447575000000,None,13244717000000,4960526000000,5943811000000,None,788454000000,7195309000000,JPY,24104176000000,25659635000000,12212059000000,4215457000000,62267140000000,22776800000000,21460466000000,37978811000000,39490338000000,16518345000000,23404547000000,-2901680000000
None,309045000000,4190518000000,4190518000000,397050000000,1423009000,2434180000000,None,9860071000000,9273919000000,None,2020-03-31,None,1000257000000,1000257000000,2434918000000,None,11434219000000,None,11472104000000,1236225000000,1443687000000,None,821515000000,6571110000000,JPY,23427613000000,21294290000000,9860071000000,1506951000000,52680436000000,18642531000000,17902377000000,31942754000000,34037905000000,14040377000000,20060618000000,-3087106000000
0,0,3574704000000,3574704000000,397050000000,1459337000,2674520000000,None,9599233000000,9696558000000,None,2019-03-31,0,0,0,2731040000000,None,10537671000000,None,10793649000000,8967534000000,5785031000000,None,615599000000,6178503000000,JPY,20613776000000,20150178000000,9599233000000,2253512000000,51936949000000,18879237000000,18226938000000,31869812000000,33057712000000,14278833000000,19907100000000,-2606925000000
0,0,3052269000000,3052269000000,397050000000,1497383000,2586657000000,None,9341190000000,9057206000000,None,2018-03-31,0,0,0,2539789000000,None,9991544000000,None,11162240000000,833788000000,5406717000000,None,533561000000,5901958000000,JPY,19473464000000,19347564000000,9341190000000,2669604000000,50308249000000,18152656000000,17796891000000,30878147000000,32155593000000,13081256000000,18735982000000,-2057733000000
0,0,2995075000000,2995075000000,397050000000,1527913000,2566382000000,None,9244131000000,8749454000000,None,2017-03-31,0,0,0,2388617000000,None,9893990000000,None,10525567000000,796297000000,5284878000000,None,521876000000,5700818000000,JPY,17601070000000,19155727000000,9244131000000,2904252000000,48750186000000,17833695000000,17318965000000,30567110000000,30916491000000,13248145000000,17514812000000,-1608243000000
0,0,2939428000000,2939428000000,397050000000,1572473500,2389515000000,None,0,8364239000000,None,2016-03-31,0,0,0,2061511000000,None,9754814000000,None,0,2300952000000,4870528000000,None,0,9740417000000,JPY,16794240000000,18293153000000,8521088000000,2543423000000,47427597000000,18209553000000,16124456000000,29819190000000,29218044000000,13694734000000,16746935000000,-1603284000000
0,0,2284557000000,2284557000000,397050000000,1580241700,2410588000000,None,106402.64,8799230000000,None,2015-03-31,0,0,0,2137618000000,None,48148.08,None,6095648.25,1783572000000,4708630000000,None,0,44692.74,JPY,15591947000000,18977887000000,8963492000000,2931420000000,47729830000000,17936397000000,16431496000000,30082501000000,29793433000000,13651005000000,16788131000000,-5892.13
None,None,2041170000000,2041170000000,397050000000,1585541500,2213218000000,None,16493565000000,8016348000000,None,2014-03-31,None,None,None,1894704000000,None,82996000000,None,9391037000000,1538400000000,4092155000000,None,None,74202000000,JPY,14116295000000,16327393000000,7780483000000,2227084000000,41437473000000,15717706000000,14680685000000,26218486000000,25719767000000,11537801000000,14469148000000,-10911000000
None,None,1718297000000,1718297000000,397050000000,1583651000,2113778000000,None,None,7522012000000,None,2013-03-31,None,None,None,1715786000000,None,77929000000,None,None,1276432000000,3848520000000,None,None,72762000000,JPY,12689206000000,14131780000000,6793956000000,1552363000000,35483317000000,13784890000000,12912520000000,22710461000000,21698427000000,9797941000000,12148035000000,-12034000000
None,None,1679200000000,1679200000000,397050000000,1571834800,2242583000000,None,None,6523271000000,None,2012-03-31,None,None,None,1622282000000,None,73320000000,None,None,1235065000000,2457616000000,None,None,75663000000,JPY,11917074000000,12005546000000,5963269000000,1261371000000,30650965000000,12321189000000,11781574000000,19584487000000,18329776000000,7802913000000,10550261000000,-13781000000
None,None,2284583000000,2284583000000,397050000000,1568004800,1503072000000,None,None,5892157000000,None,2011-03-31,None,None,None,1304242000000,None,77927000000,None,None,1123338000000,2352559000000,None,None,76234000000,JPY,11835665000000,12401056000000,5951836000000,1429309000000,29818166000000,11829755000000,10790990000000,18898142000000,17988411000000,8107152000000,10332371000000,-15241000000
None,None,2258470000000,2258470000000,4251000000,1568019200,1956505000000,None,None,6456148000000,None,2010-03-31,None,None,None,1422373000000,None,75111000000,None,None,1143448000000,2308380000000,None,None,71851000000,JPY,11568602000000,12513406000000,5497997000000,1793165000000,30349287000000,13073604000000,10686214000000,19418844000000,17275683000000,8732630000000,10359723000000,-13495000000
None,None,2489458000000,2489458000000,397050000000,1570073500,1299455000000,None,None,5616877000000,None,2009-03-31,None,None,None,1459394000000,None,64150000000,None,None,1237874000000,2211315000000,None,None,75350000000,JPY,11531622000000,12618653000000,6317184000000,495326000000,29062037000000,11298929000000,10589293000000,18461300000000,17763108000000,7872007000000,10061207000000,-12836000000
None,None,1620799704000,1620799704000,395154059000,1589331000,2212773000000,None,None,6864908000000,None,2008-03-31,None,None,None,1816930926000,None,59706000000,None,None,1090073000000,2719070000000,None,None,77972000000,JPY,12349187534000,12151660360000,6198324947000,673746146000,32303121413000,12028417762000,11883637622000,19836873353000,20274703651000,7953235731000,11812743215000,-11902000000
None,None,1896671511000,1896671511000,396229736000,1606120000,2211723047000,None,None,6546803901000,None,2007-03-31,None,None,None,1800412310000,None,53059000000,None,None,1071340170000,1668453552000,None,None,68281000000,JPY,11741855271000,12105448778000,5854020420000,461266553000,32511456921000,11761177803000,11744329498000,20071398434000,20750279118000,8327068936000,11813018744000,-12915000000
None,None,1572504732000,1572504732000,397834281000,1627250000,2086393629000,None,None,5893597076000,None,2006-03-31,None,None,None,1624176108000,None,48016000000,None,None,965277793000,1464100776000,None,None,60157000000,JPY,10480461553000,10417961552000,4766360713000,636181742000,28788489138000,10756473798000,10048611264000,17616407989000,18032015340000,7567796725000,10581332553000,-10462000000
