capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
5257927000000,197236000000,-4189736000000,None,None,-70654000000,None,None,None,2251233000000,1132329000000,1132329000000,None,2025-03-31,4789755000000,3696934000000,None,None,None,None,None,None,None,None,None,-1179043000000,None,None,JPY
5048394000000,2497558000000,-4998751000000,None,None,-207529000000,None,None,None,2087066000000,880197000000,880197000000,None,2024-03-31,4944933000000,4206373000000,None,None,None,None,None,None,None,None,None,-231069000000,None,None,JPY
3705832000000,-56180000000,-1598890000000,None,None,-350550000000,None,None,None,2039904000000,727980000000,727980000000,None,2023-03-31,2492967000000,2955076000000,None,None,None,None,None,None,None,None,None,-431099000000,None,None,JPY
3830244000000,-2466516000000,-577496000000,None,None,-725285000000,None,None,None,1821880000000,709872000000,709872000000,None,2022-03-31,2874614000000,3722615000000,None,None,None,None,None,None,None,None,None,-1020533000000,None,None,JPY
3767945000000,2739174000000,-4684175000000,None,None,-242769000000,None,None,None,1644290000000,625514000000,625514000000,None,2021-03-31,2282378000000,2727162000000,None,None,None,None,None,None,None,None,None,-1020533000000,None,None,JPY
3595131000000,397138000000,-3150861000000,None,None,-114096000000,None,None,None,1605383000000,629987000000,629987000000,None,2020-03-31,2142329000000,3590643000000,None,None,None,None,None,None,None,None,None,-476129000000,None,None,JPY
3738887000000,-540839000000,-2697241000000,0,0,-166902000000,None,None,0,1792375000000,644806000000,644806000000,None,2019-03-31,1985587000000,3766597000000,None,None,None,None,None,None,None,None,None,-549637000000,None,None,JPY
3598707000000,-449135000000,-3660092000000,0,0,-171148000000,None,None,0,1734033000000,626892000000,626892000000,None,2018-03-31,2586106000000,4210009000000,None,None,None,None,None,None,None,None,None,-447818000000,None,None,JPY
3541437000000,-375165000000,-2969939000000,0,0,-246326000000,None,None,0,1610950000000,638172000000,638172000000,None,2017-03-31,1926985000000,3568488000000,None,None,None,None,None,None,None,None,None,-703986000000,None,None,JPY
4059216000000,-423571000000,-3182544000000,0,0,-68912000000,None,None,0,1625837000000,705953000000,705953000000,None,2016-03-31,2434211000000,4460857000000,None,None,None,None,None,None,None,None,None,-778173000000,None,None,JPY
3357568000000,306045000000,-3813490000000,0,0,-171001000000,None,None,0,1409075000000,554933000000,554933000000,None,2015-03-31,2307904000000,3685753000000,None,None,None,None,None,None,None,None,None,-347784000000,None,None,JPY
2678691000000,919480000000,-4336248000000,None,None,-110819000000,None,None,None,1250853000000,396030000000,396030000000,None,2014-03-31,1991648000000,3646035000000,None,None,None,None,None,None,None,None,None,4358286000000,None,None,JPY
1974152000000,477242000000,-3027312000000,None,None,50483000000,None,None,None,1105109000000,190008000000,190008000000,None,2013-03-31,1083482000000,2451316000000,None,None,None,None,None,None,None,None,None,-43098000000,None,None,JPY
1532082000000,-355347000000,-1442658000000,None,None,-344923000000,None,None,None,1067830000000,156785000000,156785000000,None,2012-03-31,368302000000,1452435000000,None,None,None,None,None,None,None,None,None,-37448000000,None,None,JPY
1691191000000,434327000000,-2116344000000,None,None,51808000000,None,None,None,1175573000000,141120000000,141120000000,None,2011-03-31,465485000000,2024009000000,None,None,None,None,None,None,None,None,None,-28617000000,None,None,JPY
1437601000000,-277982000000,-2850184000000,None,None,56059000000,None,None,None,1414569000000,172476000000,172476000000,None,2010-03-31,244212000000,2558530000000,None,None,None,None,None,None,None,None,None,-10251000000,None,None,JPY
23668000000,698841000000,-1230220000000,None,None,192379000000,None,None,None,1495170000000,439991000000,439991000000,None,2009-03-31,-461215000000,1476905000000,None,None,None,None,None,None,None,None,None,-70587000000,None,None,JPY
2746834220000,702762000000,-3856316737000,None,None,-149267127000,None,None,None,1483996432000,428756612000,428756612000,None,2008-03-31,1709642063000,2967394598000,None,None,None,None,None,None,None,None,None,-311667000000,None,None,JPY
2830279727000,879999970000,-3807010180000,None,None,-133490423000,None,None,None,1379911588000,338497779000,338497779000,None,2007-03-31,1640883597000,3231929198000,None,None,None,None,None,None,None,None,None,-295139902000,None,None,JPY
2776718498000,878648789000,-3382179901000,None,None,-249293789000,None,None,None,1213629962000,245056501000,245056501000,None,2006-03-31,1374882318000,2520480264000,None,None,None,None,None,None,None,None,None,-129943505000,None,None,JPY
