comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,38458666000000,38458666000000,None,2251233000000,6498696000000,8749929000000,2025-03-31,9578038000000,6414590000000,1624835000000,None,84106000000,364628000000,None,4765086000000,4789755000000,245554000000,None,4782452000000,4795586000000,None,JPY,None,4782452000000,48036704000000
None,35727007000000,35727007000000,None,2087066000000,6305657000000,8392723000000,2024-03-31,9368318000000,6965086000000,1893665000000,None,783000000,454688000000,None,4944933000000,5071421000000,516350000000,None,4015383000000,5352935000000,None,JPY,1202373000000,4015383000000,45095325000000
None,30841282000000,30841282000000,None,2039904000000,3150783000000,5190687000000,2023-03-31,6313016000000,3668733000000,1175765000000,None,125113000000,1021816000000,None,2451318000000,2492967000000,254237000000,None,3587990000000,3669330000000,None,JPY,1241686000000,3587990000000,37154298000000
None,25407834000000,25407834000000,None,1821880000000,4022990000000,5844870000000,2022-03-31,5971673000000,3990532000000,1115918000000,None,32458000000,101512000000,None,2850110000000,2874614000000,290763000000,None,2975977000000,2995697000000,None,JPY,1124262000000,2975977000000,31379507000000
None,22382220000000,22382220000000,None,1644290000000,2964749000000,4609039000000,2021-03-31,4832373000000,2932354000000,649976000000,None,42421000000,435229000000,None,2245261000000,2282378000000,387692000000,None,2634625000000,2197748000000,None,JPY,1090424000000,2634625000000,27214593000000
None,24522364000000,24522364000000,None,1595347000000,2529850000000,4125197000000,2020-03-31,5407628000000,2792942000000,683430000000,None,32217000000,97033000000,None,2036140000000,2142329000000,200653000000,None,2964759000000,2399232000000,None,JPY,1096019000000,2964759000000,29929992000000
None,24781785000000,24781785000000,None,1792375000000,2457201000000,4249576000000,2019-03-31,5443896000000,2285465000000,659944000000,None,28078000000,131237000000,None,1882873000000,1985587000000,197417000000,None,2976351000000,2467545000000,0,JPY,1048882000000,2976351000000,30225681000000
None,23889153000000,23889153000000,None,1734033000000,2399862000000,4133895000000,2018-03-31,5490357000000,2620429000000,504406000000,None,27586000000,174619000000,None,2493983000000,2586106000000,151955000000,None,3090495000000,2399862000000,0,JPY,1064269000000,3090495000000,29379510000000
None,22734336000000,22734336000000,None,1610950000000,1994372000000,3605322000000,2017-03-31,4862857000000,2193825000000,628900000000,None,29353000000,163231000000,None,1831109000000,1926985000000,129630000000,None,2868485000000,1994372000000,0,JPY,1037528000000,2868485000000,27597193000000
None,22605465000000,22605465000000,None,1625837000000,2853971000000,4479808000000,2016-03-31,5797653000000,2983381000000,878269000000,None,35403000000,116886000000,None,2312694000000,0,None,None,2943682000000,2853971000000,0,JPY,1055672000000,2943682000000,28403118000000
None,21841676000000,21841676000000,None,1409075000000,2750564000000,4159639000000,2015-03-31,5392845000000,2892828000000,893469000000,None,22871000000,None,None,2173338000000,1331095.09,None,None,2642281000000,2750564000000,0,JPY,1004547000000,2207131000000,27234521000000
None,20801139000000,20801139000000,None,1250853000000,2292112000000,3542965000000,2014-03-31,4890772000000,2441080000000,767808000000,None,19630000000,None,None,1823119000000,1991648000000,None,None,2598660000000,2292112000000,None,JPY,910517000000,2179251000000,25691911000000
None,18640995000000,18640995000000,None,1105109000000,1426616000000,2531725000000,2013-03-31,3423197000000,1635168000000,551686000000,None,22967000000,None,None,962163000000,None,None,None,2102309000000,1320888000000,None,JPY,807454000000,2102309000000,22064192000000
None,16388564000000,16388564000000,None,1067830000000,455795000000,1523625000000,2012-03-31,2195089000000,432873000000,262272000000,None,22922000000,None,None,283559000000,None,None,None,1839462000000,355627000000,None,JPY,9463000000,1839462000000,18583653000000
None,16615326000000,16615326000000,None,1175573000000,592608000000,1768181000000,2011-03-31,2378362000000,563290000000,312821000000,None,29318000000,None,None,408183000000,None,None,None,1910083000000,468279000000,None,JPY,10924000000,1910083000000,18993688000000
None,16683797000000,16683797000000,None,1414569000000,324877000000,1739446000000,2010-03-31,2267176000000,291468000000,92664000000,None,33409000000,None,None,209456000000,None,None,None,2119660000000,147516000000,None,JPY,7766000000,2119660000000,18950973000000
None,18455800000000,18455800000000,None,1495170000000,-513499000000,981671000000,2009-03-31,2073770000000,-560381000000,-56442000000,None,46882000000,None,None,-436937000000,None,None,None,2534781000000,-461011000000,None,JPY,9204000000,2534781000000,20529570000000
None,21417389878000,21417389878000,None,1483996432000,2558464568000,4042461000000,2008-03-31,4746136273000,2425565894000,907169222000,None,46113000000,None,None,1709642063000,None,None,None,2486588928000,2259547345000,None,JPY,9571000000,2486588927920,26163526151000
None,19190927183000,19190927183000,None,1379911588000,2234344548000,3614256136000,2007-03-31,4710574214000,2377849698000,896494815000,None,0,None,None,1640883597000,None,None,None,2476229665000,2234344548000,None,JPY,7546000000,2476229665440,23901501396000
None,16978460710000,16978460710000,None,1213629962000,1882062175000,3095692137000,2006-03-31,4100047143000,2091454834000,796727884000,None,0,None,None,1374882318000,None,None,None,2217984968000,1882062176000,None,JPY,6918000000,2217984967800,21078507853000
