accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,5745000000,16139000000,16139000000,3000000,3498000000,12474000000,None,2343000000,4418000000,None,2024-12-31,244000000,1226000000,1226000000,12017000000,None,5535000000,None,None,5362000000,7556000000,None,1093000000,51501000000,USD,35209000000,13623000000,3263000000,20424000000,122070000000,58360000000,28821000000,48390000000,63716000000,19569000000,72913000000,None
None,4916000000,16398000000,16398000000,3000000,3482750000,14431000000,None,1975000000,3508000000,None,2023-12-31,253000000,362000000,362000000,13626000000,None,2682000000,None,None,3388000000,6328000000,None,876000000,45123000000,USD,27882000000,9573000000,3045000000,12696000000,106618000000,49616000000,28748000000,43009000000,57003000000,14261000000,62634000000,None
None,3703000000,16253000000,16253000000,3000000,3475000000,15255000000,None,1016000000,2952000000,None,2022-12-31,194000000,399000000,399000000,12839000000,None,1029000000,None,None,2941000000,5422000000,None,553000000,36635000000,USD,12885000000,5748000000,1987000000,5932000000,82338000000,40917000000,26709000000,36440000000,41421000000,9731000000,44704000000,None
None,3531000000,17576000000,17576000000,1000000,3100522833,10025000000,None,1088000000,1913000000,None,2021-12-31,200000000,1517000000,1517000000,5757000000,None,4254000000,None,None,1723000000,5719000000,None,10843000000,31176000000,USD,331000000,8873000000,1589000000,131000000,62131000000,27100000000,19705000000,31116000000,35031000000,11411000000,30189000000,None
None,1540000000,19384000000,19384000000,1000000,3249000000,6051000000,None,2132000000,1886000000,None,2020-12-31,207000000,313000000,313000000,4101000000,None,9607000000,None,None,1346000000,2792000000,None,14170000000,12747000000,USD,-5399000000,13279000000,2418000000,0,52148000000,26717000000,14248000000,28469000000,25434000000,14221000000,22225000000,None
None,1050000000,6268000000,6268000000,1000000,2655000000,3771000000,None,1785000000,1324000000,None,2019-12-31,198000000,339000000,339000000,3552000000,None,11634000000,None,1000000,959000000,2383000000,None,408000000,20199000000,USD,-6083000000,14603000000,2013000000,671000000,34309000000,12103000000,10667000000,26199000000,22203000000,15532000000,6618000000,None
None,1855900000,3686000000,3686000000,173000,2559000000,3404451000,None,2567699000,949000000,None,2018-12-31,68000000,282000000,282000000,3113000000,None,9403672000,None,421548000,559000000,2104886000,None,636409000,19691000000,USD,-5318000000,13828000000,2712000000,807767000,29740000000,8307000000,9993000000,23427000000,21435000000,13434000000,4923000000,None
None,1801010000,3367914000,3367914000,169000,2486370000,2390250000,None,896549000,515381000,None,2017-12-31,60237000,361502000,361502000,2263537000,None,9418389000,None,456652000,423688000,2250664000,None,2695386000,20491616000,USD,-4974299000,12130863000,978777000,155323000,28655372000,6570520000,7674670000,23023050000,22084948000,15348380000,4237242000,0
None,1459684000,3393216000,3393216000,161000,2163180000,1860341000,None,1150147000,499142000,None,2016-12-31,0,376145000,376145000,2067454000,None,5978284000,None,506302000,299984000,1787648000,None,2507395000,15036917000,USD,-2997237000,8588115000,1262993000,105519000,22664076000,6259796000,5827005000,16758951000,16400700000,10931946000,4752911000,0
None,None,1196908000,1196908000,131000,1923030000,916148000,None,675212000,168965000,None,2015-12-31,0,12816000,12816000,1277838000,None,2068378000,None,None,138295000,457123000,None,1658717000,3403334000,USD,-2322323000,2897694000,629227000,22628000,8067939000,2782006000,2811035000,6984235000,5278030000,4173200000,1083704000,0
None,12267000,1905713000,1905713000,126000,1868085000,777946000,None,669295000,226604000,None,2014-12-31,0,0,0,953675000,None,1806518000,None,None,76134000,424679000,None,661123000,1829267000,USD,-1433682000,2530909000,641661000,17947000,5830667000,3180073000,2107166000,4918957000,2650550000,2811791000,911710000,0
None,None,845889000,845889000,123000,1791315000,303969000,None,None,49109000,None,2013-12-31,0,13930000,13930000,340355000,None,598974000,None,None,27574000,233338000,None,None,1120919000,USD,-1139620000,606878000,7904000,3012000,2416930000,1265939000,675160000,1749810000,1150966000,1074650000,667120000,0
None,9965000,201890000,201890000,115000,1610235000,303382000,None,None,26842000,None,2012-12-31,0,14267000,14267000,268504000,None,401495000,None,None,27532000,30088000,None,25170000,552229000,USD,-1065606000,466666000,55206000,19094000,1114190000,524768000,539108000,989490000,589422000,450382000,124700000,0
None,2830000,255266000,255266000,104000,1505832225,56141000,None,None,9539000,None,2011-12-31,0,14508000,14508000,50082000,None,268335000,None,None,32890000,31142000,None,14915000,298414000,USD,-669392000,280148000,8983000,25061000,713448000,372838000,191339000,489403000,340610000,298064000,224045000,0
None,None,99558000,99558000,95000,1427810175,28951000,None,None,6710000,None,2010-12-31,None,14508000,14508000,45182000,None,72324000,None,None,84436000,51700000,None,None,122599000,USD,-414982000,72107000,279000,73597000,386082000,235886000,85565000,179034000,150196000,93469000,207048000,None
None,None,69627000,69627000,7000,2044950000,15086000,None,None,3488000,None,2009-12-31,None,None,None,23222000,None,800000,None,None,4222000,40284000,None,None,23535000,USD,-260654000,1090000,290000,None,130424000,100559000,57489000,383947000,29865000,326458000,-253523000,None
None,None,9277000,9277000,7000,2044950000,14184000,None,None,3320000,None,2008-12-31,None,None,None,16650000,None,55416000,None,None,2180000,67534000,None,None,18793000,USD,-204914000,55757000,341000,None,51699000,31427000,87935000,251413000,20272000,163478000,-199714000,None
None,None,17211000,17211000,18000,2044950000,5369000,None,None,59000,None,2007-12-31,None,None,None,2108000,None,None,None,None,2930000,45847000,None,None,None,USD,-122132000,98000,80000,None,34837000,22308000,51296000,152683000,12529000,101387000,-117846000,None
None,None,None,None,None,2044950000,None,None,None,None,None,2006-12-31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
