capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
11342000000,3853000000,-18787000000,None,None,937000000,None,None,None,5368000000,None,None,None,2024-12-31,7153000000,14923000000,None,None,None,None,None,None,None,None,None,1241000000,None,None,USD
8899000000,2589000000,-15584000000,None,None,-1195000000,None,None,None,4667000000,None,None,None,2023-12-31,14974000000,13256000000,None,None,None,None,None,None,None,None,None,700000000,None,None,USD
7172000000,-3527000000,-11973000000,None,None,-6465000000,None,None,None,3543000000,None,None,None,2022-12-31,12556000000,14724000000,None,None,None,None,None,None,None,None,None,541000000,None,None,USD
8014000000,-5203000000,-7868000000,-1574000000,None,-1709000000,None,None,130000000,2911000000,None,None,None,2021-12-31,5519000000,11497000000,None,None,None,None,None,None,None,None,None,548000000,None,None,USD
3242000000,9973000000,-3132000000,12784000000,None,-422000000,None,None,-652000000,2322000000,None,None,None,2020-12-31,690000000,5943000000,None,None,None,None,None,None,None,None,None,12502000000,None,None,USD
1437000000,1529000000,-1436000000,None,None,-429000000,None,None,None,2154000000,None,None,None,2019-12-31,-775000000,2405000000,None,None,None,None,None,None,None,None,None,1285000000,None,None,USD
2319000000,574000000,-2337000000,334129000,None,-1023000000,None,None,-496732000,1901050000,None,None,None,2018-12-31,-1062582000,2098000000,None,None,None,None,None,None,None,None,None,505541000,None,None,USD
4081354000,4415000000,-4196000000,-25302000,39455000,-179000000,None,None,-24635000,1636000000,None,None,None,2017-12-31,-2241000000,-61000000,None,None,None,None,None,None,None,None,None,1009649000,None,None,USD
1440471000,3743976000,-1081085000,2196308000,-7409000,-632867000,None,None,-213097000,947099000,None,None,None,2016-12-31,-773046000,-123829000,None,None,None,None,None,None,None,None,None,2045828000,None,None,USD
1634850000,1523523000,-1673551000,-708805000,-34278000,-1573860000,None,None,46267000,422590000,0,0,None,2015-12-31,-888663000,-524499000,None,None,None,None,None,None,None,None,None,839586000,None,None,USD
969885000,2143130000,-990444000,1059824000,-35525000,-1050264000,None,None,-183658000,231931000,0,0,None,2014-12-31,-294040000,-57337000,None,None,None,None,None,None,None,None,None,454466000,None,None,USD
264224000,635422000,-249417000,643999000,None,-460561000,None,None,-21917000,120784000,0,0,None,2013-12-31,-74014000,264804000,None,None,None,None,None,None,None,None,None,253724000,None,None,USD
239228000,419635000,-206930000,-53376000,None,4929000,None,None,-17303000,28825000,0,0,None,2012-12-31,-396213000,-263815000,None,None,None,None,None,None,None,None,None,24885000,None,None,USD
197896000,446000000,-175928000,155708000,None,-13638000,None,None,-2829000,16919000,0,0,None,2011-12-31,-254411000,-114364000,None,None,None,None,None,None,None,None,None,69583000,None,None,USD
40203000,338045000,-180297000,None,None,-20115000,None,None,None,10623000,None,None,None,2010-12-31,-154328000,-127817000,None,None,None,None,None,None,None,None,None,None,None,None,USD
11884000,155419000,-14244000,None,None,-7925000,None,None,None,6940000,None,None,None,2009-12-31,-55740000,-80825000,None,None,None,None,None,None,None,None,None,None,None,None,USD
10630000,56068000,-11590000,None,None,-18839000,None,None,None,4157000,None,None,None,2008-12-31,-82782000,-52412000,None,None,None,None,None,None,None,None,None,None,None,None,USD
9802000,45041000,-9762000,None,None,-2108000,None,None,None,2895000,None,None,None,2007-12-31,-78157000,-53469000,None,None,None,None,None,None,None,None,None,None,None,None,USD
6505000,39807000,-6805000,None,None,None,None,None,None,615000,None,None,None,2006-12-31,-29957000,-3428000,None,None,None,None,None,None,None,None,None,None,None,None,None
