comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,80240000000,80240000000,None,5368000000,9340000000,14708000000,2024-12-31,17450000000,8990000000,1837000000,None,350000000,1569000000,None,7130000000,7153000000,1219000000,None,10374000000,7076000000,None,USD,4540000000,5150000000,97690000000
None,79113000000,79113000000,None,4667000000,10129000000,14796000000,2023-12-31,17660000000,9973000000,-5001000000,None,156000000,1066000000,None,14974000000,14974000000,910000000,None,8769000000,8891000000,None,USD,3969000000,4800000000,96773000000
None,60609000000,60609000000,None,3543000000,14290000000,17833000000,2022-12-31,20853000000,13719000000,1132000000,None,191000000,41000000,None,12587000000,12587000000,106000000,None,7021000000,13656000000,None,USD,3075000000,3946000000,81462000000
None,40217000000,40217000000,None,2911000000,6687000000,9598000000,2021-12-31,13606000000,6343000000,699000000,None,371000000,56000000,None,5644000000,5644000000,-315000000,None,7110000000,6687000000,191000000,USD,2593000000,4517000000,53823000000
None,24906000000,24906000000,None,2322000000,1902000000,4224000000,2020-12-31,6630000000,1154000000,292000000,None,748000000,30000000,None,721000000,862000000,-718000000,None,4636000000,1994000000,None,USD,1491000000,3145000000,31536000000
None,20509000000,20509000000,None,2154000000,18000000,2172000000,2019-12-31,4069000000,-665000000,110000000,None,685000000,44000000,None,-862000000,-775000000,-641000000,None,4000000000,-69000000,None,USD,1343000000,2646000000,24578000000
None,17419247000,17419247000,None,1901000000,-342000000,1559000000,2018-12-31,4042021000,-1005000000,58000000,None,663000000,24533000,None,-976000000,-1062582000,-638538000,None,4430000000,-388000000,None,USD,1460370000,2835000000,21461268000
None,9536000000,9536000000,None,1636000000,-1738000000,-102000000,2017-12-31,2223000000,-2209000000,32000000,None,471000000,19686000,None,-1962000000,-2240578000,-451573000,None,3855000000,-1632000000,None,USD,1378000000,2439500000,11759000000
None,5400875000,5400875000,None,947099000,-547538000,399561000,2016-12-31,1599257000,-746348000,26698000,None,198810000,164180000,None,-674914000,None,None,None,2266597000,-667340000,None,USD,834408000,1384189000,7000132000
None,3122522000,3122522000,None,422590000,-756773000,-334183000,2015-12-31,923503000,-875624000,13039000,None,118851000,None,None,-888663000,None,None,None,1640132000,-716629000,None,USD,717900000,863932000,4046025000
None,2316685000,2316685000,None,231931000,-183750000,48181000,2014-12-31,881671000,-284636000,9404000,None,100886000,None,None,-294040000,None,None,None,1068360000,-186689000,None,USD,464700000,554760000,3198356000
None,1557234000,1557234000,None,106083000,-38492000,67591000,2013-12-31,456262000,-71426000,2588000,None,32934000,None,None,-74014000,None,None,None,517545000,-61283000,None,USD,231976000,276569000,2013496000
None,383189000,383189000,None,28825000,-395823000,-366998000,2012-12-31,30067000,-396077000,136000,None,254000,None,None,-396213000,None,None,None,424350000,-394283000,None,USD,273978000,146472000,413256000
None,142647000,142647000,None,16919000,-253879000,-236960000,2011-12-31,61595000,-253922000,489000,None,43000,None,None,-254411000,None,None,None,313083000,-251488000,None,USD,208981000,104102000,204242000
None,86013000,86013000,None,10623000,-153163000,-142540000,2010-12-31,30731000,-154155000,173000,None,992000,None,None,-154328000,None,None,None,177569000,-146838000,None,USD,92996000,84573000,116744000
None,102408000,102408000,None,6940000,-53183000,-46243000,2009-12-31,9535000,-55714000,26000,None,2531000,None,None,-55740000,None,None,None,61432000,-51897000,None,USD,19282000,None,111943000
None,15883000,15883000,None,4157000,-78938000,-74781000,2008-12-31,-1141000,-82685000,97000,None,3747000,None,None,-82782000,None,None,None,77363000,-78504000,None,USD,53714000,None,14742000
None,9000,9000,None,2895000,-78047000,-75152000,2007-12-31,64000,-78047000,110000,None,1749000,None,None,-78157000,None,None,None,79997000,-79933000,None,USD,62753000,None,73000
None,615000,615000,None,615000,-29434000,-28819000,2006-12-31,-615000,-29857000,100000,None,423000,None,None,-29957000,None,None,None,29816000,-30431000,None,USD,24995000,None,None
