accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,28755300000,2127627000000,2127627000000,259327000000,5186000000,74227000000,None,59858000000,272088000000,None,2024-12-31,6070900000,20211600000,20211600000,287869000000,None,926604000000,None,149040000000,106376000000,1130440000000,None,177233000000,3275108461000,TWD,3917252000000,986462000000,59858000000,294392000000,6691938000000,3088352000000,1264525000000,2368362000000,3603586000000,1103837000000,4288545000000,None
None,28681800000,1465427753000,1465427753000,259320710000,5185853400,57293057000,None,9293300000,202010236000,None,2023-12-31,5796438000,16970306000,16970306000,250997088000,None,918282800000,None,129267600000,53256844000,789783899000,None,179249400000,3104899814000,TWD,2882595798000,959068460000,12103817000,222340989000,5532371215000,2194032910000,913583316000,2049108368000,3338338304999,1135525052000,3458913627000,None
None,29764097000,1342814083000,1342814083000,259303805000,5185876600,268379321000,None,19313889000,231408820000,None,2022-12-31,5791821000,20207334000,20207334000,221149148000,None,839096486000,None,68930000000,12888776000,584651331000,None,180850137000,2735751106000,TWD,2637524688000,888174472000,19313889000,243686042000,4964778878000,2052896744000,944226817000,2004290011000,2911882134000,1060063194000,2945653195000,None
None,20764214000,1064990192000,1064990192000,259303805000,5186076000,193027751000,None,119488000000,198362964000,None,2021-12-31,5379164000,21442533000,21442533000,193102321000,None,610071000000,None,29384000000,10521481000,5258223000,None,205196000000,2089046000000,TWD,1906829661000,749065330000,114921333000,140082481000,3725503455000,1607072907000,739503358000,1554770250000,2118430548000,815266892000,2168286553000,None
None,20560649000,660170647000,660170647000,259303805000,5186076000,196792245000,None,88559026000,146089048000,None,2020-12-31,5436602000,20331577000,20331577000,137353407000,None,254105000000,None,27728208000,6590191000,2695297000,None,2395400000,1583317502000,TWD,1588686081000,365192370000,88559026000,141981968000,2760711405000,1092185308000,617151048000,910089406000,1668526097000,292938358000,1849657256000,None
0,15041800000,455399336000,455399336000,259303805000,5186076000,179581769000,None,150322300000,139822312000,None,2019-12-31,5693376000,14959652000,14959652000,82981196000,None,25100000000,None,30092000000,5320795000,32784147000,None,2128300000,1369609807000,TWD,1333334979000,158664123000,118522290000,139064391000,2264805032000,822613914000,590735701000,642709606000,1442191118000,51973905000,1621410124000,0
0,0,577814601000,577814601000,259303805000,5186076000,2214985000,None,123654700000,129262831000,None,2018-12-31,5795488000,11206649000,11206649000,103230976000,None,56900000000,None,29208000000,5429920000,35109162000,None,1951000000,1072050279000,TWD,1376647841000,180554700000,123654700000,135941393000,2090128038000,951679721000,356837100000,412631642000,1138448317000,72089056000,1676817665000,0
0,0,553391696000,553391696000,259303805000,5186076000,84136600000,None,63766800000,122488430000,None,2017-12-31,5648702000,8526438000,8526438000,73880747000,None,91800000000,None,41439400000,4256834000,-33437011000,None,1855600000,1062542300000,TWD,1233362010000,213967900000,122167900000,103185403000,1991861643000,857203110000,386890200000,469102000000,1134658533000,110395320000,1522057533000,0
0,0,541253833000,541253833000,259303805000,5186076000,89216800000,None,57958200000,129451618000,None,2016-12-31,6007975000,8606871000,8606871000,48682233000,None,153115337000,None,45995400000,3390972000,-40105254000,None,1686500000,997777700000,TWD,1041810700000,249173600000,96058200000,94950470000,1886455302000,817729126000,348286000000,496404176000,1068726176000,178164903000,1359050700000,0
0,0,562688930000,562688930000,259303805000,5186076000,44587500000,None,18.77,85690415000,None,2015-12-31,6104784000,7961096000,7961096000,67052270000,None,191997582000,None,27.83,3535108000,-5277500000,None,0,853470392000,TWD,866629600000,254981700000,62984100000,27777268000,1657518298000,746743991000,239772100000,434883819000,910774307000,222655225000,1194007700000,0
