capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
956007000000,-346301000000,-864842800000,None,None,-36871700000,None,None,None,662796000000,363055000000,363055000000,None,2024-12-31,1173268000000,1826177000000,None,None,None,None,None,None,None,None,None,-3089177000,None,None,TWD
955398400000,-204894200000,-906120600000,None,None,-29847940000,None,None,None,532190921000,291721852000,291721852000,None,2023-12-31,838497664000,1241967300000,None,None,None,None,None,None,None,None,None,0,None,None,TWD
1089626456000,-200244032000,-1190928235000,None,None,-28046827000,None,None,None,437254273000,285234185000,285234185000,None,2022-12-31,1144190718000,1610599188000,None,None,None,None,None,None,None,None,None,-871566000,None,None,TWD
849436459000,136608438000,-836366000000,None,None,-55748914000,None,None,None,422394869000,265786399000,265786399000,None,2021-12-31,663126314000,1112160722000,None,None,None,None,None,None,None,None,None,0,None,None,TWD
521474525000,-88615087000,-505781714000,None,None,-54372211000,None,None,None,331724691000,259303805000,259303805000,None,2020-12-31,584777180000,822666212000,None,None,None,None,None,None,None,None,None,-7269000,None,None,TWD
469752019000,-269638166000,-458801647000,0,0,20249780000,None,None,0,286884241000,259303805000,259303805000,None,2019-12-31,389845336000,615138744000,None,None,None,None,None,None,None,None,None,-4006000,None,None,TWD
322682187000,-245124791000,-314268908000,0,0,-29369975000,None,None,0,292546302000,207443044000,207443044000,None,2018-12-31,397510263000,573954308000,None,None,None,None,None,None,None,None,None,0,None,None,TWD
335888470000,-215697629000,-336164903000,0,0,-25229101000,None,None,0,260142698000,181512663000,181512663000,None,2017-12-31,396133030000,585318167000,None,None,None,None,None,None,None,None,None,0,None,None,TWD
333093675000,-157800197000,-395439680000,0,0,18370037000,None,None,0,223828404000,155582283000,155582283000,None,2016-12-31,385959380000,539834592000,None,None,None,None,None,None,None,None,None,0,None,None,TWD
261800705000,-116734029000,-217245837000,0,0,-655249000,None,None,0,222505569000,116683481000,116683481000,None,2015-12-31,350428911000,529879438000,None,None,None,None,None,None,None,None,None,33891000,None,None,TWD
292399514000,-32328284000,-282420557000,None,None,-28871597000,None,None,None,200251535000,77785851000,77785851000,None,2014-12-31,302097546000,421523731000,None,None,None,None,None,None,None,None,None,47000000,None,None,TWD
290345134000,32105925000,-281054215000,None,None,122472000,None,None,None,156181869000,77773307000,77773307000,None,2013-12-31,215487122000,347383537000,None,None,None,None,None,None,None,None,None,124600000,None,None,TWD
246137361000,-13810901000,-273196262000,None,None,-12989916000,None,None,None,131349289000,77748668000,77748668000,None,2012-12-31,165963689000,289063801000,None,None,None,None,None,None,None,None,None,None,None,None,TWD
213962521000,-67858041000,-182523425000,None,None,2611297000,None,None,None,107681521000,77730236000,77730236000,None,2011-12-31,134201300000,247587051000,None,None,None,None,None,None,None,None,None,-71600000,None,None,TWD
188745931000,-48637706000,-202086182000,None,None,-7492233000,None,None,None,87810103000,77708120000,77708120000,None,2010-12-31,161605009000,229475766000,None,None,None,None,None,None,None,None,None,None,None,None,TWD
87784906000,-85471124000,-96468483000,None,None,-6037106000,None,None,None,80814748000,76876312000,76876312000,None,2009-12-31,89217836000,159966465000,None,None,None,None,None,None,None,None,None,None,None,None,TWD
59385055000,-115708550000,-8064515000,None,None,9010577000,None,None,None,81735753000,76989022000,76989022000,None,2008-12-31,100206942000,222097740000,None,None,None,None,None,None,None,None,None,-33572036000,None,None,TWD
84004667000,-135418689000,-70691442000,None,None,-2224817000,None,None,None,79892324000,77391837000,77391837000,None,2007-12-31,109181419000,183777641000,None,None,None,None,None,None,None,None,None,-45404422000,None,None,TWD
78725287520,-63775303284,-119704145792,None,None,-3701652592,None,None,None,73707202140,61732225665,61732225665,None,2006-12-31,126990145084,204965978294,None,None,None,None,None,None,None,None,None,None,None,None,TWD
80117725000,-58142160000,-77671838000,None,None,-2012200000,None,None,None,75997038000,46558715000,46558715000,None,2005-12-31,93855040000,157482977000,None,None,None,None,None,None,None,None,None,None,None,None,TWD
