comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,1269954000000,1269954000000,None,662796000000,1322053000000,1984849000000,2024-12-31,1624354000000,1405839000000,248316100000,None,10495400000,87213400000,None,1158380200000,1172432000000,76718000000,None,302301000000,1322053000000,None,TWD,204182000000,83745000000,2894308000000
None,986625000000,986625000000,None,532190900000,991315900000,1523506800000,2023-12-31,1175111000000,979171000000,128288800000,None,11999400000,60293900000,None,851740000000,851027700000,48294500000,None,253645000000,921466000000,None,TWD,182370000000,60872800000,2161736000000
None,915536500000,915536500000,None,437254300000,1155822200000,1593076500000,2022-12-31,1348354800000,1144072200000,150777500000,None,11750000000,22422209000,None,992923400000,1016922033000,10672225000,None,227075900000,1121278900000,None,TWD,163262200000,53524800000,2263891300000
None,767877700000,767877700000,None,422394900000,668450200000,1090845100000,2021-12-31,819537300000,663036000000,70155400000,None,5414200000,5897000000,None,592359200000,597073134000,294000000,None,169556400000,649980900000,None,TWD,124734800000,36929600000,1587415000000
None,628124700000,628124700000,None,331724600000,586827800000,918552400000,2020-12-31,711130100000,584746300000,73738300000,None,2081500000,10530000000,None,510744000000,518158082000,6936945000,None,144346400000,566783700000,None,TWD,109486000000,28457600000,1339254800000
None,577283500000,577283500000,None,286884200000,393113000000,679997200000,2019-12-31,492701900000,389862100000,35835100000,None,3250900000,16485488000,None,353948000000,354027000000,12938500000,None,120000800000,372701100000,0,TWD,91418700000,21737200000,1069985400000
None,533487500000,533487500000,None,292546300000,400594300000,693140600000,2018-12-31,497874300000,397543100000,34436900000,None,3051200000,14012124000,None,363052700000,363106200000,11643300000,None,114250800000,383623500000,0,TWD,85895600000,20265900000,1031361800000
None,482616200000,482616200000,None,260142700000,399492200000,659634900000,2017-12-31,494826400000,396161900000,51122900000,None,3330300000,10200639000,None,344998300000,345039000000,6134400000,None,109267200000,385559200000,0,TWD,80732500000,21196700000,977442600000
None,473077100000,473077100000,None,223828400000,389227800000,613056200000,2016-12-31,474832100000,385921700000,54124400000,None,3306100000,8025592000,None,331713700000,331797300000,3011400000,None,96874300000,377957800000,0,TWD,71207700000,19795600000,947909200000
None,433117600000,433117600000,None,222505600000,353667900000,576173500000,2015-12-31,410394900000,350477600000,47644700000,None,3190300000,30630724000,None,302850900000,241.65,None,None,90347100000,320047800000,0,TWD,65544600000,17257200000,843512500000
None,385113000000,385113000000,None,200251500000,305309800000,505561300000,2014-12-31,377722000000,302073500000,47889900000,None,3236300000,None,None,254301400000,254183600000,None,None,81851700000,295870300000,None,TWD,56828800000,18933400000,762835000000
None,315642500000,315642500000,None,156181800000,218608300000,374790100000,2013-12-31,281360800000,215961500000,32111800000,None,2646800000,None,None,183977600000,183849700000,None,None,71291900000,210068900000,None,TWD,47952000000,18881800000,597003300000
None,262592500000,262592500000,None,131349300000,182681300000,314030600000,2012-12-31,244127800000,181661100000,22374700000,None,1020200000,None,None,159480800000,None,None,None,62965700000,181162100000,None,TWD,40387100000,17633000000,506720300000
None,232937400000,232937400000,None,107681500000,145774400000,253455900000,2011-12-31,194069200000,145147700000,10694400000,None,626700000,None,None,134201300000,None,None,None,52511800000,141557400000,None,TWD,33829900000,14164100000,427006600000
None,212484300000,212484300000,None,87810100000,170695800000,258505900000,2010-12-31,207053600000,170270400000,7988500000,None,425400000,None,None,161605000000,None,None,None,47878300000,159175300000,None,TWD,29706700000,12804000000,419537900000
None,166413600000,166413600000,None,80814700000,95854100000,176668800000,2009-12-31,129328600000,95462600000,5996400000,None,391500000,None,None,89217800000,None,None,None,37366700000,91961900000,None,TWD,21593400000,11285500000,295742200000
None,191408100000,191408100000,None,81512200000,112087200000,193599400000,2008-12-31,141749600000,111472200000,10949000000,None,615000000,None,None,99933200000,None,None,None,37314200000,104435400000,None,TWD,21480900000,11096600000,333157700000
None,180287987000,180287987000,None,79879351000,111759742000,191639093000,2007-12-31,142375295000,121651419000,11707855000,None,11769474817,None,None,109197635000,None,None,None,30647985000,111727310000,None,TWD,17934747000,2700000,322663282000
None,161588866000,161588866000,None,73707202000,127211723000,200918925000,2006-12-31,155756157000,133337697000,7787808000,None,7615107489,None,None,126983628000,None,None,None,28511849000,127244308000,None,TWD,16064390000,3400000,317345023000
None,148806171000,148806171000,None,75997038000,91240846000,167237884000,2005-12-31,118556640000,94545394000,632477000,None,4705613305,None,None,93855040000,None,None,None,27315827000,91240814000,None,TWD,14058436000,4400000,267362811000
