accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,25312000000,25312000000,9000000,929000000,68561000000,None,4545000000,48454000000,None,2024-12-31,106734000000,23268000000,23268000000,None,None,72359000000,None,52354000000,8212000000,27346000000,None,15939000000,10553000000,USD,96036000000,76904000000,4545000000,3801000000,298278000000,85779000000,103769000000,195687000000,212499000000,91918000000,92658000000,None
None,None,25427000000,25427000000,9000000,938000000,31958000000,None,4274000000,38970000000,None,2023-12-31,103732000000,15194000000,15194000000,-68598000000,None,58263000000,None,47609000000,9839000000,58429000000,None,14463000000,11450000000,USD,95774000000,67435000000,5312000000,4201000000,273720000000,78437000000,99054000000,174801000000,195283000000,80442000000,88756000000,None
None,None,23365000000,23365000000,9000000,950000000,56771000000,None,3110000000,17681000000,None,2022-12-31,93352000000,14401000000,14401000000,None,None,54513000000,None,43728000000,23477000000,26281000000,None,15608000000,10128000000,USD,86156000000,57623000000,3110000000,4546000000,245705000000,69069000000,89237000000,159358000000,176636000000,70121000000,77772000000,None
None,None,21375000000,21375000000,10000000,956000000,49126000000,None,3620000000,14216000000,None,2021-12-31,75795000000,10044000000,10044000000,None,None,42383000000,None,43114000000,23635000000,22975000000,None,15052000000,8969000000,USD,77134000000,46003000000,3620000000,2532000000,212206000000,61758000000,78292000000,135727000000,150448000000,57435000000,71760000000,None
None,None,16921000000,16921000000,10000000,961000000,44367000000,None,4819000000,12870000000,None,2020-12-31,71337000000,10856000000,10856000000,None,None,38648000000,None,41242000000,21067000000,20392000000,None,12315000000,8626000000,USD,69295000000,43467000000,4819000000,2860000000,197289000000,53718000000,72420000000,126750000000,143571000000,54330000000,65491000000,None
None,None,10985000000,10985000000,9000000,966000000,40695000000,None,3870000000,11822000000,None,2019-12-31,65659000000,10349000000,10349000000,None,None,36808000000,None,37209000000,16567000000,14595000000,None,10144000000,8704000000,USD,61178000000,40678000000,3870000000,3260000000,173889000000,42634000000,61782000000,111727000000,131255000000,49945000000,60436000000,None
None,None,10866000000,10866000000,10000000,983000000,36596000000,None,1973000000,11388000000,None,2018-12-31,58910000000,9325000000,9325000000,None,None,34581000000,None,32510000000,12980000000,12244000000,None,5730000000,8458000000,USD,55846000000,36554000000,1973000000,3458000000,152221000000,38692000000,53209000000,95994000000,113529000000,42785000000,51696000000,None
None,None,11981000000,11981000000,10000000,985000000,33051000000,None,2857000000,9568000000,None,2017-12-31,54556000000,8489000000,8489000000,0,None,28835000000,None,28341000000,12026000000,12286000000,None,5556000000,7013000000,USD,48730000000,31692000000,2857000000,3509000000,139057000000,37084000000,50463000000,87035000000,101973000000,36572000000,49833000000,0
None,None,10430000000,10430000000,10000000,968000000,29752000000,None,7193000000,8152000000,None,2016-12-31,47584000000,8541000000,8541000000,0,None,25777000000,None,23868000000,12321000000,10302000000,None,4831000000,5901000000,USD,40945000000,32970000000,7193000000,2845000000,122679000000,33748000000,49215000000,82270000000,88931000000,33055000000,38397000000,0
None,None,10923000000,10923000000,10000000,967000000,26324000000,None,2647000000,6523000000,None,2015-12-31,44453000000,8391000000,8391000000,0,None,25460000000,None,18792000000,12205000000,7798000000,None,3977000000,4861000000,USD,37125000000,32094000000,6634000000,1988000000,111383000000,31639000000,42898000000,75922000000,79744000000,33024000000,33725000000,0
None,None,7495000000,7495000000,10000000,986000000,21287000000,None,1078000000,4252000000,None,2014-12-31,32940000000,3669000000,3669000000,0,None,16007000000,None,18827000000,10068000000,5965000000,None,3845000000,4418000000,USD,33836000000,17406000000,1399000000,1741000000,86382000000,23556000000,30623000000,52540000000,62826000000,21917000000,32454000000,0
None,None,7276000000,7276000000,10000000,1023000000,19033000000,None,None,3052000000,None,2013-12-31,31604000000,3844000000,3844000000,0,None,14891000000,None,19605000000,8115000000,5279000000,None,3990000000,4010000000,USD,33047000000,16860000000,1969000000,1937000000,81882000000,20380000000,27881000000,48558000000,61502000000,20677000000,32149000000,0
None,None,8406000000,8406000000,10000000,1046000000,17988000000,None,None,5598000000,None,2012-12-31,31286000000,4682000000,4682000000,0,None,14041000000,None,17711000000,4017000000,4910000000,None,3979000000,3939000000,USD,30664000000,16754000000,2713000000,3031000000,80885000000,21052000000,27116000000,47586000000,59833000000,20470000000,31178000000,0
None,None,9429000000,9429000000,10000000,1087000000,16652000000,None,None,4549000000,None,2011-12-31,23975000000,2795000000,2795000000,1087000000,None,10656000000,None,16166000000,2708000000,5063000000,None,2445000000,2515000000,USD,27821000000,11638000000,982000000,2577000000,67889000000,20350000000,23922000000,39597000000,47539000000,15675000000,28292000000,0
None,None,9123000000,9123000000,11000000,1131000000,9220000000,None,None,3704000000,None,2010-12-31,22745000000,2910000000,2910000000,944000000,None,8662000000,None,14707000000,2550000000,10467000000,None,4876000000,2200000000,USD,25562000000,11142000000,2480000000,2072000000,63063000000,18393000000,23700000000,37238000000,44670000000,13538000000,25825000000,0
None,None,9800000000,9800000000,11000000,1179000000,9362000000,None,None,3792000000,None,2009-12-31,20727000000,3575000000,3575000000,-11039000000,None,9009000000,None,13311000000,3369000000,8571000000,None,4267000000,2140000000,USD,23342000000,13498000000,2164000000,1239000000,59045000000,18200000000,21314000000,35439000000,40845000000,13276000000,23606000000,0
None,None,7426000000,7426000000,12000000,1241000000,8664000000,None,None,3644000000,None,2008-12-31,20088000000,2329000000,2329000000,938000000,None,11338000000,None,None,2199000000,10070000000,None,None,2181000000,USD,20782000000,12794000000,1456000000,783000000,55815000000,14990000000,20190000000,35035000000,40825000000,15274000000,20780000000,None
None,None,8865000000,8865000000,13000000,1361000000,8331000000,None,None,2900000000,None,2007-12-31,16854000000,1737000000,1737000000,386000000,None,9063000000,None,None,3025000000,8215000000,None,None,2121000000,USD,18929000000,11009000000,1946000000,754000000,50899000000,15544000000,18492000000,30836000000,35355000000,12344000000,20063000000,None
None,None,10320000000,10320000000,13000000,1402000000,8076000000,None,None,1323000000,None,2006-12-31,16822000000,1904000000,1904000000,561000000,None,5973000000,None,None,3220000000,5225000000,None,None,1894000000,USD,14376000000,7456000000,1483000000,620000000,48320000000,16044000000,18497000000,27510000000,32276000000,9013000000,20810000000,None
None,None,5421000000,5421000000,14000000,1333000000,7262000000,None,None,1207000000,None,2005-12-31,16206000000,2020000000,2020000000,645000000,None,3850000000,None,None,2777000000,2820000000,None,None,1647000000,USD,10258000000,7111000000,3261000000,590000000,41374000000,10640000000,16644000000,23641000000,30734000000,6997000000,17733000000,None
