capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3499000000,-3512000000,-20527000000,None,None,None,None,None,None,4099000000,7533000000,7533000000,None,2024-12-31,15242000000,24204000000,None,None,None,None,None,None,None,None,None,-9000000000,None,None,USD
3386000000,-11529000000,-15574000000,None,None,1038000000,None,None,None,3972000000,6761000000,6761000000,None,2023-12-31,22381000000,29068000000,None,None,None,None,None,None,None,None,None,-8000000000,None,None,USD
2802000000,4226000000,-28476000000,1956000000,None,None,None,None,-2523000000,3400000000,5991000000,5991000000,None,2022-12-31,20639000000,26206000000,None,None,None,None,None,None,None,None,None,-7000000000,None,None,USD
2454000000,-7455000000,-10372000000,-40232000000,-62000000,-1031000000,None,None,1000000000,3103000000,5280000000,5280000000,None,2021-12-31,17732000000,22343000000,None,None,None,None,None,None,None,None,None,-5000000000,None,None,USD
2051000000,-3590000000,-12532000000,5936000000,-116000000,-2195000000,None,None,-688000000,2891000000,4584000000,4584000000,None,2020-12-31,15769000000,22174000000,None,None,None,None,None,None,None,None,None,-4250000000,None,None,USD
2071000000,-5625000000,-12699000000,119000000,-20000000,-1563000000,None,None,162000000,2720000000,3932000000,3932000000,None,2019-12-31,14239000000,18463000000,None,None,None,None,None,None,None,None,None,-5500000000,None,None,USD
2063000000,-4365000000,-12385000000,-1115000000,-78000000,-750000000,None,None,-1351000000,2428000000,3320000000,3320000000,None,2018-12-31,11986000000,15713000000,None,None,None,None,None,None,None,None,None,-4500000000,None,None,USD
2023000000,-3441000000,-8599000000,1551000000,-5000000,-630000000,None,None,-1062000000,2245000000,2773000000,2773000000,None,2017-12-31,10558000000,13596000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,USD
1705000000,-1011000000,-9355000000,-493000000,78000000,-1821000000,None,None,-1357000000,2055000000,2261000000,2261000000,None,2016-12-31,7017000000,9795000000,None,None,None,None,None,None,None,None,None,-1280000000,None,None,USD
1556000000,12239000000,-18395000000,3428000000,-156000000,-793000000,None,None,-591000000,1693000000,1786000000,1786000000,None,2015-12-31,5813000000,9740000000,None,None,None,None,None,None,None,None,None,-1200000000,None,None,USD
1447000000,-5293000000,-2534000000,219000000,-5000000,-595000000,None,None,-911000000,1478000000,1362000000,1362000000,None,2014-12-31,5619000000,8051000000,None,None,None,None,None,None,None,None,None,-4008000000,None,None,USD
1161000000,-4946000000,-3089000000,-1130000000,-86000000,-1059000000,None,None,-317000000,1375000000,1056000000,1056000000,None,2013-12-31,5625000000,6991000000,None,None,None,None,None,None,None,None,None,-3170000000,None,None,USD
1070000000,471000000,-8649000000,-1023000000,None,-304000000,None,None,-130000000,1309000000,820000000,820000000,None,2012-12-31,5526000000,7155000000,None,None,None,None,None,None,None,None,None,-3084000000,None,None,USD
1018000000,-2490000000,-4172000000,306000000,None,174000000,None,None,-267000000,1124000000,651000000,651000000,None,2011-12-31,5142000000,6968000000,None,None,None,None,None,None,None,None,None,-2994000000,None,None,USD
878000000,-1611000000,-5339000000,-677000000,None,362000000,None,None,-16000000,1064000000,449000000,449000000,None,2010-12-31,4634000000,6273000000,None,None,None,None,None,None,None,None,None,-2517000000,None,None,USD
739000000,-2275000000,-976000000,2374000000,None,98000000,None,None,100000000,991000000,36000000,36000000,None,2009-12-31,3822000000,5625000000,None,None,None,None,None,None,None,None,None,-1801000000,None,None,USD
791000000,-605000000,-5072000000,None,None,741000000,None,None,None,981000000,37000000,37000000,None,2008-12-31,2977000000,4238000000,None,None,None,None,None,None,None,None,None,-2684000000,None,None,USD
871000000,-3185000000,-4147000000,None,None,-123000000,None,None,None,796000000,40000000,40000000,None,2007-12-31,4654000000,5877000000,None,None,None,None,None,None,None,None,None,-6599000000,None,None,USD
728000000,474000000,-2101000000,None,None,3827000000,None,None,None,670000000,41000000,41000000,None,2006-12-31,4159000000,6526000000,None,None,None,None,None,None,None,None,None,-2345000000,None,None,USD
509000000,593000000,-3489000000,None,None,6300000000,None,None,None,453000000,19000000,19000000,None,2005-12-31,3300000000,4326000000,None,None,None,None,None,None,None,None,None,-2557000000,None,None,USD
