comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,310879000000,310879000000,None,4099000000,23977000000,28076000000,2024-12-31,89399000000,20071000000,4829000000,None,3906000000,3906000000,None,14405000000,15242000000,-3906000000,None,57112000000,32287000000,None,USD,None,53013000000,400278000000
None,280664000000,280664000000,None,3972000000,32358000000,36330000000,2023-12-31,90958000000,29112000000,5968000000,None,3246000000,3246000000,None,22381000000,23144000000,-3246000000,None,58600000000,32358000000,None,USD,None,54628000000,371622000000
None,244545000000,244545000000,None,3400000000,28435000000,31835000000,2022-12-31,79617000000,26343000000,5704000000,None,2092000000,2092000000,None,20120000000,20639000000,-2092000000,None,51182000000,28435000000,None,USD,None,47782000000,324162000000
None,217945000000,217945000000,None,3103000000,23970000000,27073000000,2021-12-31,69652000000,22310000000,4578000000,None,1660000000,1660000000,None,17285000000,17732000000,-1660000000,None,45682000000,23970000000,None,USD,None,42579000000,287597000000
None,190141000000,190141000000,None,2891000000,22405000000,25296000000,2020-12-31,67000000000,20742000000,4973000000,None,1663000000,1663000000,None,15403000000,15769000000,-1663000000,None,44595000000,22405000000,None,USD,None,41704000000,257141000000
None,184557000000,184557000000,None,2720000000,19685000000,22405000000,2019-12-31,57598000000,17981000000,3742000000,None,1704000000,1704000000,None,13839000000,14239000000,-1704000000,None,37913000000,19685000000,None,USD,None,35193000000,242155000000
None,172401000000,172401000000,None,2428000000,17344000000,19772000000,2018-12-31,53846000000,15944000000,3562000000,None,1400000000,1400000000,None,11986000000,12382000000,-1400000000,None,36502000000,17344000000,None,USD,0,34074000000,226247000000
None,154148000000,154148000000,None,2245000000,15209000000,17454000000,2017-12-31,47011000000,14023000000,3200000000,None,1186000000,1186000000,None,10558000000,10823000000,-1186000000,None,31802000000,15209000000,None,USD,0,29557000000,201159000000
None,141454000000,141454000000,None,2055000000,12930000000,14985000000,2016-12-31,43374000000,11863000000,4790000000,None,1067000000,1067000000,None,7017000000,7073000000,-1067000000,None,30094000000,12930000000,None,USD,0,28401000000,184828000000
None,120081000000,120081000000,None,1693000000,11021000000,12714000000,2015-12-31,37026000000,10231000000,4363000000,None,790000000,790000000,None,5813000000,5868000000,None,None,26005000000,11021000000,None,USD,0,24312000000,157107000000
None,97041000000,97041000000,None,1478000000,10274000000,11752000000,2014-12-31,33433000000,9656000000,4037000000,None,618000000,None,None,5619000000,5619000000,None,None,23159000000,10274000000,None,USD,0,21681000000,130474000000
None,92129000000,92129000000,None,1375000000,9623000000,10998000000,2013-12-31,30360000000,8915000000,3242000000,None,708000000,None,None,5625000000,5673000000,None,None,20737000000,9623000000,None,USD,0,19362000000,122489000000
None,82749000000,82749000000,None,1309000000,9254000000,10563000000,2012-12-31,27869000000,8622000000,3096000000,None,632000000,None,None,5526000000,5526000000,None,None,18615000000,9254000000,None,USD,0,17306000000,110618000000
None,92274000000,92274000000,None,1124000000,8464000000,9588000000,2011-12-31,9588000000,7959000000,2817000000,None,505000000,None,None,5142000000,5142000000,None,None,1124000000,8464000000,None,USD,0,15557000000,101862000000
None,85227000000,85227000000,None,1064000000,7864000000,8928000000,2010-12-31,8928000000,7383000000,2749000000,None,481000000,None,None,4634000000,4634000000,None,None,1064000000,7864000000,None,USD,0,14270000000,94155000000
None,79788000000,79788000000,None,991000000,6359000000,7350000000,2009-12-31,7350000000,5808000000,1986000000,None,551000000,None,None,3822000000,3822000000,None,None,991000000,6359000000,None,USD,0,12734000000,87138000000
None,61839000000,61839000000,None,981000000,5263000000,6244000000,2008-12-31,19347000000,4624000000,1647000000,None,639000000,None,None,2977000000,None,None,None,14084000000,5263000000,None,USD,None,13103000000,81186000000
None,56203000000,56203000000,None,796000000,7849000000,8645000000,2007-12-31,19228000000,7305000000,2651000000,None,544000000,None,None,4654000000,None,None,None,11379000000,7849000000,None,USD,None,10583000000,75431000000
None,53907000000,53907000000,None,670000000,6984000000,7654000000,2006-12-31,16764000000,6528000000,2369000000,None,456000000,None,None,4159000000,None,None,None,10651000000,6984000000,None,USD,None,9981000000,71542000000
None,32725000000,32725000000,None,453000000,5080000000,5533000000,2005-12-31,12141000000,4839000000,1756000000,None,241000000,None,None,3083000000,None,None,None,7267000000,5080000000,None,USD,None,6814000000,46433000000
