accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,11975000000,11975000000,186800,2029000000,479000000,None,None,7015000000,None,2024-09-30,18941000000,26889000000,26889000000,None,None,20836000000,None,2545000000,11843000000,26038000000,None,2720000000,4697000000,USD,17289000000,20836000000,0,3200000000,94511000000,34033000000,26517000000,55374000000,60478000000,28857000000,39137000000,None
None,None,16286000000,16286000000,22150000000,2085000000,375000000,None,None,4474000000,None,2023-09-30,17997000000,26104000000,26104000000,4769000000,None,20463000000,None,1921000000,8930000000,21223000000,None,3091000000,2116000000,USD,18040000000,20981000000,106000000,3842000000,90499000000,33532000000,23098000000,51766000000,56967000000,28668000000,38733000000,None
None,None,15689000000,15689000000,21869000000,2136000000,340000000,None,2250000000,3952000000,None,2022-09-30,17787000000,25065000000,25065000000,6459000000,None,20200000000,None,2136000000,7731000000,17898000000,None,3535000000,3223000000,USD,16116000000,22450000000,2250000000,2833000000,85501000000,30205000000,20853000000,49920000000,55296000000,29067000000,35581000000,None
None,None,16487000000,16487000000,21935000000,2188000000,266000000,None,999000000,3726000000,None,2021-09-30,15958000000,27664000000,27664000000,4010000000,None,19978000000,None,1705000000,5369000000,14149000000,None,3462000000,2715000000,USD,15351000000,20977000000,999000000,2025000000,82896000000,27607000000,15739000000,45307000000,55289000000,29568000000,37589000000,None
None,None,16289000000,16289000000,194000,2223000000,174000000,None,2999000000,2882000000,None,2020-09-30,15910000000,27808000000,27808000000,3508000000,None,21071000000,None,231000000,4722000000,11095000000,None,3891000000,2737000000,USD,14088000000,24640000000,3107000000,3752000000,80919000000,27645000000,14510000000,44709000000,53274000000,30199000000,36210000000,None
None,None,7838000000,7838000000,198000,2272000000,156000000,None,None,4590000000,None,2019-09-30,15656000000,26780000000,26780000000,3565000000,None,16729000000,None,2157000000,741000000,13259000000,None,2939000000,2695000000,USD,13502000000,20719000000,3990000000,4236000000,72574000000,20970000000,13415000000,37890000000,51604000000,24475000000,34684000000,None
None,None,8162000000,8162000000,0,2329000000,183000000,None,None,2790000000,None,2018-09-30,15194000000,27558000000,27558000000,3377000000,None,16630000000,None,4082000000,340000000,11122000000,None,2666000000,2472000000,USD,11318000000,18798000000,2168000000,3547000000,69225000000,18216000000,11305000000,35219000000,51009000000,23914000000,34006000000,0
None,None,9874000000,9874000000,0,2395000000,179000000,None,1749000000,2554000000,None,2017-09-30,15110000000,27848000000,27848000000,2687000000,None,16618000000,None,1926000000,3031000000,7823000000,None,2625000000,2253000000,USD,9508000000,18367000000,1749000000,3564000000,67977000000,19023000000,9994000000,35217000000,48954000000,25223000000,32760000000,0
None,None,5619000000,5619000000,0,2414000000,203000000,None,15882000000,2740000000,None,2016-09-30,15066000000,27234000000,27234000000,2351000000,None,15882000000,None,3931000000,284000000,7843000000,None,2387000000,2150000000,USD,10462000000,17966000000,2084000000,3319000000,64035000000,14313000000,8046000000,31123000000,49722000000,23077000000,32912000000,-170000000
None,None,3518000000,3518000000,0,2457000000,127000000,None,780000000,1332000000,None,2015-09-30,11825000000,11361000000,11361000000,3242000000,None,0,None,3384000000,137000000,5091000000,None,897000000,1888000000,USD,11843000000,None,3094000000,2497000000,39367000000,10021000000,5374000000,10394000000,29344000000,5020000000,29842000000,0
None,None,1971000000,1971000000,0,2524000000,147000000,None,1332000000,1699000000,None,2014-09-30,11753000000,11411000000,11411000000,3703000000,None,0,None,3015000000,3913000000,5704000000,None,1005000000,1892000000,USD,9131000000,None,3780000000,1979000000,38569000000,9562000000,6006000000,11156000000,29007000000,5150000000,27413000000,0
None,None,2186000000,2186000000,0,2624000000,184000000,None,None,1702000000,None,2013-09-30,11681000000,11351000000,11351000000,1583000000,None,0,None,2760000000,1865000000,4027000000,None,602000000,1732000000,USD,7974000000,None,2306000000,2069000000,35956000000,7822000000,4335000000,9086000000,28134000000,4751000000,26870000000,0
None,None,2074000000,2074000000,0,3856000000,152000000,None,None,1356000000,None,2012-09-30,11681000000,11420000000,11420000000,6581000000,None,0,None,3283000000,69000000,7685000000,None,371000000,1634000000,USD,7809000000,None,6090000000,743000000,40013000000,11786000000,7954000000,12383000000,28227000000,4429000000,27630000000,0
None,None,2127000000,2127000000,0,4088000000,169000000,None,None,1084000000,None,2011-09-30,11668000000,11436000000,11436000000,3611000000,None,0,None,711000000,96000000,3156000000,None,667000000,1541000000,USD,6706000000,None,1760000000,1271000000,34760000000,9190000000,3451000000,8323000000,25570000000,4872000000,26437000000,-26437000000
None,None,3867000000,3867000000,0,4384000000,137000000,None,None,1018000000,None,2010-09-30,11447000000,11478000000,11478000000,2731000000,None,32000000,None,24000000,242000000,3267000000,None,683000000,1357000000,USD,4368000000,44000000,12000000,184000000,33408000000,8734000000,3498000000,8394000000,24674000000,4896000000,25011000000,-25014000000
None,None,4617000000,4617000000,0,3032000000,156000000,None,None,1184000000,None,2009-09-30,10208000000,10883000000,10883000000,2434000000,None,44000000,None,168000000,366000000,3908000000,None,795000000,1204000000,USD,2219000000,56000000,12000000,115000000,32281000000,9241000000,4442000000,9088000000,23040000000,4646000000,23189000000,-2000000
None,None,4979000000,4979000000,1136000000,3076000000,159000000,None,None,1473000000,None,2008-09-30,10213000000,10883000000,10883000000,3432000000,None,55000000,None,None,4367000000,6796000000,None,None,1080000000,USD,186000000,106000000,51000000,355000000,34981000000,11174000000,7165000000,13840000000,23807000000,6675000000,22277000000,-35000000
