capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1257000000,-20633000000,-1926000000,None,None,None,None,None,None,1034000000,4217000000,4217000000,None,2024-09-30,19743000000,19950000000,None,None,None,None,None,None,None,None,None,-16713000000,None,None,USD
1059000000,-17772000000,-2006000000,None,None,1208000000,None,None,None,943000000,3751000000,3751000000,None,2023-09-30,17273000000,20755000000,None,None,None,None,None,None,None,None,None,-12101000000,None,None,USD
970000000,-12696000000,-4288000000,1865000000,None,None,None,None,-494000000,861000000,3203000000,3203000000,None,2022-09-30,14957000000,18849000000,None,None,None,None,None,None,None,None,None,-11589000000,None,None,USD
705000000,-14410000000,-152000000,628000000,-37000000,1063000000,None,None,-811000000,804000000,2798000000,2798000000,None,2021-09-30,12311000000,15227000000,None,None,None,None,None,None,None,None,None,-8676000000,None,None,USD
736000000,-3968000000,1427000000,8339000000,440000000,-295000000,None,None,1815000000,767000000,2664000000,2664000000,None,2020-09-30,10866000000,10440000000,None,None,None,None,None,None,None,None,None,-8114000000,None,None,USD
756000000,-12061000000,-591000000,-145000000,-277000000,484000000,None,None,-1866000000,656000000,2269000000,2269000000,None,2019-09-30,12080000000,12784000000,None,None,None,None,None,None,None,None,None,-8607000000,None,None,USD
718000000,-11240000000,-3084000000,-1712000000,-101000000,2092000000,None,None,-293000000,613000000,1918000000,1918000000,None,2018-09-30,10301000000,12713000000,None,None,None,None,None,None,None,None,None,-7192000000,None,None,USD
707000000,-5924000000,735000000,4255000000,236000000,132000000,None,None,40000000,556000000,1579000000,1579000000,None,2017-09-30,6699000000,9208000000,None,None,None,None,None,None,None,None,None,-6891000000,None,None,USD
523000000,7477000000,-10916000000,2101000000,-34000000,4000000,None,None,326000000,502000000,1350000000,1350000000,None,2016-09-30,5991000000,5574000000,None,None,None,None,None,None,None,None,None,-7157000000,None,None,USD
414000000,-3603000000,-1435000000,1547000000,1000000,-543000000,None,None,359000000,494000000,1177000000,1177000000,None,2015-09-30,6328000000,6584000000,None,None,None,None,None,None,None,None,None,-2910000000,None,None,USD
553000000,-6478000000,-941000000,-215000000,-1000000,1252000000,None,None,-40000000,435000000,1006000000,1006000000,None,2014-09-30,5438000000,7205000000,None,None,None,None,None,None,None,None,None,-4118000000,None,None,USD
471000000,-1746000000,-1164000000,112000000,None,-4027000000,None,None,-383000000,397000000,864000000,864000000,None,2013-09-30,4980000000,3022000000,None,None,None,None,None,None,None,None,None,-5365000000,None,None,USD
376000000,-2655000000,-2414000000,-53000000,7000000,-165000000,None,None,-203000000,333000000,595000000,595000000,None,2012-09-30,2144000000,5009000000,None,None,None,None,None,None,None,None,None,-710000000,None,None,USD
353000000,-3304000000,-2299000000,-1740000000,-9000000,-127000000,None,None,-83000000,288000000,423000000,423000000,None,2011-09-30,3650000000,3872000000,None,None,None,None,None,None,None,None,None,-2024000000,None,None,USD
241000000,-1542000000,-1904000000,-750000000,5000000,-921000000,None,None,196000000,265000000,368000000,368000000,None,2010-09-30,2966000000,2691000000,None,None,None,None,None,None,None,None,None,-1000000000,None,None,USD
306000000,-2751000000,1830000000,-362000000,1000000,-2021000000,None,None,424000000,226000000,318000000,318000000,None,2009-09-30,2353000000,558000000,None,None,None,None,None,None,None,None,None,-2646000000,None,None,USD
415000000,3624000000,554000000,None,None,-1765000000,None,None,None,237000000,93000000,93000000,None,2008-09-30,804000000,531000000,None,None,None,None,None,None,None,None,None,-13446000000,None,None,USD
159960000,-36651000,-463241000,None,None,-412248000,None,None,None,625693000,None,None,None,2007-09-30,-1076095000,505147000,None,None,None,None,None,None,None,None,None,None,None,None,USD
87265000,-36579000,-263202000,None,None,None,None,None,None,720206000,None,None,None,2006-09-30,454561000,434508000,None,None,None,None,None,None,None,None,None,None,None,None,USD
119267000,-45966000,-473131000,None,None,-147402000,None,None,None,135528000,None,None,None,2005-09-30,360445000,480629000,None,None,None,None,None,None,None,None,None,None,None,None,USD
