comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,7042000000,7042000000,None,1034000000,24557000000,25591000000,2024-09-30,28884000000,23916000000,4173000000,None,641000000,307000000,None,19743000000,19743000000,-641000000,None,5289000000,23595000000,None,USD,None,2233000000,35926000000
None,6567000000,6567000000,None,943000000,21681000000,22624000000,2023-09-30,26086000000,21037000000,3764000000,None,644000000,19000000,None,17273000000,17273000000,-644000000,None,5086000000,21000000000,None,USD,None,1875000000,32653000000
None,5733000000,5733000000,None,861000000,18674000000,19535000000,2022-09-30,23577000000,18136000000,3179000000,None,538000000,765000000,None,14957000000,14957000000,-538000000,None,4764000000,18813000000,-139000000,USD,None,1699000000,29310000000
None,4970000000,4970000000,None,804000000,16576000000,17380000000,2021-09-30,19135000000,16063000000,3752000000,None,513000000,218000000,None,12311000000,12311000000,-513000000,None,3331000000,15804000000,772000000,USD,None,1388000000,24105000000
None,4512000000,4512000000,None,767000000,14306000000,15073000000,2020-09-30,17334000000,13790000000,2924000000,None,516000000,516000000,None,10866000000,10866000000,-516000000,None,3253000000,14081000000,225000000,USD,None,1504000000,21846000000
None,4165000000,4165000000,None,656000000,15417000000,16073000000,2019-09-30,18812000000,14884000000,2804000000,None,533000000,533000000,None,12080000000,12080000000,-533000000,None,3811000000,15001000000,416000000,USD,None,1650000000,22977000000
None,3856000000,3856000000,None,613000000,13418000000,14031000000,2018-09-30,16753000000,12806000000,2505000000,None,612000000,612000000,None,10301000000,10301000000,-612000000,None,3799000000,12954000000,464000000,USD,None,1591000000,20609000000
None,3248000000,3248000000,None,556000000,12163000000,12719000000,2017-09-30,15110000000,11694000000,4995000000,None,563000000,563000000,None,6699000000,6699000000,-563000000,None,2966000000,12144000000,113000000,USD,285000000,1469000000,18358000000
None,2764000000,2764000000,None,502000000,8439000000,8941000000,2016-09-30,12318000000,8012000000,2021000000,None,427000000,427000000,None,5991000000,5991000000,-427000000,None,4435000000,7883000000,556000000,USD,259000000,1185000000,15082000000
None,2553000000,2553000000,None,494000000,8998000000,9492000000,2015-09-30,11327000000,8995000000,2667000000,None,3000000,None,None,6328000000,6328000000,None,None,2263000000,9064000000,-69000000,USD,None,883000000,13880000000
None,2382000000,2382000000,None,435000000,7732000000,8167000000,2014-09-30,10320000000,7724000000,2286000000,None,8000000,None,None,5438000000,5438000000,None,None,2623000000,7697000000,27000000,USD,None,835000000,12702000000
None,2400000000,2400000000,None,397000000,7242000000,7639000000,2013-09-30,9378000000,7257000000,2277000000,None,0,None,None,4980000000,4980000000,None,None,2139000000,7239000000,18000000,USD,None,863000000,11778000000
None,2140000000,2140000000,None,333000000,6239000000,6572000000,2012-09-30,8281000000,2207000000,65000000,None,29000000,None,None,2144000000,2142000000,None,None,6142000000,2139000000,39000000,USD,None,836000000,10421000000
None,1816000000,1816000000,None,288000000,5463000000,5751000000,2011-09-30,7372000000,5656000000,2010000000,None,32000000,None,None,3650000000,3646000000,None,None,1916000000,5456000000,232000000,USD,None,751000000,9188000000
None,1647000000,1647000000,None,265000000,4544000000,4809000000,2010-09-30,6418000000,4638000000,1674000000,None,72000000,None,None,2966000000,2964000000,None,None,1829000000,4589000000,121000000,USD,None,645000000,8065000000
None,1621000000,1621000000,None,226000000,4115000000,4341000000,2009-09-30,5290000000,4000000000,1648000000,None,115000000,None,None,2353000000,2352000000,None,None,1752000000,3538000000,577000000,USD,None,606000000,6911000000
None,1538000000,1538000000,None,237000000,1479000000,1716000000,2008-09-30,4725000000,1336000000,532000000,None,143000000,None,None,804000000,None,None,None,3493000000,1232000000,None,USD,None,770000000,6263000000
None,1087612000,1087612000,None,126000000,-1306760000,-1180760000,2007-09-30,2502184000,-1387418000,-315993000,None,80658000,None,None,-1076095000,None,None,None,3951679000,-1449495000,None,USD,None,717966000,3589796000
None,998686000,998686000,None,155000000,811355000,966355000,2006-09-30,1949440000,721816000,251338000,None,89539000,None,None,454561000,None,None,None,1219770000,729670000,None,USD,None,722947000,2948126000
None,957011000,957011000,None,135528000,564730000,700258000,2005-09-30,1707594000,456245000,183296000,None,108485000,None,None,264701000,None,None,None,1254672000,452922000,None,USD,None,665416000,2664605000
