accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,16000000,203361000000,203361000000,9136000000,3467600000,None,None,13571000000,42356000000,None,2024-12-31,25167000000,7779000000,7779000000,None,None,173062000000,None,480781000000,None,1371804000000,None,None,14147000000,USD,214198000000,281884000000,108806000000,160103000000,1929845000000,405820000000,1480610000000,1748779000000,1524025000000,268169000000,179120000000,None
None,19000000,237219000000,237219000000,9136000000,3720400000,None,None,11883000000,53724000000,None,2023-12-31,25175000000,8508000000,8508000000,-524614000000,None,207569000000,None,480202000000,470890000000,1358173000000,None,None,12678000000,USD,201136000000,297147000000,89559000000,125393000000,1932468000000,416336000000,1447732000000,1745025000000,1516132000000,297293000000,185735000000,None
None,22000000,159157000000,159157000000,9136000000,3837000000,69056000000,None,51145000000,14908000000,None,2022-12-31,25173000000,10480000000,10480000000,-369987000000,None,194955000000,None,116033000000,369987000000,-51145000000,None,None,8350000000,USD,187649000000,246100000000,51145000000,113594000000,1881016000000,287659000000,51145000000,1699141000000,605225000000,51145000000,179889000000,-82853000000
None,26000000,234230000000,234230000000,9136000000,4096200000,70957000000,None,34409000000,14859000000,None,2021-12-31,25180000000,8189000000,8189000000,-440907000000,None,170113000000,None,1193508000000,440907000000,-34409000000,None,None,8571000000,USD,180322000000,204522000000,34409000000,177244000000,1948068000000,426333000000,34409000000,1757958000000,652357000000,163476000000,187606000000,-79757000000
None,28000000,264612000000,264612000000,9136000000,4134200000,1404381000000,None,58999000000,58824000000,None,2020-12-31,26392000000,7765000000,7765000000,-471575000000,None,212950000000,None,563467000000,471575000000,1478741000000,None,None,20601000000,USD,162683000000,271949000000,58999000000,220392000000,1952911000000,543828000000,1537740000000,1767199000000,1409083000000,229459000000,184680000000,-67791000000
None,32000000,141250000000,141250000000,9136000000,4425400000,75163000000,None,12109000000,19831000000,None,2019-12-31,26390000000,12947000000,12947000000,-385842000000,None,237270000000,None,952714000000,385842000000,-104512000000,None,None,9309000000,USD,166697000000,341782000000,104512000000,263459000000,1927555000000,424540000000,104512000000,1739571000000,614012000000,228191000000,187146000000,-68831000000
None,36000000,173287000000,173287000000,9136000000,4838400000,69317000000,None,13357000000,19696000000,None,2018-12-31,26418000000,16092000000,16092000000,-343641000000,None,237543000000,None,1453920000000,384006000000,-92430000000,None,None,8920000000,USD,158163000000,343330000000,105787000000,269912000000,1895883000000,238408000000,13357000000,1698817000000,600848000000,229044000000,196166000000,-47194000000
None,39000000,215947000000,215947000000,9136000000,5017300000,70615000000,None,14572000000,64200000000,None,2017-12-31,26587000000,16659000000,16659000000,-433935000000,None,233816000000,None,1117399000000,433935000000,-14572000000,None,None,8847000000,USD,145263000000,248388000000,14572000000,277085000000,1951757000000,90557000000,14572000000,1743678000000,598890000000,225020000000,206936000000,-29892000000
None,7000000,20729000000,20729000000,9136000000,5108300000,57189000000,None,18657000000,19289000000,None,2016-12-31,26693000000,14365000000,14365000000,-398733000000,None,269569000000,None,1096575000000,398733000000,-96781000000,None,None,8333000000,USD,133075000000,366350000000,96781000000,308364000000,1930115000000,46436000000,96781000000,1729618000000,531735000000,255077000000,199581000000,-22713000000
None,None,19111000000,19111000000,9136000000,5209800000,73365000000,None,310984000000,43683000000,None,2015-12-31,25529000000,16876000000,16876000000,1425000000,None,199536000000,None,1004814000000,954085000000,1282757000000,None,None,8704000000,USD,120866000000,297064000000,97528000000,4218000000,1787632000000,67012000000,1380285000000,1593741000000,1720620000000,213456000000,192998000000,-18867000000
