capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
0,-21534000000,-15651000000,None,None,None,None,None,None,7558000000,6232000000,6232000000,None,2024-12-31,19965000000,3035000000,None,None,None,None,None,None,None,None,None,-22288000000,None,None,USD
0,20494000000,16043000000,None,None,None,None,None,None,6271000000,5930000000,5930000000,None,2023-12-31,19142000000,40358000000,None,None,None,None,None,None,None,None,None,-13576000000,None,None,USD
0,-59645000000,-42476000000,-75073000000,None,None,None,None,None,6832000000,5293000000,5293000000,None,2022-12-31,12882000000,27048000000,None,None,None,None,None,None,None,None,None,-6033000000,None,None,USD
0,-11238000000,-7619000000,-30382000000,None,None,None,None,None,7890000000,3627000000,3627000000,None,2021-12-31,23238000000,-11525000000,None,None,None,None,None,None,None,None,None,-21139000000,None,None,USD
0,-1243000000,122554000000,None,None,None,None,None,None,8736000000,6142000000,6142000000,None,2020-12-31,3586000000,2051000000,None,None,None,None,None,None,None,None,None,-7017000000,None,None,USD
513000000,-9136000000,-29631000000,-32037000000,None,None,None,None,None,6573000000,9589000000,9589000000,None,2019-12-31,20206000000,6730000000,None,None,None,None,None,None,None,None,None,-26083000000,None,None,USD
5288000000,-70979000000,-7754000000,-42660000000,None,None,None,None,None,5593000000,9314000000,9314000000,None,2018-12-31,22876000000,36073000000,None,None,None,None,None,None,None,None,None,-22783000000,None,None,USD
13809000000,-10920000000,-13152000000,2638000000,None,0,None,None,None,5406000000,9109000000,9109000000,None,2017-12-31,22460000000,18619000000,None,None,None,None,None,None,None,None,None,-9908000000,None,None,USD
32070000000,122791000000,-141919000000,1618000000,None,0,None,None,None,4970000000,9038000000,9038000000,None,2016-12-31,22045000000,1008000000,None,None,None,None,None,None,None,None,None,-8116000000,None,None,USD
135000000,90871000000,-107235000000,-460000000,None,-10993000000,None,None,-623000000,3288000000,8826000000,8826000000,None,2015-12-31,23276000000,15904000000,None,None,None,None,None,None,None,None,None,-8697000000,None,None,USD
91781000000,110503000000,-128380000000,-348000000,None,7221000000,None,None,-372000000,2515000000,8143000000,8143000000,None,2014-12-31,23608000000,17529000000,None,None,None,None,None,None,None,None,None,-9414000000,None,None,USD
11021000000,93910000000,-153492000000,-1941000000,None,2525000000,None,None,-13000000,3293000000,6970000000,6970000000,None,2013-12-31,22224000000,57641000000,None,None,None,None,None,None,None,None,None,-5356000000,None,None,USD
144070000000,83770000000,-139890000000,2420000000,None,-11186000000,None,None,293000000,2807000000,5457000000,5457000000,None,2012-12-31,19368000000,58540000000,None,None,None,None,None,None,None,None,None,-3918000000,None,None,USD
521000000,24775000000,-35044000000,None,None,3573000000,None,None,None,2208000000,3381000000,3381000000,None,2011-12-31,16211000000,13665000000,None,None,None,None,None,None,None,None,None,-2416000000,None,None,USD
14939000000,-26133000000,-3675000000,-11036000000,None,4287000000,None,None,1051000000,1924000000,1782000000,1782000000,None,2010-12-31,12663000000,18772000000,None,None,None,None,None,None,None,None,None,-91000000,None,None,USD
68054000000,-97081000000,71785000000,None,None,9453000000,None,None,None,2841000000,4303000000,4303000000,None,2009-12-31,12667000000,28613000000,None,None,None,None,None,None,None,None,None,-25220000000,None,None,USD
5418000000,32008000000,-18161000000,None,None,-1777000000,None,None,None,1669000000,4312000000,4312000000,None,2008-12-31,2698000000,-4788000000,None,None,None,None,None,None,None,None,None,-1623000000,None,None,USD
53967000000,67966000000,-77347000000,None,None,-253000000,None,None,None,1532000000,3955000000,3955000000,None,2007-12-31,8265000000,9286000000,None,None,None,None,None,None,None,None,None,-7418000000,None,None,USD
8495000000,-11763000000,-16582000000,None,None,484000000,None,None,None,3221000000,3641000000,3641000000,None,2006-12-31,8420000000,27976000000,None,None,None,None,None,None,None,None,None,-1965000000,None,None,USD
0,41896000000,-27417000000,None,None,None,None,None,None,4161000000,3375000000,3375000000,None,2005-12-31,7671000000,-11985000000,None,None,None,None,None,None,None,None,None,-3159000000,None,None,USD
