comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,47435000000,47435000000,None,7558000000,23364000000,30922000000,2024-12-31,77962000000,23364000000,3399000000,None,43101000000,90777000000,None,19722000000,19965000000,47676000000,None,54598000000,23364000000,None,USD,None,36362000000,125397000000
None,-5399000000,-5399000000,None,6271000000,21636000000,27907000000,2023-12-31,77198000000,21636000000,2607000000,None,32743000000,80072000000,None,19142000000,17943000000,53037000000,None,48530000000,28668000000,None,USD,None,35829000000,77198000000
None,10608000000,10608000000,None,6832000000,15629000000,22461000000,2022-12-31,72834000000,15629000000,2251000000,None,9074000000,54024000000,None,13677000000,12882000000,44950000000,None,57205000000,15629000000,None,USD,None,35090000000,83442000000
None,-240000000,-240000000,None,7890000000,29563000000,37453000000,2021-12-31,83321000000,29563000000,5764000000,None,3915000000,39694000000,None,22109000000,23238000000,35779000000,None,53758000000,29563000000,None,USD,None,35541000000,83081000000
None,22092000000,22092000000,None,8219000000,2505000000,10724000000,2020-12-31,60135000000,2505000000,-1157000000,None,7963000000,47798000000,None,3377000000,3586000000,39835000000,None,57630000000,2505000000,None,USD,None,34811000000,82227000000
None,21539000000,21539000000,None,6573000000,25967000000,32540000000,2019-12-31,84145000000,25967000000,5761000000,None,18852000000,66083000000,None,19715000000,20041000000,47231000000,None,58178000000,25967000000,None,USD,None,35128000000,105684000000
None,16396000000,16396000000,None,5593000000,28538000000,34131000000,2018-12-31,84664000000,28538000000,5662000000,None,14652000000,64647000000,None,22393000000,22876000000,49995000000,None,56126000000,28538000000,None,USD,0,33085000000,101060000000
None,11880000000,11880000000,None,5406000000,27377000000,32783000000,2017-12-31,85861000000,27377000000,4917000000,None,9352000000,58909000000,None,22183000000,22460000000,49557000000,None,58484000000,27377000000,None,USD,0,36009000000,97741000000
None,9679000000,9679000000,None,4970000000,32120000000,37090000000,2016-12-31,84497000000,32120000000,10075000000,None,5909000000,53663000000,None,21938000000,22045000000,47754000000,None,52377000000,32120000000,None,USD,0,33061000000,94176000000
None,6418000000,6418000000,None,3288000000,33641000000,36929000000,2015-12-31,81385000000,33641000000,10365000000,None,3976000000,49277000000,None,22894000000,23276000000,45301000000,None,47744000000,33641000000,None,USD,0,31654000000,87803000000
None,5420000000,5420000000,None,2515000000,33915000000,36430000000,2014-12-31,80572000000,33915000000,10307000000,None,4025000000,None,None,23057000000,23608000000,None,None,46657000000,33915000000,None,USD,0,30870000000,85992000000
None,6598000000,6598000000,None,3293000000,32629000000,35922000000,2013-12-31,79999000000,32629000000,10405000000,None,4289000000,None,None,21878000000,22224000000,None,None,47370000000,32629000000,None,USD,0,31097000000,86597000000
None,12378000000,12378000000,None,2807000000,28471000000,31278000000,2012-12-31,77384000000,28471000000,9103000000,None,5161000000,None,None,18897000000,19368000000,None,None,48913000000,28471000000,None,USD,0,30160000000,89762000000
None,14548000000,14548000000,None,2208000000,23656000000,25864000000,2011-12-31,71567000000,23656000000,7445000000,None,6649000000,None,None,15869000000,None,None,None,47911000000,23656000000,None,USD,0,28933000000,86115000000
None,23792000000,23792000000,None,1924000000,19001000000,20925000000,2010-12-31,68678000000,19001000000,6338000000,None,8039000000,None,None,12362000000,12663000000,None,None,49677000000,19001000000,None,USD,0,28409000000,92470000000
None,31618000000,31618000000,None,2841000000,17998000000,20839000000,2009-12-31,66833000000,17998000000,5331000000,None,9950000000,None,None,12275000000,None,None,None,48835000000,17998000000,None,USD,0,28316000000,98451000000
None,25734000000,25734000000,None,1669000000,3300000000,4969000000,2008-12-31,26655000000,3300000000,602000000,None,9755000000,None,None,2655000000,None,None,None,23355000000,3300000000,None,USD,None,13060000000,52389000000
None,19142000000,19142000000,None,1532000000,11835000000,13367000000,2007-12-31,33717000000,11835000000,3570000000,None,14203000000,None,None,8057000000,None,None,None,21882000000,11835000000,None,USD,None,13402000000,52859000000
None,14492000000,14492000000,None,3221000000,12650000000,15871000000,2006-12-31,32749000000,12650000000,4230000000,None,12288000000,None,None,8420000000,None,None,None,20099000000,12650000000,None,USD,None,11927000000,47241000000
None,9841000000,9841000000,None,4161000000,11548000000,15709000000,2005-12-31,30055000000,11548000000,3877000000,None,7458000000,None,None,7671000000,None,None,None,18507000000,11548000000,None,USD,None,10455000000,39896000000
