accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,3951000000,23029000000,23029000000,46238000000,4298000000,36145000000,None,4955000000,43681000000,None,2024-12-31,None,19967000000,19967000000,23524000000,None,32804000000,None,34353000000,1756000000,29207000000,None,25719000000,301441000000,USD,470903000000,41710000000,4955000000,None,453475000000,91990000000,70307000000,182869000000,361485000000,112562000000,263705000000,None
None,3838000000,31539000000,31539000000,17781000000,4052000000,31249000000,None,4090000000,38015000000,None,2023-12-31,None,None,None,25120000000,None,33645000000,None,34257000000,1935000000,26788000000,None,24228000000,221789000000,USD,453927000000,41573000000,4090000000,-29000000,376317000000,96609000000,65316000000,163779000000,279708000000,98463000000,204802000000,None
None,3299000000,29640000000,29640000000,15752000000,4205000000,33169000000,None,634000000,41749000000,None,2022-12-31,None,16951000000,16951000000,24435000000,None,40559000000,None,49793000000,1807000000,30028000000,None,34116000000,204692000000,USD,432860000000,41193000000,634000000,-14993000000,369067000000,97631000000,69045000000,166594000000,271436000000,97549000000,195049000000,None
None,1761000000,6802000000,6802000000,15746000000,4275000000,26623000000,None,4276000000,32383000000,None,2021-12-31,None,18022000000,18022000000,18780000000,None,41667000000,None,45195000000,1189000000,20247000000,None,43004000000,216552000000,USD,392059000000,47704000000,4276000000,None,338923000000,59154000000,56643000000,163240000000,279769000000,106597000000,168577000000,-225464000000
None,1680000000,4364000000,4364000000,15688000000,4271000000,17499000000,None,20458000000,20581000000,None,2020-12-31,None,16789000000,16789000000,18850000000,None,45502000000,None,43515000000,1098000000,14314000000,None,46910000000,227553000000,USD,383943000000,67640000000,20458000000,43515000000,332750000000,44893000000,56363000000,168620000000,287857000000,112257000000,157150000000,-225776000000
None,1670000000,3089000000,3089000000,15637000000,4270000000,24694000000,None,20578000000,26966000000,None,2019-12-31,None,16363000000,16363000000,18528000000,None,24672000000,None,43164000000,1469000000,13836000000,None,47708000000,253018000000,USD,421341000000,46920000000,20578000000,None,362597000000,50052000000,63989000000,163659000000,312545000000,99670000000,191650000000,-225835000000
None,1303000000,3042000000,3042000000,15258000000,4237000000,21063000000,None,17258000000,24701000000,None,2018-12-31,None,10332000000,10332000000,18958000000,None,19235000000,None,40790000000,1272000000,12925000000,None,18094000000,247101000000,USD,421653000000,37796000000,17258000000,None,346196000000,47973000000,57138000000,147668000000,298223000000,90530000000,191794000000,-225553000000
None,1327000000,3177000000,3177000000,14656000000,4256000000,21701000000,None,17930000000,25597000000,None,2017-12-31,0,9767000000,9767000000,16992000000,None,23079000000,None,39160000000,1368000000,11784000000,None,19215000000,252630000000,USD,414540000000,42336000000,17930000000,0,348691000000,47134000000,57771000000,154191000000,301557000000,96420000000,187688000000,-225246000000
None,1225000000,3657000000,3657000000,12157000000,4170212766,17801000000,None,13830000000,21394000000,None,2016-12-31,0,9572000000,9572000000,15080000000,None,27707000000,None,35102000000,1285000000,10739000000,None,20069000000,244224000000,USD,407831000000,42762000000,13830000000,0,330314000000,41416000000,47638000000,156484000000,288898000000,108846000000,167325000000,-230424000000
None,None,3705000000,3705000000,11612000000,4194805195,18074000000,None,558000000,19875000000,None,2015-12-31,0,8285000000,8285000000,16245000000,None,18687000000,None,34245000000,2798000000,11401000000,None,49229000000,251605000000,USD,412444000000,38687000000,18762000000,0,336758000000,42623000000,53976000000,159948000000,294135000000,105972000000,170811000000,-229734000000
None,None,4616000000,4616000000,10792000000,4278947368,25286000000,None,770000000,28009000000,None,2014-12-31,0,8676000000,8676000000,16678000000,None,11653000000,None,35239000000,3607000000,13651000000,None,52913000000,252668000000,USD,408384000000,29121000000,17468000000,42000000,349493000000,52910000000,64633000000,168429000000,296583000000,103796000000,174399000000,-225820000000
None,None,4644000000,4644000000,10077000000,4420624152,30920000000,None,None,33152000000,None,2013-12-31,0,7522000000,7522000000,16135000000,None,6891000000,None,36328000000,5377000000,13282000000,None,47168000000,243650000000,USD,387432000000,22699000000,15808000000,269000000,346808000000,59308000000,71724000000,166313000000,287500000000,94589000000,174003000000,-212781000000
None,None,9582000000,9582000000,9653000000,4628000000,33789000000,None,None,34987000000,None,2012-12-31,0,7668000000,7668000000,14542000000,None,7928000000,None,34718000000,5349000000,16939000000,None,52498000000,226949000000,USD,365727000000,11581000000,3653000000,341000000,333795000000,64460000000,64139000000,162135000000,269335000000,97996000000,165863000000,-197333000000
None,None,12664000000,12664000000,9512000000,4875000000,33969000000,None,None,38642000000,None,2011-12-31,0,9092000000,9092000000,15024000000,None,9322000000,None,34333000000,6633000000,15975000000,None,46863000000,214664000000,USD,330939000000,17033000000,7711000000,404000000,331052000000,72963000000,77505000000,170308000000,258089000000,92803000000,154396000000,-176932000000
