capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
24306000000,-42789000000,-19938000000,None,None,-1812000000,None,None,None,23442000000,16704000000,16704000000,None,2024-12-31,33680000000,55022000000,None,None,None,None,None,None,None,None,None,-19629000000,None,None,USD
21919000000,-33527000000,-20044000000,None,None,-3472000000,None,None,None,20641000000,14941000000,14941000000,None,2023-12-31,36010000000,55369000000,None,None,None,None,None,None,None,None,None,-17748000000,None,None,USD
18407000000,-39114000000,-14742000000,22941000000,None,-6947000000,None,None,-11019000000,24040000000,14939000000,14939000000,None,2022-12-31,57577000000,76797000000,None,None,None,None,None,None,None,None,None,-15155000000,None,None,USD
12076000000,-35423000000,-10235000000,2471000000,None,-489000000,None,None,-12098000000,19407000000,14924000000,14924000000,None,2021-12-31,23598000000,48129000000,None,None,None,None,None,None,None,None,None,-155000000,None,None,USD
17282000000,5285000000,-18459000000,1494000000,None,-315000000,None,None,5384000000,46009000000,14865000000,14865000000,None,2020-12-31,-23251000000,14668000000,None,None,None,None,None,None,None,None,None,-405000000,None,None,USD
24361000000,-6618000000,-23084000000,14000000,None,72000000,None,None,-2640000000,18998000000,14652000000,14652000000,None,2019-12-31,14774000000,29716000000,None,None,None,None,None,None,None,None,None,-594000000,None,None,USD
19574000000,-19446000000,-16446000000,-135000000,-257000000,-3107000000,None,None,-545000000,18045000000,13798000000,13798000000,None,2018-12-31,20840000000,36014000000,None,None,None,None,None,None,None,None,None,-626000000,None,None,USD
15402000000,-15130000000,-15730000000,-480000000,314000000,-1682000000,None,None,-3954000000,17893000000,13001000000,13001000000,None,2017-12-31,19710000000,30066000000,None,None,None,None,None,None,None,None,None,-747000000,None,None,USD
16163000000,-9293000000,-12403000000,-48000000,-434000000,-388000000,None,None,-2090000000,18708000000,12453000000,12453000000,None,2016-12-31,7840000000,22082000000,None,None,None,None,None,None,None,None,None,-977000000,None,None,USD
26490000000,-7037000000,-23824000000,-911000000,-394000000,-379000000,None,None,4692000000,18048000000,12090000000,12090000000,None,2015-12-31,16150000000,30344000000,None,None,None,None,None,None,None,None,None,-4039000000,None,None,USD
32952000000,-17888000000,-26975000000,-28000000,-281000000,-1343000000,None,None,3118000000,17297000000,11568000000,11568000000,None,2014-12-31,32520000000,45116000000,None,None,None,None,None,None,None,None,None,-13183000000,None,None,USD
33669000000,-15476000000,-34201000000,-4938000000,-175000000,-1812000000,None,None,-305000000,17182000000,10875000000,10875000000,None,2013-12-31,32580000000,44914000000,None,None,None,None,None,None,None,None,None,-15998000000,None,None,USD
34271000000,-33868000000,-25601000000,-3082000000,217000000,-1873000000,None,None,-1082000000,15888000000,10092000000,10092000000,None,2012-12-31,44880000000,56170000000,None,None,None,None,None,None,None,None,None,-21068000000,None,None,USD
30975000000,-28256000000,-22165000000,4839000000,-85000000,-2208000000,None,None,-7906000000,15583000000,9020000000,9020000000,None,2011-12-31,42206000000,55345000000,None,None,None,None,None,None,None,None,None,-22055000000,None,None,USD
26871000000,-26924000000,-24204000000,-2868000000,-153000000,-1148000000,None,None,5863000000,14760000000,8498000000,8498000000,None,2010-12-31,31398000000,48413000000,None,None,None,None,None,None,None,None,None,-13093000000,None,None,USD
22491000000,-27283000000,-22419000000,None,None,459000000,None,None,None,0,8023000000,8023000000,None,2009-12-31,19658000000,28438000000,None,None,None,None,None,None,None,None,None,-19703000000,None,None,USD
19318000000,-44027000000,-15499000000,None,None,-1285000000,None,None,None,12379000000,8058000000,8058000000,None,2008-12-31,45220000000,59725000000,None,None,None,None,None,None,None,None,None,-35734000000,None,None,USD
15387000000,-38345000000,-9728000000,None,None,72000000,None,None,None,12250000000,7621000000,7621000000,None,2007-12-31,40610000000,52002000000,None,None,None,None,None,None,None,None,None,-31822000000,None,None,USD
15462000000,-36210000000,-14230000000,None,None,-1057000000,None,None,None,11416000000,7628000000,7628000000,None,2006-12-31,39500000000,49286000000,None,None,None,None,None,None,None,None,None,-29558000000,None,None,USD
13839000000,-26941000000,-10270000000,None,None,-434000000,None,None,None,10253000000,7478000000,7478000000,None,2005-12-31,36130000000,48138000000,None,None,None,None,None,None,None,None,None,-18221000000,None,None,USD
