comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,262505000000,262505000000,None,23442000000,49869000000,73311000000,2024-12-31,76742000000,48873000000,13810000000,None,996000000,5198000000,None,33680000000,35063000000,-996000000,None,37090000000,39652000000,None,USD,987000000,9976000000,339247000000
None,250555000000,250555000000,None,20641000000,53632000000,74273000000,2023-12-31,84142000000,52783000000,15429000000,None,849000000,5536000000,None,36010000000,37354000000,-849000000,None,39681000000,44461000000,None,USD,879000000,10891000000,334697000000
None,295608000000,295608000000,None,24040000000,78551000000,102591000000,2022-12-31,103067000000,77753000000,20176000000,None,798000000,10665000000,None,55740000000,57577000000,-798000000,None,39039000000,64028000000,None,USD,824000000,10095000000,398675000000
None,211806000000,211806000000,None,20607000000,32181000000,52788000000,2021-12-31,64886000000,31234000000,7636000000,None,947000000,5710000000,None,23040000000,23598000000,-947000000,None,40867000000,24019000000,None,USD,843000000,10961000000,276692000000
None,170447000000,170447000000,None,46009000000,-27725000000,18284000000,2020-12-31,8127000000,-28883000000,-5632000000,None,1158000000,574000000,None,-22440000000,-23251000000,-1158000000,None,37575000000,-29448000000,None,USD,1016000000,11716000000,178574000000
None,199625000000,199625000000,None,18998000000,20886000000,39884000000,2019-12-31,55958000000,20056000000,5282000000,None,830000000,4611000000,None,14340000000,14774000000,-830000000,None,43192000000,12766000000,None,USD,1214000000,11398000000,255583000000
None,211599000000,211599000000,None,18745000000,31719000000,50464000000,2018-12-31,67733000000,30953000000,9532000000,None,766000000,6589000000,None,20840000000,21421000000,-766000000,None,45609000000,22124000000,7355000000,USD,1116000000,11480000000,279332000000
None,180800000000,180800000000,None,19893000000,19275000000,39168000000,2017-12-31,56362000000,18674000000,-1174000000,None,601000000,4779000000,None,19710000000,19848000000,-601000000,None,42543000000,13819000000,5380000000,USD,1063000000,10649000000,237162000000
None,156927000000,156927000000,None,22308000000,8422000000,30730000000,2016-12-31,43701000000,7969000000,-406000000,None,453000000,4353000000,None,7840000000,8375000000,-453000000,None,40930000000,2771000000,4806000000,USD,1058000000,10443000000,200628000000
None,183638000000,183638000000,None,18048000000,22277000000,40325000000,2015-12-31,56216000000,21966000000,5415000000,None,311000000,7333000000,None,16150000000,16551000000,None,None,43333000000,12883000000,7644000000,USD,1008000000,11501000000,239854000000
None,313470000000,313470000000,None,17297000000,51916000000,69213000000,2014-12-31,80635000000,51630000000,18015000000,None,286000000,None,None,32520000000,33615000000,None,None,46553000000,34082000000,13323000000,USD,971000000,12598000000,394105000000
None,332452000000,332452000000,None,17182000000,57720000000,74902000000,2013-12-31,88384000000,57711000000,24263000000,None,9000000,None,None,32580000000,33448000000,None,None,48083000000,40301000000,13927000000,USD,1044000000,12877000000,420836000000
None,350353000000,350353000000,None,15888000000,79053000000,94941000000,2012-12-31,101156000000,78726000000,31045000000,None,327000000,None,None,44880000000,47681000000,None,None,51275000000,49881000000,15010000000,USD,1042000000,13877000000,451509000000
None,355888000000,355888000000,None,15583000000,73504000000,89087000000,2011-12-31,111141000000,73257000000,31051000000,None,247000000,None,None,41060000000,42206000000,None,None,57037000000,54104000000,15289000000,USD,1044000000,14983000000,467029000000
None,277058000000,277058000000,None,14760000000,53218000000,67978000000,2010-12-31,93067000000,52959000000,21561000000,None,259000000,None,None,30460000000,31398000000,None,None,52945000000,40122000000,10677000000,USD,1012000000,14683000000,370125000000
None,211769000000,211769000000,None,11917000000,35325000000,47242000000,2009-12-31,91674000000,34777000000,15119000000,None,548000000,None,None,19280000000,None,None,None,63492000000,28182000000,None,USD,1050000000,14735000000,303443000000
None,287359000000,287359000000,None,12379000000,84070000000,96449000000,2008-12-31,178919000000,83397000000,36530000000,None,673000000,None,None,45220000000,None,None,None,105930000000,72989000000,None,USD,847000000,15873000000,466278000000
None,231383000000,231383000000,None,12250000000,71879000000,84129000000,2007-12-31,164268000000,71479000000,29864000000,None,400000000,None,None,40610000000,None,None,None,101290000000,62978000000,None,USD,814000000,14890000000,395651000000
None,213255000000,213255000000,None,11416000000,99488000000,110904000000,2006-12-31,164380000000,67402000000,27902000000,None,3478000000,None,None,39500000000,None,None,None,64892000000,99488000000,None,USD,733000000,14273000000,377635000000
None,213002000000,213002000000,None,10253000000,60727000000,70980000000,2005-12-31,157678000000,59432000000,23302000000,None,27895000000,None,None,36130000000,None,None,None,96951000000,60727000000,None,USD,712000000,14402000000,370680000000
