Date,Open,High,Low,Close,Volume
2017-03-17,175.104,175.104,173.946,174.143,6286.2055782746
2017-03-20,173.749,175.622,173.749,175.461,60559.37921946
2017-03-21,173.995,175.129,173.798,174.722,74710.18893657
2017-03-22,174.488,176.953,174.488,176.07,82719.851554943
2017-03-23,175.351,176.312,174.143,176.016,36659.21952449
2017-03-24,175.597,176.46,174.538,176.115,93502.869998877
2017-03-27,174.735,176.963,174.538,176.069,56494.698607527
2017-03-31,175.351,178.241,175.033,177.594,106468.8664006
2017-04-04,177.692,178.4,176.561,177.63,202861.74764565
2017-04-05,174.242,177.199,174.242,176.803,91669.858302904
2017-04-06,175.597,177.051,175.506,176.805,47469.626632393
2017-04-07,176.337,178.152,176.337,177.63,32037.636078529
2017-04-10,175.351,178.579,175.351,178.282,30730.080972769
2017-04-12,178.431,179.417,178.382,178.974,435886.52948042
2017-04-13,180.773,180.773,178.234,179.059,42724.287001092
2017-04-18,179.417,179.664,177.544,178.172,188934.10482014
2017-04-19,176.337,179.319,176.337,178.629,320123.77643981
2017-04-20,177.692,180.354,177.692,179.25,1136863.8799331
2017-04-21,178.431,178.875,176.854,178.764,68447.314442417
2017-04-24,182.375,183.213,181.192,182.344,129923.70670734
2017-04-25,183.114,183.361,181.931,182.743,114992.82726461
2017-04-26,182.005,183.114,181.389,182.565,51575.897437759
2017-04-27,181.266,183.558,181.266,183.41,10556.808367453
2017-05-02,178.431,181.842,178.431,181.364,39094.781827772
2017-05-03,182.375,182.375,181.266,181.783,11281.086370178
2017-05-04,180.033,184.117,180.033,182.671,71998.711203679
2017-05-05,183.361,186.17,183.361,183.844,371679.38597833
2017-05-08,186.688,186.688,184.642,185.948,46516.095368301
2017-05-09,184.962,186.909,184.962,186.901,27408.951867836
2017-05-10,184.962,186.762,184.691,186.54,1749904.3455422
2017-05-11,185.702,187.35,185.702,186.614,147177.5506126
2017-05-12,187.304,187.37,185.535,185.8,16973.870895799
2017-05-15,187.304,187.402,186.515,186.888,27465.757985697
2017-05-16,186.934,188.33,186.367,186.863,110781.05938322
2017-05-17,187.304,187.304,184.839,186.934,19913.587495096
2017-05-18,186.195,186.614,182.128,182.82,50908.425552895
2017-05-19,186.195,186.195,182.868,184.051,39146.515970824
2017-05-22,184.1,184.865,184.1,184.589,49029.766083641
2017-05-23,184.346,186.039,184.346,185.603,19815.191183801
2017-05-24,182.375,185.973,182.375,185.384,41820.461090129
2017-05-25,186.195,186.762,185.628,186.072,3375.9064328704
2017-05-26,186.195,186.417,184.987,186.069,32029.520918835
2017-05-31,186.441,189.029,186.441,187.747,99458.382819605
2017-06-01,185.455,189.177,185.455,188.34,20306.158345312
2017-06-02,189.029,190.583,188.782,190.583,15282.874494479
2017-06-05,190.138,190.138,188.437,188.682,23115.017994537
2017-06-06,186.688,189.571,186.688,188.388,45579.808818559
2017-06-07,185.209,189.916,185.209,187.469,62659.176790386
2017-06-08,187.797,188.142,185.609,185.973,20327.46063951
2017-06-09,189.522,189.522,185.973,187.375,17814.804319132
2017-06-12,184.346,186.974,184.346,185.336,109466.40351272
2017-06-13,185.702,185.702,184.346,184.913,30199.552407748
2017-06-14,183.853,186.909,183.853,186.027,58241.486731747
2017-06-15,183.853,185.825,183.853,184.917,38662.649574045
2017-06-16,185.702,188.3,185.702,188.29,50608.164644202
2017-06-20,187.304,189.818,187.304,189.106,48830.944671128
2017-06-21,188.043,188.043,185.825,187.205,69710.236169858
2017-06-22,185.455,187.205,185.455,186.934,50507.739542984
2017-06-23,188.29,188.29,184.839,185.555,29409.338732506
2017-06-26,189.275,194.015,189.275,192.875,163091.37877332
2017-06-27,192.233,192.233,188.476,189.576,98972.487632902
2017-06-28,190.138,190.138,186.909,187.111,11482.950967576
2017-06-29,188.043,188.092,180.613,181.581,82494.655873423
2017-06-30,182.621,182.621,179.639,180.354,44518.751688517
2017-07-03,182.005,182.005,179.565,180.398,47950.449844286
2017-07-04,179.417,179.565,178.761,179.565,38128.063429177
2017-07-05,178.431,179.22,178.086,178.822,52371.18308781
2017-07-06,178.431,178.816,175.375,175.88,92813.081424853
2017-07-07,176.583,176.903,175.794,176.164,76483.351329796
2017-07-10,177.692,178.308,175.875,177.856,35941.027891536
2017-07-11,177.692,177.692,176.312,176.583,41669.31624082
2017-07-12,175.104,180.305,175.104,177.594,51897.46064065
2017-07-13,178.924,181.389,178.53,180.232,107281.39676501
2017-07-17,182.375,182.375,181.372,181.598,20544.541161335
2017-07-18,180.28,183.03,180.28,181.19,45450.980658411
2017-07-19,182.005,182.633,181.487,181.683,13453.920378353
2017-07-20,183.361,183.459,181.389,181.783,70774.336484786
2017-07-21,180.28,182.868,177.643,178.579,41830.605039747
2017-07-24,177.446,179.171,176.706,177.15,143784.39946538
2017-07-25,177.446,179.22,177.298,177.828,236864.26676519
2017-07-26,177.446,179.706,177.446,178.922,43746.797122587
2017-07-27,177.692,179.333,177.692,178.6,78101.311293867
2017-07-28,177.446,177.446,171.679,173.575,249031.93433198
2017-07-31,173.256,173.847,172.467,172.615,100505.23842018
2017-08-02,173.995,173.995,172.319,172.477,48397.79802244
2017-08-03,175.351,175.351,171.284,173.281,79122.8070204
2017-08-04,172.517,174.784,172.122,174.68,98341.533966663
2017-08-07,173.502,174.34,172.763,173.427,75565.323889367
2017-08-08,173.01,174.735,172.812,173.332,71015.762485694
2017-08-09,173.01,173.615,171.679,173.141,69735.596043903
2017-08-10,173.995,173.995,170.841,171.063,25010.922178141
2017-08-11,170.915,172.221,170.693,171.819,44513.679713708
2017-08-14,171.654,173.108,171.623,172.295,32114.730095626
2017-08-15,173.01,173.887,172.369,172.517,14010.823212382
2017-08-16,173.749,174.439,173.207,173.923,18473.14664934
2017-08-17,174.242,174.957,173.558,174.043,76855.634280777
2017-08-18,172.517,172.96,171.085,172.743,29951.025642107
2017-08-21,170.668,172.763,170.668,172.177,81489.390466279
2017-08-23,174.242,176.46,174.242,175.835,171875.02474754
2017-08-24,177.446,177.741,174.767,177.456,125048.52452093
2017-08-25,179.171,179.171,175.326,175.573,51485.616286159
2017-08-29,172.517,174.291,172.517,173.728,276913.59425201
2017-08-30,174.488,174.488,173.65,173.921,34443.780927919
2017-08-31,176.337,176.337,173.798,174.833,72158.985607643
2017-09-01,176.583,176.583,174.903,175.325,91312.791276351
2017-09-04,174.488,175.228,174.143,174.61,22020.485830754
2017-09-05,175.104,175.77,173.946,174.432,104818.44579776
2017-09-06,172.763,175.277,172.763,173.969,73459.439948671
2017-09-07,176.09,176.213,175.228,175.437,25790.991903765
2017-09-11,176.583,178.185,176.583,178.16,49977.210977962
2017-09-12,178.185,178.284,177.002,177.075,262934.21728345
2017-09-13,178.924,178.924,176.657,176.66,29789.736843181
2017-09-14,177.692,177.791,176.805,177.249,75626.187587075
2017-09-15,178.431,178.431,175.868,176.361,166825.3666277
2017-09-18,175.844,176.953,175.844,176.62,16138.009447276
2017-09-19,175.597,175.819,174.636,175.244,38825.967162895
2017-09-20,175.597,175.862,175.03,175.591,281700.52407675
2017-09-21,174.589,174.589,174.589,174.589,0
2017-09-22,182.005,185.677,174.314,179.945,232521.64193372
2017-09-25,180.28,180.28,177.791,179.113,13985.463338337
2017-09-26,178.38,178.38,178.38,178.38,0
2017-09-27,176.337,178.53,175.272,175.51,115099.3387356
2017-09-28,175.104,175.385,173.946,174.058,69774.143052451
