Date,Open,High,Low,Close,Volume
2021-03-29,277.923,277.923,275.477,275.477,152302.05177248
2021-03-30,274.764,274.94,274.764,274.94,990353.64420157
2021-03-31,276.524,277.599,276.524,277.599,178610.84084628
2021-04-01,275.209,277.015,275.209,277.015,164575.95968855
2021-04-06,277.015,277.015,275.209,275.209,194846.12878911
2021-04-07,273.403,273.403,273.403,273.403,146818.30983847
2021-04-08,273.403,275.209,273.403,275.209,255794.58954407
2021-04-09,278.821,278.821,277.015,277.015,635158.53931746
2021-04-12,278.821,278.821,278.821,278.821,562695.19222146
2021-04-13,277.015,277.015,277.015,277.015,1761665.3224924
2021-04-14,277.015,277.015,277.015,277.015,90182.128131432
2021-04-15,275.209,280.627,275.209,280.627,63831.231175086
2021-04-16,278.821,278.821,278.821,278.821,110183.37233844
2021-04-19,280.627,280.627,278.821,278.821,206168.83043547
2021-04-20,278.821,278.821,278.821,278.821,426235.42148809
2021-04-21,278.821,284.239,278.821,284.239,129366.21205914
2021-04-22,284.239,284.239,284.239,284.239,590567.37139576
2021-04-23,280.627,280.627,278.821,278.821,161019.46314777
2021-04-26,278.821,278.821,278.821,278.821,150206.37484909
2021-04-27,277.015,277.015,275.209,275.209,171941.60006535
2021-04-28,277.015,277.015,275.209,275.209,198302.21422536
2021-04-29,271.606,273.403,271.606,273.403,129466.62316366
2021-04-30,269.8,269.8,269.8,269.8,144937.49108497
2021-05-03,269.615,272.282,269.615,272.282,164742.23184012
2021-05-04,271.606,271.606,267.994,267.994,433264.19880456
2021-05-05,269.8,269.8,269.8,269.8,171718.1043811
2021-05-06,267.994,269.8,267.994,269.8,222832.75502878
2021-05-07,269.8,273.403,269.8,273.403,193493.27810131
2021-05-10,273.403,273.403,271.606,271.606,57161.990394157
2021-05-11,267.994,269.8,267.994,269.8,193446.85146159
2021-05-12,269.8,269.8,269.8,269.8,117295.2857307
2021-05-13,269.8,269.8,269.8,269.8,960.92347337325
2021-05-14,271.606,271.606,271.606,271.606,276915.47155096
2021-05-17,273.403,273.403,273.403,273.403,157495.35728588
2021-05-18,277.015,277.015,275.209,275.209,224481.44058365
2021-05-19,275.209,275.209,275.209,275.209,281223.4318417
2021-05-20,277.015,277.015,275.209,275.209,236811.49234312
2021-05-21,278.821,278.821,278.821,278.821,262489.7428681
2021-05-24,278.821,278.821,278.821,278.821,0
2021-05-25,280.627,280.627,280.627,280.627,670366.12756828
2021-05-26,280.627,282.433,280.627,282.433,397475.73771253
2021-05-27,282.433,282.433,282.433,282.433,530183.58814256
2021-05-28,282.433,284.239,282.433,284.239,201257.32382831
2021-05-31,284.239,284.239,282.609,282.609,140723.46376298
2021-06-01,284.239,284.239,282.433,282.433,214228.71102955
2021-06-02,282.433,282.433,282.433,282.433,156467.49307616
2021-06-03,278.821,282.433,278.821,282.433,131238.39329828
2021-06-04,286.036,286.036,286.036,286.036,349036.55714015
2021-06-07,288.75,295.965,288.75,295.965,226354.70151208
2021-06-08,294.159,297.771,294.159,297.771,332302.45274261
2021-06-09,294.159,303.18,294.159,303.18,431462.19736966
2021-06-10,306.792,306.792,306.792,306.792,657061.1163746
2021-06-11,304.985,306.792,304.985,306.792,424019.89905285
2021-06-14,306.792,306.792,306.792,306.792,222177.38362615
2021-06-15,308.598,308.598,308.598,308.598,688152.92902935
2021-06-16,308.598,312.21,308.598,312.21,152859.17144917
2021-06-17,310.404,314.007,310.404,314.007,895330.18926721
2021-06-18,314.007,314.007,314.007,314.007,975779.99808518
2021-06-21,312.21,315.813,312.21,315.813,150629.61305309
2021-06-22,310.404,312.21,310.404,312.21,85525.428198107
2021-06-23,308.598,308.598,308.598,308.598,231210.06427586
2021-06-24,304.985,310.404,304.985,310.404,165967.679191
2021-06-25,308.598,308.598,308.598,308.598,237596.42646126
2021-06-28,310.404,314.007,310.404,314.007,340694.87763984
2021-06-29,314.007,314.007,314.007,314.007,526714.54643476
