Date,Open,High,Low,Close,Volume
2006-02-08,4.02048,4.02048,4.02048,4.02048,267067538.30549
2006-02-13,3.99412,3.99412,3.99412,3.99412,167493801.70334
2006-02-15,4.02048,4.02048,4.02048,4.02048,177599241.58552
2006-02-20,4.0744,4.0744,4.0744,4.0744,216681485.97807
2006-02-22,4.15496,4.15496,4.15496,4.15496,153567510.42306
2006-02-27,4.10168,4.10168,4.10168,4.10168,140665143.58204
2006-03-01,4.0744,4.0744,4.0744,4.0744,114379883.6144
2006-03-06,4.12833,4.12833,4.12833,4.12833,85974944.917461
2006-03-08,3.96748,3.96748,3.96748,3.96748,219496536.11743
2006-03-13,3.96748,3.96748,3.96748,3.96748,105287927.1365
2006-03-15,4.0744,4.0744,4.0744,4.0744,123204167.06294
2006-03-20,4.18215,4.18215,4.18215,4.18215,194372396.48286
2006-03-22,4.18215,4.18215,4.18215,4.18215,232569821.74618
2006-03-27,4.31562,4.31562,4.31562,4.31562,150067559.20082
2006-03-29,4.23534,4.23534,4.23534,4.23534,147584675.8778
2006-04-03,4.47628,4.47628,4.47628,4.47628,152317544.73707
2006-04-06,4.61058,4.61058,4.61058,4.61058,246341865.82896
2006-04-10,4.5303,4.5303,4.5303,4.5303,172863166.85985
2006-04-13,4.5303,4.5303,4.5303,4.5303,85280541.23426
2006-04-19,4.85181,4.85181,4.85181,4.85181,211391352.91486
2006-04-24,4.89162,4.89162,4.89162,4.89162,208849763.72274
2006-04-26,4.83687,4.83687,4.83687,4.83687,137522004.7488
2006-05-02,4.83687,4.83687,4.83687,4.83687,152453116.54222
2006-05-04,5.05551,5.05551,5.05551,5.05551,170205553.51096
2006-05-10,5.11017,5.11017,5.11017,5.11017,89279570.456343
2006-05-12,5.0826,5.0826,5.0826,5.0826,108352204.91074
2006-05-17,4.97357,4.97357,4.97357,4.97357,136170263.92445
2006-05-19,4.80968,4.80968,4.80968,4.80968,99758697.193232
2006-05-24,4.6457,4.6457,4.6457,4.6457,199088769.50497
2006-05-26,4.59123,4.59123,4.59123,4.59123,110237393.22658
2006-06-01,4.42715,4.42715,4.42715,4.42715,173313151.16533
2006-06-05,4.53647,4.53647,4.53647,4.53647,108699726.25408
2006-06-08,4.23598,4.23598,4.23598,4.23598,372296354.90683
2006-06-12,4.15413,4.15413,4.15413,4.15413,141509949.59284
2006-06-14,3.88019,3.88019,3.88019,3.88019,238504933.9051
2006-06-19,4.15413,4.15413,4.15413,4.15413,66557959.184578
2006-06-21,4.15413,4.15413,4.15413,4.15413,115153941.41526
2006-06-26,4.23598,4.23598,4.23598,4.23598,95587386.554586
2006-06-28,4.3453,4.3453,4.3453,4.3453,85014114.749898
2006-07-03,4.59123,4.59123,4.59123,4.59123,156156113.56472
2006-07-05,4.59123,4.59123,4.59123,4.59123,88732406.630151
