Date,Open,High,Low,Close,Volume
2025-05-22,125,127.5,125,126,262
2025-05-23,127.5,129,122,122,919
2025-05-26,128,132.5,124,132.5,41303
2025-05-27,128,132,128,132,4715
2025-05-28,132.5,133,131,132.5,5671
2025-05-29,136.5,137,134.5,136,1488
2025-05-30,131,132,129,131,1790
2025-06-02,131,132.5,131,131.5,960
2025-06-03,129.5,136.5,129.5,136,3220
2025-06-04,138,144,138,142.5,8580
2025-06-05,144.5,148,144,147.5,3990
2025-06-06,145.5,147.5,145.5,146.5,2582
2025-06-09,147,152,147,148,5636
2025-06-10,147,149,145.5,146.5,2994
2025-06-11,152.5,157,151,155.5,8927
2025-06-12,152.5,152.5,149,149,1774
2025-06-13,147.5,149,146.5,146.5,1103
2025-06-16,158,158,155,155.5,11934
2025-06-17,156,159,156,156.5,4131
2025-06-18,156.5,157.5,155,157,6297
2025-06-19,156,157.5,154.5,154.5,1445
2025-06-20,160.5,166.5,160.5,162,4728
2025-06-23,162.5,165,162.5,165,1527
2025-06-24,173,176.5,171.5,173.5,23433
2025-06-25,179.5,180,175,179.5,9526
2025-06-26,183.5,190,183,184.5,31252
2025-06-27,181.5,181.5,176.5,177.5,20494
2025-06-30,183,184.5,182,182.5,12159
2025-07-01,183,183,178,179,5047
2025-07-02,174,175,172,175,3916
2025-07-03,175.5,175.5,173.5,174.5,6021
2025-07-04,168,171.5,167.5,169,2639
2025-07-07,168.5,170,166,167.5,1684
2025-07-08,177,179,175.5,178.5,4779
2025-07-09,175,179.5,173.5,176.5,2032
2025-07-10,180,185,180,181.5,3687
2025-07-11,180.5,186.5,180.5,185.5,7208
2025-07-14,183.5,189,183.5,186,10143
2025-07-15,183,191,183,187,19258
2025-07-16,183,184.5,180,182,10539
2025-07-17,168.5,173,165,168.5,15123
2025-07-18,166,168.5,165,168,4204
2025-07-21,167.5,170,165,169,4664
2025-07-22,166.5,170,164.5,168,8298
2025-07-23,165,168.5,165,168.5,1237
2025-07-24,169,172,166.5,171,4445
2025-07-25,166,166,164.5,165,2589
2025-07-28,163.5,164.5,162,163.5,2177
2025-07-29,163.5,164,161.5,164,1478
2025-07-30,163,168,163,167.5,1879
2025-07-31,169,174.5,168,172,6074
2025-08-01,163,163,159,159,14405
2025-08-04,161,163.5,160.5,161,4146
2025-08-05,165.5,165.5,164,164,1079
2025-08-06,161.5,162.5,160,160,2784
2025-08-07,161,164,159,161,20845
2025-08-08,158,159.5,154,156.5,5596
2025-08-11,162,167,161,165,6497
2025-08-12,165,171,165,170.5,3528
2025-08-13,170,177,170,175,6178
2025-08-14,174,175.5,170,175.5,7567
2025-08-15,175.5,175.5,168.5,170,2323
2025-08-18,168,168.5,166,168,5333
2025-08-19,163.5,164,160,160,2755
2025-08-20,155,158,153,156,4459
2025-08-21,151,151.5,148,149.5,9261
2025-08-22,153.5,157,152,157,7625
2025-08-25,159.5,162,158,162,2975
2025-08-26,159,159.5,157.5,159.5,1964
2025-08-27,158.5,161.5,158.5,161.5,2338
2025-08-28,162.5,165,161.5,164,6071
2025-08-29,164.5,166,163,163,3015
2025-09-01,157.5,158.5,153,155,12580
2025-09-02,156,159.5,152.5,158,7844
2025-09-03,159.5,161.5,158,159,13256
2025-09-04,160.5,164,160.5,164,2223
2025-09-05,167,172.5,165,166.5,11879
2025-09-08,166.5,173.5,166.5,173.5,2933
2025-09-09,175.5,179,175,179,6385
2025-09-10,185.5,193.5,185.5,193,7426
2025-09-11,190.5,195.5,187.5,192.5,10034
2025-09-12,199,208,198.5,205,8401
2025-09-15,205,207,202,206,14159
2025-09-16,214,218,209,214,11883
2025-09-17,206,206,199.5,199.5,8653
2025-09-18,216,220,213,215,13886
2025-09-19,211,215,211,213,9756
2025-09-22,214,216,211,216,10424
2025-09-23,219,219,216,217,4375
2025-09-24,216,218,213,216,11269
2025-09-25,215,217,207,211,8805
2025-09-26,205,205,199,203,4186
2025-09-29,211,215,208,215,9444
2025-09-30,213,214,209,212,3506
2025-10-01,216,228,216,226,9453
2025-10-02,241,254,239,251,19923
2025-10-03,251,284,248,258,17912
2025-10-06,268,277,264,274,11273
2025-10-07,278,278,254,266,14018
2025-10-08,266,266,256,266,5841
2025-10-09,267,275,262,264,13613
2025-10-10,259,272,251,251,30189
2025-10-13,250,271,249,261,8607
2025-10-14,251,253,243,252,8768
2025-10-15,254,264,254,264,11101
2025-10-16,272,283,269,269,14453
