Date,Open,High,Low,Close,Volume
2007-01-02,32.742,32.7984,32.4441,32.6695,3563684
2007-01-03,32.7501,32.9514,32.581,32.7903,5323530
2007-01-04,32.4924,32.895,32.4924,32.7259,5630974
2007-01-05,32.7742,33.2654,32.6695,32.8709,7849096
2007-01-08,33.1769,34.1029,33.1769,33.9821,12824081
2007-01-09,34.5458,34.6505,33.3379,33.7728,13699185
2007-01-10,33.3782,33.6761,33.1769,33.3862,7350653
2007-01-15,31.6469,31.7918,31.3731,31.5261,8058217
2007-01-16,31.5663,31.7757,31.2845,31.3731,7420956
2007-01-17,31.2925,31.4053,30.9221,31.0832,7592259
2007-01-18,31.2281,31.2362,30.439,30.6483,9861321
2007-01-19,30.3262,30.6483,30.0766,30.4631,9956249
2007-01-22,30.5195,30.9946,30.2779,30.2779,7978400
2007-01-23,30.7611,31.1073,30.5678,30.898,11396229
2007-01-24,29.4324,29.8753,28.6674,28.9009,45165417
2007-01-25,29.0539,29.5451,28.909,28.9573,17071226
2007-01-26,28.9492,29.1103,28.6835,28.6835,10074627
2007-01-29,28.6674,29.3196,28.6593,28.9573,8725182
2007-01-30,28.9895,29.4485,28.9653,29.0378,7278994
2007-01-31,28.9895,29.0942,28.458,28.5144,10432767
2007-02-01,28.6674,29.0942,28.4741,28.8445,12371695
2007-02-02,28.8445,28.9492,28.4258,28.6352,8759241
2007-02-05,28.7479,28.7882,28.4258,28.4983,6530099
2007-02-06,28.4661,28.5707,28.305,28.3372,6802702
2007-02-07,28.4258,28.6754,28.0232,28.4983,11500305
2007-02-08,28.6593,28.917,28.5144,28.6513,8503165
2007-02-09,28.8687,29.4324,28.764,28.9009,12299898
2007-02-12,28.8204,29.0781,28.6513,28.8365,6232687
2007-02-13,28.909,29.2391,28.8526,28.9895,5915819
2007-02-14,29.2069,29.4324,29.1505,29.2552,8185718
2007-02-15,29.3035,29.3035,28.9492,29.0217,5949482
2007-02-16,29.0297,29.0297,28.8204,28.8204,6598738
2007-02-19,28.8445,28.9492,28.611,28.6754,4236661
2007-02-20,28.5868,28.756,28.4741,28.6513,5463799
2007-02-21,28.8687,28.9331,28.3211,28.3855,4994247
2007-02-22,28.603,28.603,28.2325,28.2889,7107357
